,train_rmse_mean,train_rmse_std,train_mae_mean,train_mae_std,test_rmse_mean,test_rmse_std,test_mae_mean,test_mae_std
Q1_Q2_0.25,0.44647783,0.007102665,0.36483732,0.005497443,0.444333,0.01106649,0.36228478,0.011514426
Q1_Q3_0.25,0.43550634,0.0063059367,0.35720223,0.005713393,0.43365115,0.01153365,0.36001405,0.010185472
Q1_Q4_0.25,0.4413148,0.008921712,0.35989904,0.00860962,0.4395339,0.016844848,0.35629985,0.0152716115
Q2_Q3_0.25,0.38740417,0.004252249,0.3153667,0.004118336,0.40747762,0.009086754,0.33425492,0.009041493
Q2_Q4_0.25,0.39871994,0.0042807977,0.32428607,0.005867245,0.39934304,0.012856546,0.32450628,0.013355323
Q3_Q4_0.25,0.38439482,0.008899569,0.31251806,0.007601592,0.387427,0.01179546,0.31945574,0.010706485
Q1_0.25,0.48402706,0.007882677,0.40078506,0.008856444,0.47819743,0.018845206,0.39664692,0.017227722
Q2_0.25,0.40329474,0.0061039343,0.32774487,0.006858236,0.40471134,0.024408767,0.32977638,0.026782544
Q3_0.25,0.36583716,0.008531502,0.29886052,0.008792253,0.37314695,0.016337758,0.3090741,0.016069528
Q4_0.25,0.39791968,0.008714227,0.32449585,0.008082652,0.38944316,0.013558227,0.3194229,0.010834613
Q1_Q2_0.5,0.45053345,0.00801663,0.3697675,0.0077668526,0.44816938,0.005155797,0.36893615,0.00602388
Q1_Q3_0.5,0.4356932,0.0034520573,0.35687622,0.0035350423,0.4335273,0.0045043286,0.3548008,0.0059822
Q1_Q4_0.5,0.43890303,0.005765153,0.35862362,0.006641313,0.43513662,0.017760156,0.35604253,0.013525233
Q2_Q3_0.5,0.38764742,0.00461008,0.31587702,0.0039454205,0.39241466,0.004520087,0.32041255,0.0039369976
Q2_Q4_0.5,0.398968,0.003366576,0.32606226,0.00284825,0.4027688,0.01241174,0.3295183,0.013771056
Q3_Q4_0.5,0.37983975,0.0031876245,0.31084526,0.0022094024,0.3836292,0.0077739614,0.31116477,0.0058992472
Q1_0.5,0.48221177,0.006443607,0.3976957,0.0057925833,0.48697263,0.012374459,0.4017362,0.017071093
Q2_0.5,0.41040215,0.0051009925,0.33671585,0.0055041704,0.4130755,0.015960278,0.33728957,0.01461918
Q3_0.5,0.36768526,0.003923617,0.30153626,0.002936581,0.37720636,0.01268285,0.31017938,0.012190005
Q4_0.5,0.39135423,0.005454534,0.318168,0.0034157375,0.3933357,0.013798008,0.3230303,0.012595306
Q1_Q2_0.75,0.44925943,0.0044398173,0.36892223,0.0040262546,0.44602028,0.009698213,0.3655607,0.011503173
Q1_Q3_0.75,0.42934793,0.0070833694,0.35100666,0.0064316774,0.4342596,0.011855347,0.35495085,0.011857056
Q1_Q4_0.75,0.4452859,0.0048568994,0.3654353,0.004965901,0.43894583,0.012460036,0.3591676,0.011945586
Q2_Q3_0.75,0.39227125,0.0028650684,0.32011428,0.002605856,0.3905739,0.006669829,0.31961608,0.007330116
Q2_Q4_0.75,0.40093607,0.0032464,0.3269147,0.002802873,0.39950687,0.0063363602,0.32537934,0.0054207537
Q3_Q4_0.75,0.38388804,0.004243673,0.313778,0.004144405,0.3818917,0.007651061,0.31360435,0.006888819
Q1_0.75,0.4931261,0.0048441906,0.40969104,0.005064893,0.49247438,0.011850655,0.40946674,0.010729486
Q2_0.75,0.41071048,0.0035287386,0.3359422,0.002818726,0.406734,0.0074499454,0.3325305,0.008565654
Q3_0.75,0.36802858,0.0028836408,0.30115324,0.0030109053,0.37121448,0.010571157,0.3038873,0.010002668
Q4_0.75,0.38894734,0.009353853,0.3178391,0.008763563,0.3945095,0.007457434,0.32076642,0.007204425
Q1_Q2_1.0,0.45246667,0.0040694564,0.37149334,0.0037544149,0.44978887,0.004055736,0.36912948,0.0046290774
Q1_Q3_1.0,0.431779,0.0013416123,0.3533986,0.0010907465,0.42588735,0.0059541385,0.34661308,0.005388563
Q1_Q4_1.0,0.44275516,0.00135386,0.36317343,0.0021581333,0.44372678,0.011407633,0.36442584,0.009509511
Q2_Q3_1.0,0.38876867,0.0025404356,0.31728932,0.0027173809,0.3922557,0.0068011256,0.32054624,0.0071207033
Q2_Q4_1.0,0.4052073,0.0030199753,0.33164644,0.0019898082,0.39967617,0.0051628216,0.32692248,0.0052788705
Q3_Q4_1.0,0.38084054,0.0032765167,0.31149888,0.0023326285,0.3832862,0.0075165513,0.31301418,0.007978205
Q1_1.0,0.48466015,0.002051311,0.40179238,0.0026537185,0.48717862,0.016403437,0.4024548,0.017345678
Q2_1.0,0.40816697,0.0023383396,0.3327385,0.0022544728,0.4103399,0.010386421,0.33469337,0.009296037
Q3_1.0,0.37270632,0.0015339709,0.3059247,0.0019299927,0.37565416,0.013246468,0.3104831,0.015098468
Q4_1.0,0.39039057,0.0037512956,0.31922036,0.003941169,0.39356095,0.007753592,0.3195094,0.008069968
