,train_rmse_mean,train_rmse_std,train_mae_mean,train_mae_std,test_rmse_mean,test_rmse_std,test_mae_mean,test_mae_std
Q1_Q2_0.25,0.14863117,0.002032727,0.11617923,0.0018141479,0.14928742,0.008058013,0.117048346,0.0068478254
Q1_Q3_0.25,0.15015359,0.002990615,0.11628194,0.0024196643,0.1511031,0.012782756,0.1172457,0.010722561
Q1_Q4_0.25,0.18191758,0.0035990472,0.15421736,0.0031796058,0.18105772,0.0070806807,0.15323256,0.0067362403
Q2_Q3_0.25,0.115966335,0.0012126237,0.09472158,0.0016250173,0.11532807,0.003452286,0.09439508,0.004519485
Q2_Q4_0.25,0.14375868,0.0016147535,0.12021749,0.0015306605,0.14259353,0.003406551,0.118978284,0.0029831566
Q3_Q4_0.25,0.14787379,0.0021458585,0.12068196,0.0019557693,0.14712211,0.006784183,0.120216526,0.0068129003
Q1_0.25,0.18429607,0.0027158486,0.14923447,0.0026544237,0.18761699,0.010207837,0.15213159,0.00653883
Q2_0.25,0.11314462,0.0013259826,0.092910856,0.0011977929,0.11132959,0.0077553894,0.09136857,0.0065069585
Q3_0.25,0.11567112,0.0025241945,0.091589905,0.0019536328,0.11677343,0.007936636,0.09320388,0.0060790605
Q4_0.25,0.17649697,0.0014589357,0.1542038,0.0022425796,0.17582624,0.007434003,0.15346983,0.006238032
Q1_Q2_0.5,0.16992226,0.00073961064,0.13198009,0.0010299265,0.16989946,0.0032734445,0.1313536,0.003165596
Q1_Q3_0.5,0.15813096,0.00080407714,0.11930581,0.0011911538,0.1589527,0.0029527696,0.11959007,0.0023352944
Q1_Q4_0.5,0.20230468,0.0025160466,0.1725667,0.0028825232,0.20217153,0.005634562,0.1723274,0.0067667295
Q2_Q3_0.5,0.13439281,0.0011937141,0.11037389,0.0008671293,0.13331231,0.004877165,0.10954912,0.003968399
Q2_Q4_0.5,0.15425166,0.0017814385,0.12663166,0.0014977455,0.15247811,0.0038630802,0.12470748,0.0038392711
Q3_Q4_0.5,0.16281593,0.0029050002,0.13386343,0.0025581615,0.16106305,0.0062542586,0.1322633,0.004987465
Q1_0.5,0.19321749,0.0028458973,0.15874478,0.003700568,0.19612601,0.0090140365,0.16141379,0.010605367
Q2_0.5,0.118607484,0.0015328885,0.09631295,0.001373564,0.117077015,0.005346898,0.09510331,0.0043217517
Q3_0.5,0.11595521,0.0010517148,0.09208491,0.0010692821,0.11477752,0.003927956,0.09128396,0.0040522562
Q4_0.5,0.1905432,0.0021676093,0.16658458,0.0019587758,0.19022806,0.0077501102,0.16646966,0.007531009
Q1_Q2_0.75,0.19654775,0.0023974972,0.15442291,0.002032151,0.19827387,0.005947217,0.15584357,0.00334661
Q1_Q3_0.75,0.16809884,0.0013993917,0.1261752,0.0015510118,0.16924714,0.005105124,0.12690823,0.0041950066
Q1_Q4_0.75,0.23913929,0.0020851586,0.20799324,0.0015106983,0.23954454,0.008609463,0.20850448,0.0044139777
Q2_Q3_0.75,0.14672372,0.0007514912,0.119107544,0.00070911594,0.14597352,0.0041170283,0.11876637,0.003820081
Q2_Q4_0.75,0.1741195,0.0013569957,0.14129238,0.000993644,0.17235045,0.0030491306,0.13961643,0.0034875397
Q3_Q4_0.75,0.19520347,0.002782666,0.16396978,0.0026120201,0.1941816,0.0046763076,0.16326556,0.0034673854
Q1_0.75,0.23377171,0.0028275442,0.19630703,0.003624137,0.23627575,0.007819011,0.19880132,0.009557186
Q2_0.75,0.12567978,0.0024932749,0.10268013,0.002412439,0.12412353,0.0076376456,0.10160245,0.0063247606
Q3_0.75,0.12520164,0.0027912196,0.09914093,0.0024517116,0.12576678,0.007866548,0.09996919,0.006514196
Q4_0.75,0.2260056,0.0025215852,0.20267145,0.0031460752,0.22562659,0.004535726,0.20251445,0.0032471556
Q1_Q2_1.0,0.35841647,0.0034970194,0.31122044,0.0019063504,0.3565527,0.006324227,0.30998412,0.0054626022
Q1_Q3_1.0,0.20457725,0.0044583767,0.15384752,0.0041295746,0.20719782,0.010793599,0.1554234,0.009423364
Q1_Q4_1.0,0.2743205,0.0016495809,0.24807677,0.0014292309,0.27381438,0.0058034216,0.2478104,0.0044984818
Q2_Q3_1.0,0.16306578,0.0017507884,0.1338706,0.0011448277,0.16110298,0.005127209,0.13256532,0.0051628924
Q2_Q4_1.0,0.20256786,0.0027032597,0.16293788,0.0022575227,0.2014188,0.0031002313,0.1618668,0.0016970877
Q3_Q4_1.0,0.29942116,0.016495971,0.27016908,0.01615597,0.29917037,0.012566785,0.26998523,0.013014591
Q1_1.0,0.28270203,0.0033714718,0.25191602,0.003537511,0.28655082,0.008229323,0.25533244,0.00858146
Q2_1.0,0.13192044,0.0033442245,0.10686543,0.0028292246,0.13029948,0.0072783143,0.10587416,0.0060066986
Q3_1.0,0.12998627,0.0021670454,0.103376545,0.0020721834,0.12968586,0.004870127,0.10332056,0.004654768
Q4_1.0,0.26908505,0.0019856773,0.24698925,0.0017630821,0.26816162,0.005713438,0.24624917,0.0033756858
