,RD,ZR,Mean,KNN,MF,Mice,MisF,XGB,OT,HI,GAIN,Mi,NMi,CSDI
Bank,1.0,0.0,0.4,0.4,1.0,0.4,0.4,0.4,1.0,1.0,1.0,0.8,0.0,1.0
Cali,0.4,0.4,0.4,0.4,0.34643107220750363,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.04779904858652117,0.2
Climate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.0,1.0
Concre,0.03069444077815268,0.07020905623679784,0.07020905623679784,0.07020905623679784,0.3748057600147904,0.07020905623679784,0.07020905623679784,0.07020905623679784,0.1574070981198862,0.10613787689321803,0.10613787689321803,0.026544427892383572,0.03679935265852845,0.0
Qsar,0.0,0.5497122558318824,0.5734625171977019,0.5734625171977019,0.5600523366814695,0.5734625171977019,0.5734625171977019,0.5734625171977019,0.13831024807243128,0.5734625171977019,0.49887569158946066,0.2195046875971307,0.2900013276973231,0.0
Red,0.1453972366879216,0.1930210193043846,0.24015210460952402,0.24015210460952402,0.4362341409111904,0.24015210460952402,0.24015210460952402,0.24015210460952402,0.5052031786286086,0.18770635649700354,0.18770635649700354,0.0,0.13135721298013187,0.0
Sonar,1.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1.0,0.8,0.8,1.0,1.0,1.0
White,0.10568692915783973,0.18790156880902528,0.4334803356820758,0.4334803356820758,0.7167401678410379,0.4334803356820758,0.4334803356820758,0.4334803356820758,0.5167660996791021,0.5167401678410378,0.5167401678410378,0.31674016784103787,0.01792832110557661,0.2
Yacht,0.11642971002255413,0.32877964906776436,0.3262537475257277,0.3262537475257277,0.32402899237951976,0.3262537475257277,0.3262537475257277,0.3262537475257277,0.3242553412123407,0.32591923857340493,0.2706226050710856,0.0,0.2768712123434603,0.0
Yeast,0.3693909770960552,0.36506932267229253,0.4838710540551164,0.4838710540551164,0.4838710540551164,0.4838710540551164,0.4838710540551164,0.4838710540551164,0.4838710540551164,0.4838710540551164,0.4838710540551164,0.2896993875356976,0.29984656134189985,0.0
