,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.95234 ± 0.020,0.98963 ± 0.004,0.94728 ± 0.016,0.96553 ± 0.016,0.97136 ± 0.007,0.97281 ± 0.006,0.97428 ± 0.007,0.95747 ± 0.013,0.97720 ± 0.006,0.96765 ± 0.011,0.89815 ± 0.044,0.92272 ± 0.043,0.29624 ± 0.022,0.94656 ± 0.019
Q1_Q3_0.25,0.94558 ± 0.027,0.96351 ± 0.011,0.95378 ± 0.016,0.96182 ± 0.012,0.97647 ± 0.006,0.97574 ± 0.005,0.97574 ± 0.005,0.96256 ± 0.012,0.97573 ± 0.006,0.96541 ± 0.014,0.90023 ± 0.016,0.88632 ± 0.051,0.27193 ± 0.041,0.95596 ± 0.015
Q1_Q4_0.25,0.92825 ± 0.022,0.98222 ± 0.010,0.94462 ± 0.016,0.97129 ± 0.010,0.97425 ± 0.007,0.97279 ± 0.008,0.97204 ± 0.008,0.95350 ± 0.015,0.98525 ± 0.007,0.94288 ± 0.027,0.87856 ± 0.030,0.91504 ± 0.029,0.23074 ± 0.026,0.94236 ± 0.024
Q2_Q3_0.25,0.97568 ± 0.007,0.96049 ± 0.009,0.97939 ± 0.008,0.98160 ± 0.007,0.98159 ± 0.007,0.98380 ± 0.008,0.98160 ± 0.007,0.97644 ± 0.006,0.98527 ± 0.008,0.97316 ± 0.033,0.86862 ± 0.023,0.91025 ± 0.056,0.27624 ± 0.037,0.98085 ± 0.009
Q2_Q4_0.25,0.97710 ± 0.012,0.96880 ± 0.008,0.97407 ± 0.008,0.98597 ± 0.007,0.99040 ± 0.002,0.98819 ± 0.003,0.98894 ± 0.005,0.97854 ± 0.009,0.98969 ± 0.006,0.96653 ± 0.011,0.88220 ± 0.028,0.87172 ± 0.021,0.33103 ± 0.037,0.97856 ± 0.014
Q3_Q4_0.25,0.97624 ± 0.007,0.95010 ± 0.011,0.96354 ± 0.008,0.98075 ± 0.006,0.98670 ± 0.007,0.98965 ± 0.005,0.98670 ± 0.006,0.96805 ± 0.006,0.99410 ± 0.003,0.96034 ± 0.030,0.91034 ± 0.021,0.90197 ± 0.046,0.35134 ± 0.016,0.96575 ± 0.003
Q1_0.25,0.95012 ± 0.021,0.99040 ± 0.004,0.95089 ± 0.016,0.97134 ± 0.008,0.97281 ± 0.008,0.97282 ± 0.008,0.97501 ± 0.006,0.95821 ± 0.015,0.97720 ± 0.006,0.96400 ± 0.018,0.93206 ± 0.036,0.94916 ± 0.026,0.27347 ± 0.033,0.95526 ± 0.017
Q2_0.25,0.96844 ± 0.016,0.99113 ± 0.006,0.97867 ± 0.006,0.97939 ± 0.005,0.97867 ± 0.006,0.97940 ± 0.007,0.98013 ± 0.005,0.97940 ± 0.005,0.98087 ± 0.006,0.97566 ± 0.010,0.95111 ± 0.020,0.97347 ± 0.008,0.26535 ± 0.037,0.97794 ± 0.006
Q3_0.25,0.98746 ± 0.007,0.97250 ± 0.009,0.98821 ± 0.005,0.98525 ± 0.005,0.99041 ± 0.002,0.98968 ± 0.004,0.98673 ± 0.005,0.98229 ± 0.008,0.98599 ± 0.006,0.97418 ± 0.008,0.89930 ± 0.031,0.90227 ± 0.040,0.24667 ± 0.053,0.98821 ± 0.005
Q4_0.25,0.98151 ± 0.007,0.96960 ± 0.008,0.97329 ± 0.006,0.98375 ± 0.008,0.98967 ± 0.007,0.98745 ± 0.006,0.98892 ± 0.005,0.97704 ± 0.008,0.99410 ± 0.003,0.97406 ± 0.015,0.93581 ± 0.049,0.92956 ± 0.017,0.33550 ± 0.045,0.97178 ± 0.004
