,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.90233 ± 0.017,0.91983 ± 0.018,0.93262 ± 0.016,0.94790 ± 0.020,0.96400 ± 0.013,0.96399 ± 0.010,0.96692 ± 0.009,0.94497 ± 0.019,0.96469 ± 0.012,0.95961 ± 0.016,0.89054 ± 0.033,0.91746 ± 0.037,0.39234 ± 0.052,0.93111 ± 0.019
Q1_Q3_0.25,0.91735 ± 0.032,0.84033 ± 0.022,0.93975 ± 0.027,0.94776 ± 0.021,0.96396 ± 0.007,0.96324 ± 0.008,0.96397 ± 0.008,0.94632 ± 0.022,0.96467 ± 0.012,0.94161 ± 0.023,0.88761 ± 0.014,0.87871 ± 0.041,0.40874 ± 0.062,0.94190 ± 0.026
Q1_Q4_0.25,0.89248 ± 0.027,0.81323 ± 0.026,0.92824 ± 0.019,0.94896 ± 0.015,0.95791 ± 0.017,0.95937 ± 0.015,0.95865 ± 0.014,0.93402 ± 0.020,0.96159 ± 0.015,0.91878 ± 0.027,0.88258 ± 0.023,0.91652 ± 0.030,0.40640 ± 0.063,0.92302 ± 0.021
Q2_Q3_0.25,0.94286 ± 0.019,0.79326 ± 0.027,0.96389 ± 0.012,0.96608 ± 0.011,0.96609 ± 0.011,0.96833 ± 0.009,0.96316 ± 0.013,0.96608 ± 0.012,0.96756 ± 0.012,0.94553 ± 0.030,0.86358 ± 0.011,0.90761 ± 0.043,0.44999 ± 0.080,0.96237 ± 0.015
Q2_Q4_0.25,0.91681 ± 0.024,0.78985 ± 0.035,0.94783 ± 0.010,0.95472 ± 0.009,0.96748 ± 0.012,0.96897 ± 0.010,0.96301 ± 0.011,0.95306 ± 0.010,0.96746 ± 0.010,0.93710 ± 0.015,0.90077 ± 0.028,0.86590 ± 0.027,0.43069 ± 0.066,0.94562 ± 0.015
Q3_Q4_0.25,0.92094 ± 0.017,0.71043 ± 0.032,0.94529 ± 0.021,0.95239 ± 0.009,0.95997 ± 0.011,0.96146 ± 0.012,0.95849 ± 0.010,0.94688 ± 0.018,0.96818 ± 0.012,0.91318 ± 0.037,0.89140 ± 0.020,0.90312 ± 0.030,0.44088 ± 0.064,0.94372 ± 0.020
Q1_0.25,0.91615 ± 0.024,0.96740 ± 0.010,0.93468 ± 0.023,0.95953 ± 0.013,0.96324 ± 0.012,0.96325 ± 0.011,0.96544 ± 0.010,0.94641 ± 0.024,0.96171 ± 0.012,0.95002 ± 0.022,0.92626 ± 0.035,0.93061 ± 0.023,0.43500 ± 0.076,0.93319 ± 0.023
Q2_0.25,0.95062 ± 0.024,0.93932 ± 0.014,0.96616 ± 0.008,0.96684 ± 0.011,0.96909 ± 0.009,0.96909 ± 0.009,0.96762 ± 0.010,0.96542 ± 0.009,0.96684 ± 0.011,0.95711 ± 0.008,0.93764 ± 0.023,0.95651 ± 0.015,0.43221 ± 0.077,0.96616 ± 0.008
Q3_0.25,0.95625 ± 0.009,0.87361 ± 0.028,0.96818 ± 0.012,0.96605 ± 0.011,0.96753 ± 0.011,0.96829 ± 0.011,0.96455 ± 0.011,0.96524 ± 0.012,0.96605 ± 0.011,0.95335 ± 0.013,0.88842 ± 0.029,0.89832 ± 0.034,0.42468 ± 0.070,0.96745 ± 0.012
Q4_0.25,0.93931 ± 0.021,0.84164 ± 0.029,0.95075 ± 0.014,0.95550 ± 0.013,0.96145 ± 0.011,0.96071 ± 0.011,0.95773 ± 0.009,0.95297 ± 0.011,0.96745 ± 0.012,0.94106 ± 0.018,0.90764 ± 0.046,0.91292 ± 0.009,0.41944 ± 0.058,0.94775 ± 0.012
Q1_Q2_0.5,0.86906 ± 0.019,0.67139 ± 0.030,0.86133 ± 0.013,0.91088 ± 0.010,0.94509 ± 0.015,0.94511 ± 0.014,0.95095 ± 0.017,0.87667 ± 0.014,0.95221 ± 0.014,0.91453 ± 0.048,0.85121 ± 0.032,0.87156 ± 0.030,0.37902 ± 0.027,0.86503 ± 0.014
Q1_Q3_0.5,0.87634 ± 0.040,0.64834 ± 0.032,0.89187 ± 0.030,0.90557 ± 0.024,0.95156 ± 0.009,0.96183 ± 0.012,0.95309 ± 0.015,0.89895 ± 0.020,0.95886 ± 0.014,0.93157 ± 0.029,0.87952 ± 0.029,0.87467 ± 0.030,0.38841 ± 0.045,0.89254 ± 0.024
Q1_Q4_0.5,0.86647 ± 0.022,0.66249 ± 0.036,0.90502 ± 0.024,0.92057 ± 0.022,0.95345 ± 0.015,0.95419 ± 0.015,0.95056 ± 0.021,0.89968 ± 0.022,0.95862 ± 0.016,0.89656 ± 0.043,0.82595 ± 0.065,0.80067 ± 0.048,0.44350 ± 0.091,0.89748 ± 0.025
Q2_Q3_0.5,0.91623 ± 0.021,0.58932 ± 0.030,0.95946 ± 0.013,0.96241 ± 0.011,0.96984 ± 0.011,0.96984 ± 0.011,0.96097 ± 0.014,0.95499 ± 0.010,0.96982 ± 0.008,0.94942 ± 0.027,0.82761 ± 0.034,0.86234 ± 0.036,0.40257 ± 0.049,0.95498 ± 0.014
Q2_Q4_0.5,0.87155 ± 0.025,0.52871 ± 0.014,0.92236 ± 0.018,0.94158 ± 0.018,0.95391 ± 0.009,0.95617 ± 0.007,0.94788 ± 0.010,0.93465 ± 0.019,0.95996 ± 0.009,0.90591 ± 0.026,0.84695 ± 0.019,0.84215 ± 0.035,0.39262 ± 0.060,0.91451 ± 0.023
Q3_Q4_0.5,0.84904 ± 0.031,0.59478 ± 0.041,0.87127 ± 0.023,0.89472 ± 0.021,0.92933 ± 0.012,0.93306 ± 0.013,0.92302 ± 0.016,0.88191 ± 0.021,0.95084 ± 0.020,0.88382 ± 0.028,0.80418 ± 0.031,0.82581 ± 0.055,0.35402 ± 0.027,0.86300 ± 0.025
Q1_0.5,0.87471 ± 0.020,0.96131 ± 0.010,0.88535 ± 0.027,0.91793 ± 0.017,0.95086 ± 0.015,0.95234 ± 0.014,0.95747 ± 0.011,0.89393 ± 0.023,0.96249 ± 0.008,0.94285 ± 0.030,0.88338 ± 0.018,0.89783 ± 0.036,0.39234 ± 0.052,0.88237 ± 0.024
