,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.95234,0.98963,0.94728,0.96553,0.97136,0.97281,0.97428,0.95747,0.97720,0.96765,0.89815,0.92272,0.29624,0.94656
Q1_Q3_0.25,0.94558,0.96351,0.95378,0.96182,0.97647,0.97574,0.97574,0.96256,0.97573,0.96541,0.90023,0.88632,0.27193,0.95596
Q1_Q4_0.25,0.92825,0.98222,0.94462,0.97129,0.97425,0.97279,0.97204,0.95350,0.98525,0.94288,0.87856,0.91504,0.23074,0.94236
Q2_Q3_0.25,0.97568,0.96049,0.97939,0.98160,0.98159,0.98380,0.98160,0.97644,0.98527,0.97316,0.86862,0.91025,0.27624,0.98085
Q2_Q4_0.25,0.97710,0.96880,0.97407,0.98597,0.99040,0.98819,0.98894,0.97854,0.98969,0.96653,0.88220,0.87172,0.33103,0.97856
Q3_Q4_0.25,0.97624,0.95010,0.96354,0.98075,0.98670,0.98965,0.98670,0.96805,0.99410,0.96034,0.91034,0.90197,0.35134,0.96575
Q1_0.25,0.95012,0.99040,0.95089,0.97134,0.97281,0.97282,0.97501,0.95821,0.97720,0.96400,0.93206,0.94916,0.27347,0.95526
Q2_0.25,0.96844,0.99113,0.97867,0.97939,0.97867,0.97940,0.98013,0.97940,0.98087,0.97566,0.95111,0.97347,0.26535,0.97794
Q3_0.25,0.98746,0.97250,0.98821,0.98525,0.99041,0.98968,0.98673,0.98229,0.98599,0.97418,0.89930,0.90227,0.24667,0.98821
Q4_0.25,0.98151,0.96960,0.97329,0.98375,0.98967,0.98745,0.98892,0.97704,0.99410,0.97406,0.93581,0.92956,0.33550,0.97178
Q1_Q2_0.5,0.91410,0.90806,0.87229,0.93419,0.95093,0.95165,0.95602,0.89343,0.96326,0.91889,0.84038,0.84360,0.30787,0.88617
Q1_Q3_0.5,0.91465,0.93151,0.90649,0.93924,0.96112,0.96842,0.96185,0.92377,0.96845,0.95219,0.85836,0.86623,0.27564,0.91082
Q1_Q4_0.5,0.92882,0.95466,0.91724,0.94385,0.96464,0.96907,0.96392,0.91320,0.98158,0.93693,0.76332,0.75358,0.33498,0.90961
Q2_Q3_0.5,0.96375,0.87811,0.97497,0.98307,0.98379,0.98306,0.98014,0.97053,0.98233,0.96518,0.81218,0.86741,0.27808,0.97719
Q2_Q4_0.5,0.94543,0.94775,0.95145,0.97555,0.98374,0.98522,0.97930,0.96054,0.99484,0.94004,0.81557,0.80100,0.35091,0.93703
Q3_Q4_0.5,0.95669,0.91052,0.89392,0.92618,0.96275,0.97106,0.95299,0.90756,0.99037,0.91302,0.78860,0.81615,0.35689,0.87619
Q1_0.5,0.92073,0.99334,0.90872,0.94287,0.96040,0.96258,0.96258,0.91950,0.97061,0.95529,0.88294,0.88187,0.28063,0.91089
Q2_0.5,0.96403,0.96424,0.97574,0.97867,0.97721,0.97867,0.97721,0.97647,0.97867,0.98296,0.92583,0.90656,0.29096,0.97280
Q3_0.5,0.97561,0.93697,0.98298,0.99114,0.98746,0.98967,0.98968,0.98004,0.98746,0.96876,0.88999,0.91978,0.31666,0.98671
Q4_0.5,0.96872,0.94731,0.93620,0.96431,0.98446,0.98446,0.97474,0.95074,0.99040,0.91499,0.89052,0.86965,0.34635,0.93161
Q1_Q2_0.75,0.88311,0.40504,0.80146,0.82574,0.87074,0.90714,0.87080,0.80808,0.92754,0.84413,0.75474,0.75838,0.30787,0.81394
Q1_Q3_0.75,0.89571,0.85970,0.85611,0.88108,0.94352,0.95895,0.93761,0.84841,0.94190,0.93961,0.79438,0.86283,0.28085,0.86830
Q1_Q4_0.75,0.89020,0.91422,0.88774,0.91326,0.94440,0.95939,0.94619,0.87482,0.97417,0.90163,0.71480,0.65201,0.35029,0.87814
Q2_Q3_0.75,0.94109,0.82355,0.97422,0.95946,0.96475,0.96845,0.97211,0.96316,0.99189,0.88622,0.83952,0.83878,0.30534,0.97423
Q2_Q4_0.75,0.87464,0.90008,0.90374,0.90907,0.97405,0.97477,0.96883,0.91143,0.97997,0.76739,0.70283,0.73812,0.35689,0.87074
Q3_Q4_0.75,0.92216,0.80499,0.79806,0.77928,0.90031,0.91057,0.87699,0.84094,0.89675,0.77768,0.75341,0.76619,0.35689,0.75434
Q1_0.75,0.90834,0.99038,0.85841,0.85677,0.94145,0.94148,0.94438,0.84803,0.95311,0.88779,0.86890,0.87927,0.28882,0.87070
Q2_0.75,0.96109,0.91964,0.96989,0.97427,0.97867,0.97867,0.97794,0.97060,0.97941,0.96608,0.88145,0.90729,0.29648,0.96989
Q3_0.75,0.96739,0.91804,0.97398,0.98448,0.98599,0.98894,0.98597,0.97254,0.99631,0.96360,0.91433,0.91982,0.34546,0.97544
Q4_0.75,0.95436,0.88971,0.89885,0.94624,0.95748,0.94377,0.93835,0.90482,0.97696,0.73052,0.75575,0.73538,0.35689,0.89092
Q1_Q2_1.0,0.83625,0.35689,0.61405,0.65005,0.70203,0.63660,0.60240,0.65595,0.63159,0.71378,0.66850,0.66255,0.30787,0.63459
Q1_Q3_1.0,0.87121,0.70105,0.80872,0.82691,0.88599,0.90836,0.82532,0.82825,0.84883,0.86526,0.72670,0.77616,0.28232,0.81234
Q1_Q4_1.0,0.74756,0.72711,0.91326,0.85194,0.86043,0.86109,0.85237,0.92817,0.82291,0.79722,0.47277,0.55465,0.35689,0.91189
