,one,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
0.1,0.77076 ± 0.003,0.77110 ± 0.002,0.77282 ± 0.002,0.80032 ± 0.004,0.72148 ± 0.002,0.72365 ± 0.002,0.72401 ± 0.004,0.75718 ± 0.001,0.69408 ± 0.001,0.76742 ± 0.007,0.86112 ± 0.061,0.85956 ± 0.022,1.12848 ± 0.002,0.79482 ± 0.004
0.2,0.85488 ± 0.003,0.81071 ± 0.003,0.81528 ± 0.003,0.84437 ± 0.004,0.76230 ± 0.003,0.77118 ± 0.004,0.76223 ± 0.002,0.81611 ± 0.005,0.71923 ± 0.003,0.80922 ± 0.007,0.92330 ± 0.061,0.91371 ± 0.055,1.14315 ± 0.003,0.86054 ± 0.005
0.3,0.85718 ± 0.004,0.83219 ± 0.004,0.87651 ± 0.004,1.01578 ± 0.004,0.84493 ± 0.010,0.85081 ± 0.006,0.83673 ± 0.005,0.90265 ± 0.002,0.77436 ± 0.005,0.87392 ± 0.026,0.97019 ± 0.031,0.95822 ± 0.037,1.07760 ± 0.004,0.91886 ± 0.004
0.4,0.96636 ± 0.003,0.91994 ± 0.004,0.91886 ± 0.004,0.98148 ± 0.007,0.86853 ± 0.005,0.87566 ± 0.004,0.87202 ± 0.016,0.94259 ± 0.006,0.81971 ± 0.005,0.92225 ± 0.004,0.98227 ± 0.017,1.00604 ± 0.030,1.14102 ± 0.003,0.97286 ± 0.004
0.5,1.01593 ± 0.003,0.95470 ± 0.003,0.96512 ± 0.004,1.02399 ± 0.004,0.92689 ± 0.007,0.96036 ± 0.018,0.89693 ± 0.006,0.98905 ± 0.002,0.88200 ± 0.008,0.96431 ± 0.009,1.04350 ± 0.016,1.03496 ± 0.021,1.14409 ± 0.004,1.01488 ± 0.003
0.6,1.07256 ± 0.002,1.03620 ± 0.002,1.03908 ± 0.003,1.09025 ± 0.002,1.01296 ± 0.004,1.02889 ± 0.008,1.01589 ± 0.005,1.06004 ± 0.003,1.00101 ± 0.004,1.06419 ± 0.017,1.10764 ± 0.011,1.09154 ± 0.016,1.14745 ± 0.003,1.08827 ± 0.001
0.7,1.08783 ± 0.003,1.05297 ± 0.003,1.06364 ± 0.003,1.10753 ± 0.003,1.05099 ± 0.004,1.06130 ± 0.017,1.03832 ± 0.013,1.08124 ± 0.003,1.03796 ± 0.006,1.08694 ± 0.023,1.10815 ± 0.012,1.11137 ± 0.013,1.14748 ± 0.002,1.10534 ± 0.004
0.8,0.99494 ± 0.002,0.99880 ± 0.002,1.05592 ± 0.003,1.11015 ± 0.004,1.05351 ± 0.005,1.07846 ± 0.023,1.04122 ± 0.018,1.06743 ± 0.003,1.04507 ± 0.015,1.04721 ± 0.018,1.11313 ± 0.032,1.08052 ± 0.017,1.04121 ± 0.002,1.10411 ± 0.003
0.9,1.14881 ± 0.002,1.13442 ± 0.002,1.14576 ± 0.002,1.14757 ± 0.003,1.14373 ± 0.005,1.15023 ± 0.008,1.14595 ± 0.009,1.15163 ± 0.002,1.15647 ± 0.002,1.15307 ± 0.002,1.16688 ± 0.006,1.15370 ± 0.003,1.15993 ± 0.004,1.16265 ± 0.002
