,one,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
0.1,1.03683 ± 0.002,0.90786 ± 0.002,0.81525 ± 0.002,0.84956 ± 0.003,0.77242 ± 0.002,0.77149 ± 0.002,0.76703 ± 0.004,0.79421 ± 0.002,0.74252 ± 0.002,0.80638 ± 0.006,0.89693 ± 0.069,0.90481 ± 0.038,1.15187 ± 0.002,0.84168 ± 0.004
0.2,1.12137 ± 0.002,0.96615 ± 0.003,0.85261 ± 0.003,0.87873 ± 0.003,0.80981 ± 0.004,0.81600 ± 0.006,0.79587 ± 0.003,0.84097 ± 0.005,0.76133 ± 0.003,0.84759 ± 0.011,0.95686 ± 0.066,0.94556 ± 0.062,1.15195 ± 0.002,0.89521 ± 0.005
0.3,1.02850 ± 0.002,0.95908 ± 0.003,0.90804 ± 0.003,1.07005 ± 0.006,0.87198 ± 0.008,0.87918 ± 0.012,0.86119 ± 0.007,0.92139 ± 0.002,0.80260 ± 0.005,0.90263 ± 0.024,1.00051 ± 0.031,0.97922 ± 0.046,1.15090 ± 0.002,0.96012 ± 0.004
0.4,1.13411 ± 0.002,1.05015 ± 0.003,0.94206 ± 0.004,0.99293 ± 0.008,0.92447 ± 0.014,0.91916 ± 0.008,0.89798 ± 0.018,0.96793 ± 0.005,0.84544 ± 0.005,0.94686 ± 0.010,0.98849 ± 0.018,1.03064 ± 0.036,1.15238 ± 0.002,1.00309 ± 0.004
0.5,1.13786 ± 0.001,1.09023 ± 0.003,0.98494 ± 0.003,1.03629 ± 0.002,0.96861 ± 0.010,1.07617 ± 0.033,0.91361 ± 0.007,1.01649 ± 0.002,0.89661 ± 0.008,0.99309 ± 0.006,1.04124 ± 0.015,1.04284 ± 0.026,1.15197 ± 0.002,1.04727 ± 0.002
0.6,1.14521 ± 0.002,1.11630 ± 0.002,1.03753 ± 0.002,1.08245 ± 0.003,1.01814 ± 0.003,1.03288 ± 0.008,1.01808 ± 0.006,1.06544 ± 0.003,1.00111 ± 0.003,1.07535 ± 0.023,1.09863 ± 0.009,1.07860 ± 0.018,1.15231 ± 0.002,1.09507 ± 0.002
0.7,1.14578 ± 0.002,1.12662 ± 0.002,1.06076 ± 0.003,1.09784 ± 0.002,1.06399 ± 0.010,1.08839 ± 0.006,1.03359 ± 0.014,1.08753 ± 0.003,1.03729 ± 0.006,1.10714 ± 0.019,1.09458 ± 0.015,1.10061 ± 0.017,1.15250 ± 0.002,1.11305 ± 0.003
0.8,1.03307 ± 0.002,1.06390 ± 0.003,1.08504 ± 0.003,1.10545 ± 0.007,1.10965 ± 0.023,1.12751 ± 0.012,1.04866 ± 0.017,1.10277 ± 0.002,1.03769 ± 0.013,1.07598 ± 0.009,1.10229 ± 0.029,1.08069 ± 0.022,1.15063 ± 0.002,1.13078 ± 0.002
0.9,1.14943 ± 0.002,1.14198 ± 0.002,1.12420 ± 0.002,1.13175 ± 0.003,1.12886 ± 0.007,1.14272 ± 0.008,1.12887 ± 0.009,1.13487 ± 0.002,1.13604 ± 0.002,1.13761 ± 0.003,1.14163 ± 0.002,1.13149 ± 0.003,1.15260 ± 0.002,1.14704 ± 0.002
