,one,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
0.1,0.72161 ± 0.003,0.69206 ± 0.002,0.70902 ± 0.008,0.73298 ± 0.005,0.67504 ± 0.003,0.67612 ± 0.002,0.67544 ± 0.004,0.72732 ± 0.003,0.64300 ± 0.005,0.72473 ± 0.012,0.81092 ± 0.044,0.80915 ± 0.014,5279.41633 ± 2825.435,0.73994 ± 0.005
0.2,0.79494 ± 0.004,0.74077 ± 0.003,0.75023 ± 0.008,0.77780 ± 0.006,0.72682 ± 0.007,0.73872 ± 0.012,0.71787 ± 0.004,0.78595 ± 0.005,0.67084 ± 0.004,0.76445 ± 0.013,0.89065 ± 0.048,0.87561 ± 0.041,4017.48026 ± 3832.801,0.81470 ± 0.006
0.3,0.80286 ± 0.006,0.77520 ± 0.005,0.83828 ± 0.005,0.97007 ± 0.004,0.81023 ± 0.011,0.81795 ± 0.010,0.80305 ± 0.003,0.87430 ± 0.004,0.74036 ± 0.003,0.83353 ± 0.020,0.94293 ± 0.026,0.93411 ± 0.041,3503.51243 ± 929.911,0.88198 ± 0.005
0.4,0.91553 ± 0.009,0.85797 ± 0.004,0.86733 ± 0.002,0.93700 ± 0.005,0.83528 ± 0.005,0.84540 ± 0.004,0.83814 ± 0.012,0.90982 ± 0.006,0.79010 ± 0.005,0.87881 ± 0.006,0.95682 ± 0.024,0.96272 ± 0.023,5557.69012 ± 4022.947,0.93568 ± 0.003
0.5,0.95129 ± 0.006,0.91189 ± 0.004,0.91273 ± 0.002,0.98991 ± 0.004,0.89768 ± 0.007,0.92675 ± 0.018,0.87055 ± 0.005,0.95304 ± 0.003,0.85598 ± 0.007,0.92033 ± 0.007,1.01382 ± 0.019,1.00232 ± 0.022,4319.31915 ± 1731.315,0.97713 ± 0.003
0.6,1.04127 ± 0.004,0.98722 ± 0.001,0.99538 ± 0.004,1.04951 ± 0.002,0.98212 ± 0.003,0.99743 ± 0.006,0.97884 ± 0.002,1.02392 ± 0.002,0.97143 ± 0.003,1.01231 ± 0.013,1.07667 ± 0.014,1.06529 ± 0.016,3400.33242 ± 1703.485,1.04897 ± 0.002
0.7,1.05872 ± 0.008,1.01785 ± 0.004,1.01337 ± 0.004,1.06897 ± 0.004,1.02089 ± 0.003,1.03413 ± 0.012,1.00156 ± 0.009,1.04234 ± 0.001,1.01326 ± 0.005,1.03739 ± 0.017,1.08247 ± 0.011,1.08230 ± 0.012,3441.21412 ± 1096.721,1.06792 ± 0.003
0.8,0.98092 ± 0.004,0.96723 ± 0.002,1.00580 ± 0.002,1.07484 ± 0.004,1.00212 ± 0.007,1.03771 ± 0.018,1.01092 ± 0.013,1.02370 ± 0.004,1.02416 ± 0.013,0.99807 ± 0.012,1.08364 ± 0.024,1.05461 ± 0.011,5085.59028 ± 1442.413,1.05552 ± 0.002
0.9,1.12775 ± 0.002,1.11670 ± 0.001,1.11572 ± 0.004,1.11866 ± 0.002,1.11402 ± 0.007,1.12421 ± 0.006,1.11670 ± 0.007,1.11929 ± 0.002,1.13014 ± 0.003,1.12083 ± 0.005,1.14471 ± 0.002,1.12721 ± 0.001,5048.40049 ± 368.796,1.13625 ± 0.002
