,train_rmse_mean,train_rmse_std,train_mae_mean,train_mae_std,test_rmse_mean,test_rmse_std,test_mae_mean,test_mae_std
Q1_Q2_0.25,0.35012797,0.0045641847,0.3146906,0.0052975016,0.34904063,0.0037672776,0.3124303,0.002642569
Q1_Q3_0.25,0.31644437,0.0034042536,0.26134905,0.0033951697,0.31641072,0.010853719,0.26115933,0.011104072
Q1_Q4_0.25,0.39274418,0.0015668373,0.38294706,0.00089922425,0.39206332,0.004257181,0.3827322,0.0039268495
Q2_Q3_0.25,0.15426417,0.002256156,0.13245018,0.0019857318,0.15203245,0.0083220685,0.1305485,0.008309895
Q2_Q4_0.25,0.29256794,0.0024097709,0.25458032,0.002555831,0.29364693,0.010050746,0.25548,0.009125804
Q3_Q4_0.25,0.30984762,0.0016565538,0.2708716,0.0018249287,0.310049,0.007896196,0.2703225,0.008011843
Q1_0.25,0.43254915,0.0069445022,0.42416197,0.007013042,0.43061844,0.006467081,0.42242092,0.006007514
Q2_0.25,0.17127374,0.005151828,0.15137765,0.0060447217,0.1709656,0.0054586427,0.1504566,0.0047899485
Q3_0.25,0.14267994,0.004534207,0.12070967,0.0046058674,0.14298853,0.0051794853,0.12094109,0.0057094055
Q4_0.25,0.39994055,0.0039091636,0.391296,0.003963258,0.40099058,0.010007997,0.39293557,0.010638346
Q1_Q2_0.5,0.3896305,0.0028964505,0.35720038,0.0030793806,0.38907614,0.0034973829,0.3559615,0.0044355383
Q1_Q3_0.5,0.3261945,0.0035874378,0.26320845,0.0017815639,0.3258275,0.005265087,0.26307613,0.0054436503
Q1_Q4_0.5,0.38749236,0.0016453285,0.3777709,0.0013276993,0.38761216,0.0057628225,0.37805742,0.0057449206
Q2_Q3_0.5,0.1514311,0.0016449827,0.1295614,0.0010935251,0.15183577,0.003958454,0.12982276,0.0031556052
Q2_Q4_0.5,0.30295205,0.0032992915,0.25698847,0.0012933369,0.30272588,0.0033913862,0.2564435,0.0041309237
Q3_Q4_0.5,0.3507222,0.0038315936,0.3121297,0.00470597,0.3496779,0.0029275713,0.31209546,0.0041297926
Q1_0.5,0.46010774,0.0042526447,0.4521648,0.0042524375,0.45668083,0.0057608695,0.44922218,0.00637619
Q2_0.5,0.18464239,0.006354,0.166262,0.0064513,0.1838406,0.0044816164,0.16542658,0.0045086415
Q3_0.5,0.14771518,0.0034931763,0.12616603,0.004009564,0.14864248,0.0061843754,0.12679367,0.0070685027
Q4_0.5,0.423464,0.005325645,0.41527063,0.005586605,0.4258789,0.009612144,0.41823667,0.00986584
Q1_Q2_0.75,0.44292444,0.0039372467,0.41523004,0.004149695,0.44486898,0.0075523653,0.41795993,0.00810936
Q1_Q3_0.75,0.34501964,0.0032920719,0.2734707,0.001769001,0.34355488,0.0032597547,0.27237794,0.0026091808
Q1_Q4_0.75,0.38652417,0.0012052419,0.3773414,0.00079613534,0.3859282,0.0025143889,0.37681928,0.0024117294
Q2_Q3_0.75,0.1576538,0.0022270216,0.1332632,0.0016507732,0.15726419,0.0028699648,0.13331309,0.0026921653
Q2_Q4_0.75,0.31985596,0.0038935742,0.26087934,0.0023213879,0.32132328,0.004874605,0.26271778,0.0066039036
Q3_Q4_0.75,0.4208656,0.0019226,0.38989758,0.0019679512,0.4217268,0.0047550537,0.3909399,0.0048835305
Q1_0.75,0.49118367,0.0041699717,0.48407096,0.004279902,0.48944816,0.0025120762,0.48248377,0.002563996
Q2_0.75,0.20439324,0.008650619,0.18608233,0.008631887,0.20207644,0.0022056121,0.18410745,0.0019264268
Q3_0.75,0.15141428,0.0035079126,0.12926367,0.0038595365,0.15191722,0.0044417754,0.13076922,0.0041115573
Q4_0.75,0.45184907,0.0058305394,0.44374862,0.0059951185,0.454383,0.0065520783,0.44695702,0.0070655607
Q1_Q2_1.0,0.525643,0.0052111237,0.5043816,0.0054136147,0.52636075,0.0055644135,0.5054463,0.005274792
Q1_Q3_1.0,0.37715927,0.0018124606,0.294931,0.0015256851,0.37677956,0.0043642023,0.29500633,0.004424204
Q1_Q4_1.0,0.38448954,0.00066103024,0.37636143,0.000763653,0.3846576,0.0025707758,0.3765823,0.0025745432
Q2_Q3_1.0,0.16134644,0.0020316553,0.13595614,0.001566072,0.16015325,0.0031439955,0.13520609,0.0028763397
Q2_Q4_1.0,0.3529549,0.0031488761,0.27846044,0.002453175,0.3534666,0.0069972957,0.2784934,0.0072365673
Q3_Q4_1.0,0.5138778,0.0047194604,0.4922537,0.0050027827,0.51398647,0.0073247887,0.49233705,0.007976648
Q1_1.0,0.52175933,0.0031178666,0.5155094,0.0031820356,0.5204938,0.0061287475,0.5143397,0.0061331564
Q2_1.0,0.21722023,0.008798177,0.19773573,0.008816647,0.21677187,0.009813087,0.19816157,0.009174267
Q3_1.0,0.1638388,0.006292207,0.14028654,0.0062085465,0.16445158,0.00943051,0.14139159,0.009210629
Q4_1.0,0.49184448,0.0070223855,0.4850746,0.00727344,0.49329042,0.0042059408,0.4866445,0.0044937395
