,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
0.1,10.66392 ± 0.155,10.79490 ± 0.182,10.73191 ± 0.194,10.73766 ± 0.191,10.72839 ± 0.152,10.65327 ± 0.149,10.72253 ± 0.176,12.25128 ± 0.080,11.14596 ± 0.410,11.37307 ± 0.289,16.60003 ± 0.104,10.73597 ± 0.181
0.2,10.12517 ± 0.128,10.28468 ± 0.166,10.34936 ± 0.194,10.31241 ± 0.180,10.25348 ± 0.150,10.01895 ± 0.107,10.28360 ± 0.209,12.12214 ± 0.142,10.85457 ± 0.517,10.54322 ± 0.377,16.62158 ± 0.104,10.19317 ± 0.157
0.3,12.42352 ± 0.142,12.46442 ± 0.163,12.50391 ± 0.182,12.46854 ± 0.143,12.34206 ± 0.132,12.48138 ± 0.169,12.36658 ± 0.142,12.43170 ± 0.103,12.57203 ± 0.228,12.61384 ± 0.278,16.62158 ± 0.090,12.53714 ± 0.180
0.4,12.60927 ± 0.118,12.75174 ± 0.135,12.57836 ± 0.200,12.63610 ± 0.180,12.61908 ± 0.136,12.58109 ± 0.097,12.68131 ± 0.136,12.51484 ± 0.270,13.04485 ± 0.234,13.02746 ± 0.310,16.61169 ± 0.091,12.67492 ± 0.127
0.5,11.72850 ± 0.106,11.88365 ± 0.120,10.98807 ± 0.162,11.50506 ± 0.143,11.82452 ± 0.125,11.83849 ± 0.116,11.73765 ± 0.127,12.82710 ± 0.417,12.90542 ± 0.656,12.84328 ± 0.163,16.65254 ± 0.100,11.83455 ± 0.150
0.6,12.43497 ± 0.115,12.57155 ± 0.131,12.31690 ± 0.149,12.44608 ± 0.142,12.72834 ± 0.141,12.48601 ± 0.136,12.58096 ± 0.172,13.34804 ± 0.500,13.34864 ± 0.428,13.54175 ± 0.390,16.60953 ± 0.083,12.64457 ± 0.124
0.7,11.68655 ± 0.143,11.91930 ± 0.195,11.78257 ± 0.151,11.71405 ± 0.118,11.89103 ± 0.163,11.54635 ± 0.122,11.87800 ± 0.186,13.08618 ± 0.402,13.10002 ± 0.456,13.49915 ± 0.437,16.58199 ± 0.096,11.81934 ± 0.189
0.8,11.66923 ± 0.143,11.72633 ± 0.139,11.83094 ± 0.144,11.84947 ± 0.156,11.71153 ± 0.102,11.45539 ± 0.121,11.72421 ± 0.187,12.90359 ± 0.101,11.87423 ± 0.434,11.63896 ± 0.389,16.61423 ± 0.089,11.78236 ± 0.175
