,mean,knn,mice,XGB,missforest,mf
0.1,6.10163 ± 0.145,6.29114 ± 0.192,6.08092 ± 0.163,6.12399 ± 0.149,6.18113 ± 0.168,6.13363 ± 0.145
0.2,5.86225 ± 0.107,5.98607 ± 0.129,5.99118 ± 0.141,6.00438 ± 0.142,5.91297 ± 0.106,5.83986 ± 0.099
0.3,7.62805 ± 0.124,8.41386 ± 0.168,7.91330 ± 0.151,7.75190 ± 0.133,7.71374 ± 0.122,7.84653 ± 0.142
0.4,8.66948 ± 0.128,9.57530 ± 0.165,8.76079 ± 0.134,8.83895 ± 0.100,8.85464 ± 0.134,8.18008 ± 0.147
0.5,6.47271 ± 0.102,6.83995 ± 0.113,6.12480 ± 0.078,6.32966 ± 0.107,6.53032 ± 0.090,6.62320 ± 0.092
0.6,6.69865 ± 0.045,7.65518 ± 0.175,7.27093 ± 0.070,7.17847 ± 0.075,7.22032 ± 0.193,6.78415 ± 0.012
0.7,6.52127 ± 0.085,7.08825 ± 0.163,6.74472 ± 0.089,6.80966 ± 0.087,6.87411 ± 0.173,6.65380 ± 0.097
0.8,6.36746 ± 0.114,6.64484 ± 0.129,6.54335 ± 0.109,6.57686 ± 0.148,6.49285 ± 0.080,6.35246 ± 0.099
