,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
0.1,0.85326 ± 0.007,0.86488 ± 0.010,0.86172 ± 0.007,0.86307 ± 0.005,0.85340 ± 0.010,0.85414 ± 0.008,0.85882 ± 0.010,0.82227 ± 0.006,0.82419 ± 0.004,0.82401 ± 0.006,0.99263 ± 0.008,0.84830 ± 0.006
0.2,0.83618 ± 0.009,0.86287 ± 0.006,0.85425 ± 0.008,0.85226 ± 0.007,0.84946 ± 0.005,0.84358 ± 0.010,0.83618 ± 0.009,0.81123 ± 0.012,0.81690 ± 0.016,0.82025 ± 0.019,0.99795 ± 0.001,0.84415 ± 0.004
0.3,0.83112 ± 0.014,0.84673 ± 0.004,0.84816 ± 0.007,0.84947 ± 0.008,0.84571 ± 0.006,0.84150 ± 0.013,0.83902 ± 0.014,0.80112 ± 0.018,0.80646 ± 0.012,0.80380 ± 0.008,0.99971 ± 0.001,0.81302 ± 0.014
0.4,0.80490 ± 0.010,0.83352 ± 0.007,0.83593 ± 0.010,0.82957 ± 0.008,0.82460 ± 0.014,0.81681 ± 0.012,0.83741 ± 0.011,0.77202 ± 0.016,0.79402 ± 0.009,0.79077 ± 0.017,0.99883 ± 0.001,0.80753 ± 0.013
0.5,0.80707 ± 0.006,0.79656 ± 0.011,0.82460 ± 0.007,0.81993 ± 0.007,0.82748 ± 0.009,0.82654 ± 0.010,0.84204 ± 0.007,0.75570 ± 0.029,0.77332 ± 0.019,0.77612 ± 0.006,0.99650 ± 0.004,0.80422 ± 0.002
0.6,0.78230 ± 0.010,0.76514 ± 0.005,0.80604 ± 0.013,0.79130 ± 0.010,0.79426 ± 0.009,0.79796 ± 0.007,0.80549 ± 0.004,0.73281 ± 0.005,0.76448 ± 0.014,0.75872 ± 0.013,0.99971 ± 0.001,0.78581 ± 0.016
0.7,0.73181 ± 0.011,0.70787 ± 0.006,0.75920 ± 0.025,0.76181 ± 0.007,0.76518 ± 0.013,0.74293 ± 0.009,0.76954 ± 0.006,0.68084 ± 0.018,0.71447 ± 0.022,0.72268 ± 0.014,0.99736 ± 0.002,0.77212 ± 0.009
0.8,0.69495 ± 0.021,0.68947 ± 0.010,0.72879 ± 0.021,0.71328 ± 0.016,0.72550 ± 0.023,0.71878 ± 0.016,0.73371 ± 0.017,0.62794 ± 0.031,0.68873 ± 0.012,0.69777 ± 0.013,0.99617 ± 0.004,0.75946 ± 0.022
0.9,0.54081 ± 0.021,0.66872 ± 0.010,0.62342 ± 0.017,0.59506 ± 0.027,0.61060 ± 0.026,0.60529 ± 0.018,0.64447 ± 0.031,0.47946 ± 0.021,0.53841 ± 0.040,0.56206 ± 0.039,0.96345 ± 0.005,0.76201 ± 0.008
