,train_rmse_mean,train_rmse_std,train_mae_mean,train_mae_std,test_rmse_mean,test_rmse_std,test_mae_mean,test_mae_std
Q1_Q2_0.25,0.103685275,0.0022561564,0.08061437,0.0019819383,0.103499815,0.010038662,0.08136516,0.007025193
Q1_Q3_0.25,0.12824583,0.0018368964,0.100075975,0.001520209,0.1259922,0.011708818,0.098882124,0.008670995
Q1_Q4_0.25,0.20135272,0.0024783532,0.14844146,0.002363558,0.20184322,0.008532713,0.14910722,0.0051635867
Q2_Q3_0.25,0.090937555,0.0005754952,0.06656388,0.0004993155,0.09088731,0.009214146,0.06721164,0.0045564948
Q2_Q4_0.25,0.1337679,0.0041537285,0.09493195,0.0018771406,0.13164704,0.013121443,0.0932429,0.006612845
Q3_Q4_0.25,0.12621196,0.0012488307,0.090577364,0.0015643422,0.12855944,0.008637997,0.09115348,0.0052854135
Q1_0.25,0.11168639,0.002020189,0.08801086,0.0012546419,0.10992269,0.010088671,0.08756416,0.0057453327
Q2_0.25,0.08106031,0.0033288614,0.061743516,0.0017851251,0.08218501,0.0104184225,0.06389297,0.006565039
Q3_0.25,0.08631997,0.0023061275,0.06388659,0.0012188095,0.08805342,0.010643906,0.06578152,0.006458275
Q4_0.25,0.15921985,0.0040856404,0.10664662,0.0016900017,0.16285095,0.022848768,0.10772091,0.011060861
Q1_Q2_0.5,0.13345715,0.0021969057,0.09920406,0.0012173414,0.132651,0.011645791,0.09912075,0.007833203
Q1_Q3_0.5,0.14483243,0.001943095,0.11409321,0.00163264,0.14499187,0.008270121,0.1143025,0.0054651997
Q1_Q4_0.5,0.22698537,0.0019269466,0.17902184,0.0012318298,0.22691004,0.008815628,0.17851906,0.006870059
Q2_Q3_0.5,0.09901476,0.0025861075,0.07625474,0.0014207996,0.098835684,0.0068357326,0.0762905,0.0043729427
Q2_Q4_0.5,0.15460384,0.0017316098,0.111432254,0.0010901259,0.15658653,0.0044714524,0.1115884,0.003900585
Q3_Q4_0.5,0.15076084,0.0034577472,0.110696174,0.0024356903,0.15212496,0.009827906,0.11124094,0.005912718
Q1_0.5,0.119891085,0.0015286661,0.094683334,0.0011638609,0.12061255,0.0053591747,0.09545854,0.0041979435
Q2_0.5,0.08079411,0.0027523804,0.062330734,0.0023492076,0.080479234,0.009415694,0.062196124,0.004448381
Q3_0.5,0.09408263,0.0020646239,0.069157645,0.001158384,0.093914114,0.004541427,0.069300726,0.0024554252
Q4_0.5,0.16993602,0.0021025394,0.11671921,0.00077365065,0.17115709,0.018872272,0.11800883,0.011328381
Q1_Q2_0.75,0.2035565,0.012976725,0.15884562,0.0131024625,0.21029635,0.01279926,0.16402861,0.012889847
Q1_Q3_0.75,0.1980247,0.005372837,0.15868668,0.0043376824,0.20189397,0.009851988,0.16021988,0.0055741253
Q1_Q4_0.75,0.25918183,0.0015418073,0.21888408,0.0016398164,0.26113555,0.0039238795,0.2203773,0.0037166951
Q2_Q3_0.75,0.12028297,0.0009735002,0.08752437,0.0010144508,0.12074499,0.009369011,0.08787052,0.0030992366
Q2_Q4_0.75,0.18831384,0.0020170896,0.14011636,0.0012662965,0.18974626,0.011630506,0.13970877,0.0075477376
Q3_Q4_0.75,0.2408113,0.008073669,0.1863012,0.006626303,0.24826589,0.014220965,0.18834998,0.009015948
Q1_0.75,0.15210822,0.005570438,0.117842115,0.003727475,0.14953886,0.009433371,0.11626843,0.007102422
Q2_0.75,0.098355785,0.002421977,0.07320197,0.0013363402,0.097525395,0.011398852,0.073429585,0.005077486
Q3_0.75,0.092688605,0.002751263,0.070039965,0.0017729761,0.09363684,0.007347911,0.07023515,0.0045521306
Q4_0.75,0.19232044,0.0059273704,0.13720512,0.0051499517,0.19354472,0.011755669,0.13792789,0.0061415327
Q1_Q2_1.0,0.39895856,0.004754618,0.36071062,0.0014908842,0.39777434,0.008483139,0.35942224,0.006425151
Q1_Q3_1.0,0.38419133,0.000739675,0.2972942,0.0011709981,0.3838179,0.0073393257,0.2969694,0.0060702832
Q1_Q4_1.0,0.30891567,0.0013776667,0.27143377,0.000980837,0.30980262,0.006348968,0.27200285,0.0055428464
Q2_Q3_1.0,0.13890481,0.0022012223,0.10200916,0.0004150615,0.14160833,0.010622979,0.10289717,0.0036693197
Q2_Q4_1.0,0.29840606,0.0025932034,0.22114626,0.0024503393,0.30035946,0.009589827,0.2218853,0.007894042
Q3_Q4_1.0,0.6218418,0.3378004,0.45096582,0.1345677,0.6333223,0.35533562,0.45388922,0.13654198
Q1_1.0,0.43785673,0.00533045,0.3719297,0.007229748,0.4363882,0.012796479,0.3690639,0.013937438
Q2_1.0,0.1247465,0.0037040072,0.09124704,0.0022246619,0.12304369,0.011751956,0.09129707,0.0061481697
Q3_1.0,0.09558334,0.0035525272,0.07163464,0.0016644247,0.09545779,0.0053367596,0.071397856,0.0033996338
Q4_1.0,0.3755371,0.0028208294,0.32325834,0.0029846143,0.37364203,0.016439015,0.32215625,0.013408455
