,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
0.1,0.92560 ± 0.005,0.94664 ± 0.003,0.92623 ± 0.005,0.93062 ± 0.005,0.93808 ± 0.003,0.94042 ± 0.003,0.94057 ± 0.004,0.94059 ± 0.007,0.93230 ± 0.017,0.92956 ± 0.027,0.51892 ± 0.010,0.92751 ± 0.005
0.2,0.90604 ± 0.006,0.90980 ± 0.010,0.90766 ± 0.008,0.91161 ± 0.007,0.91077 ± 0.006,0.90203 ± 0.009,0.90712 ± 0.008,0.90754 ± 0.009,0.91677 ± 0.018,0.91713 ± 0.023,0.52140 ± 0.011,0.89532 ± 0.009
0.3,0.89503 ± 0.007,0.91724 ± 0.008,0.89141 ± 0.007,0.89911 ± 0.008,0.91235 ± 0.007,0.89761 ± 0.008,0.91431 ± 0.006,0.89899 ± 0.014,0.88261 ± 0.031,0.90153 ± 0.017,0.52962 ± 0.004,0.89508 ± 0.011
0.4,0.74917 ± 0.014,0.92379 ± 0.006,0.90680 ± 0.005,0.90478 ± 0.005,0.84903 ± 0.006,0.76301 ± 0.013,0.90126 ± 0.016,0.85542 ± 0.040,0.79274 ± 0.026,0.86928 ± 0.055,0.53595 ± 0.008,0.78657 ± 0.007
0.5,0.85649 ± 0.004,0.88873 ± 0.005,0.87159 ± 0.006,0.86448 ± 0.004,0.86229 ± 0.003,0.85505 ± 0.004,0.87039 ± 0.007,0.88746 ± 0.032,0.71345 ± 0.025,0.74236 ± 0.030,0.53802 ± 0.005,0.83305 ± 0.009
0.6,0.88780 ± 0.005,0.89913 ± 0.002,0.90166 ± 0.008,0.90347 ± 0.005,0.86687 ± 0.030,0.88282 ± 0.006,0.88128 ± 0.010,0.89240 ± 0.014,0.90762 ± 0.022,0.91570 ± 0.011,0.53543 ± 0.008,0.87229 ± 0.009
0.7,0.91559 ± 0.004,0.86052 ± 0.007,0.94432 ± 0.003,0.94090 ± 0.005,0.94855 ± 0.004,0.88672 ± 0.006,0.87433 ± 0.004,0.92419 ± 0.019,0.83404 ± 0.026,0.85397 ± 0.018,0.52631 ± 0.007,0.88232 ± 0.006
0.8,0.78440 ± 0.005,0.79204 ± 0.003,0.78877 ± 0.004,0.78379 ± 0.005,0.78745 ± 0.006,0.79699 ± 0.003,0.79741 ± 0.006,0.79604 ± 0.003,0.55821 ± 0.021,0.55541 ± 0.019,0.53812 ± 0.010,0.78051 ± 0.006
