,mean,knn,mice,XGB,missforest,mf
0.1,0.93452 ± 0.003,0.95396 ± 0.002,0.93454 ± 0.004,0.95226 ± 0.003,0.94703 ± 0.002,0.94792 ± 0.004
0.2,0.92157 ± 0.005,0.93545 ± 0.008,0.92058 ± 0.006,0.92454 ± 0.006,0.92820 ± 0.005,0.91976 ± 0.006
0.3,0.90589 ± 0.007,0.92534 ± 0.007,0.90185 ± 0.005,0.91994 ± 0.008,0.92287 ± 0.007,0.90979 ± 0.007
0.4,0.85788 ± 0.006,0.94291 ± 0.003,0.91814 ± 0.003,0.91524 ± 0.009,0.87211 ± 0.007,0.87477 ± 0.003
0.5,0.87505 ± 0.002,0.91076 ± 0.004,0.88482 ± 0.004,0.89037 ± 0.003,0.88458 ± 0.004,0.87402 ± 0.003
0.6,0.90111 ± 0.006,0.91463 ± 0.004,0.92906 ± 0.007,0.90285 ± 0.008,0.90543 ± 0.021,0.90592 ± 0.006
0.7,0.94231 ± 0.003,0.87655 ± 0.007,0.95755 ± 0.002,0.89293 ± 0.007,0.95673 ± 0.003,0.92698 ± 0.005
0.8,0.94624 ± 0.001,0.82293 ± 0.005,0.82042 ± 0.005,0.81501 ± 0.006,0.81358 ± 0.011,0.81771 ± 0.004
