,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,9.17819 ± 1.035,9.15210 ± 0.792,9.07783 ± 0.863,9.17721 ± 0.997,9.06688 ± 0.854,9.06197 ± 0.863,9.06426 ± 0.844,9.06373 ± 0.846,9.05811 ± 0.856,11.23685 ± 1.357,10.93814 ± 1.623,10.87469 ± 1.786,15.15011 ± 1.654,9.07345 ± 0.881
Q1_Q3_0.25,8.97589 ± 0.878,9.28657 ± 0.776,9.03498 ± 0.729,9.05013 ± 0.957,9.02866 ± 0.757,9.02516 ± 0.754,9.03990 ± 0.757,9.08131 ± 0.697,9.02729 ± 0.754,11.36290 ± 1.476,12.49046 ± 0.998,12.55666 ± 1.608,15.06901 ± 1.618,9.02687 ± 0.774
Q1_Q4_0.25,9.64128 ± 0.988,10.67243 ± 1.129,9.11827 ± 0.816,9.25177 ± 1.014,9.09549 ± 0.850,9.13133 ± 0.841,9.10363 ± 0.845,9.25041 ± 0.790,9.13131 ± 0.840,12.01085 ± 1.496,12.99245 ± 2.066,13.51162 ± 0.903,15.06865 ± 1.559,9.13563 ± 0.861
Q2_Q3_0.25,9.12131 ± 0.912,9.35733 ± 0.761,8.99060 ± 0.744,9.03486 ± 0.829,8.99102 ± 0.744,8.99054 ± 0.750,8.99596 ± 0.758,9.03997 ± 0.689,8.99367 ± 0.752,10.92045 ± 1.220,11.58858 ± 1.595,11.94593 ± 2.048,15.13387 ± 1.618,8.99181 ± 0.741
Q2_Q4_0.25,9.24306 ± 1.002,10.43811 ± 1.060,9.09987 ± 0.838,9.23084 ± 0.877,9.09488 ± 0.821,9.09490 ± 0.838,9.11559 ± 0.837,9.08400 ± 0.813,9.09998 ± 0.837,11.64375 ± 1.496,12.72991 ± 1.384,11.21291 ± 2.050,15.12874 ± 1.620,9.17761 ± 0.859
Q3_Q4_0.25,9.34358 ± 0.861,10.56645 ± 0.741,9.20043 ± 0.664,9.24653 ± 0.741,9.21180 ± 0.645,9.20074 ± 0.662,9.20941 ± 0.644,9.21954 ± 0.659,9.20428 ± 0.657,11.64101 ± 1.129,12.42655 ± 1.682,12.25344 ± 1.789,15.08383 ± 1.574,9.19442 ± 0.694
Q1_0.25,8.95155 ± 0.812,9.02214 ± 0.794,9.09387 ± 0.691,9.06247 ± 0.760,9.09485 ± 0.709,9.10389 ± 0.688,9.10779 ± 0.706,9.10622 ± 0.702,9.11578 ± 0.691,11.21805 ± 1.358,12.81958 ± 1.988,12.39143 ± 1.651,15.11829 ± 1.616,9.09789 ± 0.718
Q2_0.25,9.04508 ± 0.807,9.14179 ± 0.834,8.99762 ± 0.799,9.02551 ± 0.812,8.99063 ± 0.802,8.99425 ± 0.804,8.99036 ± 0.796,9.01735 ± 0.808,8.99084 ± 0.797,11.04206 ± 1.419,11.95839 ± 1.147,12.68292 ± 1.821,15.30869 ± 1.668,8.99844 ± 0.800
Q3_0.25,9.07648 ± 0.778,9.23068 ± 0.719,8.99982 ± 0.691,8.99297 ± 0.794,9.00483 ± 0.688,8.99883 ± 0.692,8.98955 ± 0.687,9.02364 ± 0.699,9.00150 ± 0.692,10.88004 ± 1.161,12.04799 ± 1.722,11.96472 ± 1.700,15.05506 ± 1.601,8.99974 ± 0.698
Q4_0.25,9.16374 ± 0.816,10.35651 ± 1.027,9.16113 ± 0.749,9.15425 ± 0.758,9.14672 ± 0.753,9.15349 ± 0.760,9.16646 ± 0.751,9.18590 ± 0.756,9.15454 ± 0.757,11.74274 ± 1.283,13.23604 ± 1.221,12.16905 ± 2.239,15.10845 ± 1.605,9.17324 ± 0.762
