,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,12.21717 ± 1.445,11.77492 ± 1.401,12.08699 ± 1.440,12.12809 ± 1.458,12.03255 ± 1.405,12.03766 ± 1.428,12.04783 ± 1.448,12.11609 ± 1.448,12.04331 ± 1.421,12.48302 ± 1.551,14.54200 ± 1.582,14.51920 ± 1.560,18.29841 ± 1.755,12.14623 ± 1.456
Q1_Q3_0.25,12.13693 ± 1.470,11.97804 ± 1.386,12.03202 ± 1.454,12.09059 ± 1.452,12.01829 ± 1.396,12.00965 ± 1.426,12.03368 ± 1.450,12.02447 ± 1.412,12.00894 ± 1.430,12.51565 ± 1.620,14.55250 ± 1.557,14.57273 ± 1.520,18.30170 ± 1.745,12.05233 ± 1.468
Q1_Q4_0.25,12.85348 ± 1.450,13.37242 ± 1.441,12.44805 ± 1.467,12.61913 ± 1.497,12.43645 ± 1.436,12.45047 ± 1.447,12.45636 ± 1.460,12.54038 ± 1.459,12.44394 ± 1.450,13.00831 ± 1.630,14.54104 ± 1.551,14.53259 ± 1.564,18.30691 ± 1.745,12.48692 ± 1.495
Q2_Q3_0.25,12.05524 ± 1.420,12.03088 ± 1.421,11.84365 ± 1.384,11.91738 ± 1.403,11.85862 ± 1.377,11.86201 ± 1.376,11.87114 ± 1.383,11.92285 ± 1.381,11.88073 ± 1.416,12.23025 ± 1.357,14.53877 ± 1.560,14.53326 ± 1.547,18.31760 ± 1.757,11.92179 ± 1.367
Q2_Q4_0.25,12.45618 ± 1.402,13.10548 ± 1.385,12.24649 ± 1.393,12.32871 ± 1.433,12.21250 ± 1.405,12.23122 ± 1.401,12.20656 ± 1.379,12.15826 ± 1.407,12.23064 ± 1.388,12.70790 ± 1.651,14.55328 ± 1.546,14.51491 ± 1.507,18.30835 ± 1.752,12.31554 ± 1.412
Q3_Q4_0.25,12.33969 ± 1.315,13.16695 ± 1.220,12.16606 ± 1.320,12.24276 ± 1.337,12.13569 ± 1.336,12.11638 ± 1.340,12.13398 ± 1.328,12.20647 ± 1.304,12.12269 ± 1.335,12.85268 ± 1.387,14.52153 ± 1.526,14.50916 ± 1.517,18.28301 ± 1.749,12.14390 ± 1.302
Q1_0.25,12.11492 ± 1.370,11.81607 ± 1.394,12.09476 ± 1.428,12.04347 ± 1.404,12.05039 ± 1.415,12.03630 ± 1.425,12.10001 ± 1.381,12.11235 ± 1.359,12.03952 ± 1.413,12.45169 ± 1.471,14.56673 ± 1.590,14.56193 ± 1.565,18.29863 ± 1.757,12.10976 ± 1.464
Q2_0.25,11.96223 ± 1.413,12.00815 ± 1.391,11.81980 ± 1.416,11.90215 ± 1.367,11.86735 ± 1.413,11.85866 ± 1.385,11.82504 ± 1.424,11.87903 ± 1.437,11.87716 ± 1.424,12.31302 ± 1.559,14.52815 ± 1.550,14.54242 ± 1.543,18.29384 ± 1.761,11.88436 ± 1.416
Q3_0.25,11.96367 ± 1.384,12.19901 ± 1.320,11.83222 ± 1.353,11.89182 ± 1.381,11.83449 ± 1.379,11.82138 ± 1.368,11.82315 ± 1.361,11.84962 ± 1.365,11.82394 ± 1.373,12.18159 ± 1.501,14.52985 ± 1.543,14.50610 ± 1.569,18.29145 ± 1.752,11.85866 ± 1.358
Q4_0.25,12.23580 ± 1.343,13.30651 ± 1.383,12.18746 ± 1.362,12.21135 ± 1.382,12.16043 ± 1.378,12.17741 ± 1.392,12.18088 ± 1.384,12.19761 ± 1.362,12.17794 ± 1.390,12.95118 ± 1.433,14.53711 ± 1.528,14.54077 ± 1.537,18.28323 ± 1.753,12.21243 ± 1.340
