,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,12.21717,11.77492,12.08699,12.12809,12.03255,12.03766,12.04783,12.11609,12.04331,12.48302,14.54200,14.51920,18.29841,12.14623
Q1_Q3_0.25,12.13693,11.97804,12.03202,12.09059,12.01829,12.00965,12.03368,12.02447,12.00894,12.51565,14.55250,14.57273,18.30170,12.05233
Q1_Q4_0.25,12.85348,13.37242,12.44805,12.61913,12.43645,12.45047,12.45636,12.54038,12.44394,13.00831,14.54104,14.53259,18.30691,12.48692
Q2_Q3_0.25,12.05524,12.03088,11.84365,11.91738,11.85862,11.86201,11.87114,11.92285,11.88073,12.23025,14.53877,14.53326,18.31760,11.92179
Q2_Q4_0.25,12.45618,13.10548,12.24649,12.32871,12.21250,12.23122,12.20656,12.15826,12.23064,12.70790,14.55328,14.51491,18.30835,12.31554
Q3_Q4_0.25,12.33969,13.16695,12.16606,12.24276,12.13569,12.11638,12.13398,12.20647,12.12269,12.85268,14.52153,14.50916,18.28301,12.14390
Q1_0.25,12.11492,11.81607,12.09476,12.04347,12.05039,12.03630,12.10001,12.11235,12.03952,12.45169,14.56673,14.56193,18.29863,12.10976
Q2_0.25,11.96223,12.00815,11.81980,11.90215,11.86735,11.85866,11.82504,11.87903,11.87716,12.31302,14.52815,14.54242,18.29384,11.88436
Q3_0.25,11.96367,12.19901,11.83222,11.89182,11.83449,11.82138,11.82315,11.84962,11.82394,12.18159,14.52985,14.50610,18.29145,11.85866
Q4_0.25,12.23580,13.30651,12.18746,12.21135,12.16043,12.17741,12.18088,12.19761,12.17794,12.95118,14.53711,14.54077,18.28323,12.21243
Q1_Q2_0.5,12.51022,11.75023,12.60330,12.61248,12.53796,12.42746,12.52104,12.67295,12.54433,13.18702,14.58237,14.56498,18.29753,12.61405
Q1_Q3_0.5,12.49372,12.15126,12.51540,12.43245,12.45899,12.31577,12.42741,12.52653,12.44471,12.47853,14.59535,14.57231,18.29595,12.47568
Q1_Q4_0.5,13.32517,13.74861,13.04226,13.06678,13.00701,13.01928,13.00443,13.09342,13.00988,13.39060,14.58379,14.57100,18.33524,13.15672
Q2_Q3_0.5,12.18870,12.15229,11.93023,12.05188,11.90097,11.87968,11.89135,11.99927,11.92037,12.20414,14.48306,14.49904,18.28756,11.98924
Q2_Q4_0.5,12.96328,13.84256,12.59147,12.95712,12.62513,12.65171,12.78071,12.66583,12.61060,13.21130,14.53735,14.48249,18.30059,12.65602
Q3_Q4_0.5,13.02402,14.19962,12.75096,12.89941,12.62782,12.65376,12.68671,12.83983,12.77833,13.08441,14.52420,14.52160,18.29563,12.87294
Q1_0.5,12.42479,11.78067,12.35632,12.36139,12.30284,12.31639,12.30846,12.39285,12.35775,12.81946,14.57169,14.56467,18.30209,12.37845
Q2_0.5,11.96490,11.70786,11.84422,11.94537,11.87165,11.90186,11.87095,11.92774,11.90046,12.24285,14.54715,14.52127,18.29554,11.91371
Q3_0.5,12.12750,12.13194,11.93660,11.96866,11.89493,11.90611,11.90538,11.94890,11.92095,12.07836,14.51228,14.54351,18.28161,11.92619
Q4_0.5,12.70975,14.00984,12.54897,12.79570,12.56374,12.57921,12.56621,12.58037,12.56633,13.63166,14.52558,14.51104,18.27581,12.59007
Q1_Q2_0.75,12.84597,11.70260,13.42765,13.57850,13.45281,13.26016,13.37903,13.64715,13.43345,14.47964,14.65165,14.60440,18.29507,13.45134
Q1_Q3_0.75,12.83250,12.34991,13.00418,12.91579,13.18202,13.11294,12.89571,13.04956,13.01505,13.30138,14.61505,14.59280,18.27144,12.97055
Q1_Q4_0.75,14.12303,14.82277,13.88582,13.84954,13.96058,14.03825,14.14405,13.87509,14.05308,14.22547,14.59924,14.61985,18.31368,14.00062
Q2_Q3_0.75,12.20188,12.88801,12.04183,12.20089,11.96298,12.05091,11.94239,12.03216,12.02251,12.31118,14.52715,14.49116,18.31037,12.07148
Q2_Q4_0.75,13.50713,14.70954,13.17679,13.52544,13.16363,13.36690,13.20031,13.22369,13.18341,14.19054,14.50769,14.56653,18.31091,13.15935
Q3_Q4_0.75,13.27008,15.35314,13.51931,13.73699,13.50462,13.45599,13.60886,13.49253,13.70874,13.95571,14.55153,14.57489,18.28898,13.64010
Q1_0.75,12.64807,11.72619,13.01919,12.94553,12.81098,12.77243,12.80865,13.04066,12.94018,13.17187,14.63740,14.62798,18.29551,12.98061
Q2_0.75,12.12292,11.86912,11.89444,12.08871,11.96070,11.96322,11.91314,11.97497,11.94259,12.40465,14.51017,14.50587,18.29746,11.99640
Q3_0.75,12.14118,12.60250,11.95777,12.03586,11.96101,11.89311,11.87474,11.98211,11.94750,12.17949,14.53406,14.52860,18.29051,11.96980
Q4_0.75,13.52324,15.21590,13.32078,13.69929,13.25641,13.29571,13.36746,13.29683,13.34144,14.41744,14.54640,14.54549,18.30133,13.44424
Q1_Q2_1.0,13.07493,11.83844,14.68518,14.66282,14.58794,14.35319,14.62933,14.76471,14.67908,15.11365,14.90343,14.86323,18.27992,14.68900
Q1_Q3_1.0,13.26351,12.49778,13.96666,13.81487,13.97119,14.04539,14.01025,14.08625,13.93522,14.32989,14.80513,14.75132,18.27669,13.82987
Q1_Q4_1.0,14.51169,16.47052,14.53300,14.53722,14.55164,14.52748,14.51621,14.55535,14.50671,15.05060,14.59236,14.61157,18.31214,14.61337
Q2_Q3_1.0,12.27886,13.61777,11.89447,12.29283,11.88196,11.98221,12.05186,12.08352,12.05626,12.57148,14.51284,14.53903,18.29925,12.02114
Q2_Q4_1.0,14.10806,16.43278,13.98127,14.04039,13.80998,13.94712,13.68134,13.87187,14.23477,14.78832,14.69587,14.73984,18.28718,14.10816
Q3_Q4_1.0,13.94081,19.08358,14.81957,14.89409,14.72839,14.86508,14.86028,14.72645,14.86107,15.16704,14.83036,14.84959,18.30499,14.79187
Q1_1.0,12.96924,11.77875,13.78493,13.67337,13.60280,13.62937,13.76753,13.82499,13.77337,13.92287,14.72321,14.70630,18.32234,13.77493
Q2_1.0,12.20456,11.89064,11.94428,12.15307,11.97601,12.02752,11.99302,12.04710,11.97569,12.79672,14.51408,14.50209,18.30356,12.00603
Q3_1.0,12.17413,12.72584,11.96571,12.10893,11.89520,11.95132,11.94466,12.01343,11.98185,12.24862,14.52755,14.52634,18.29869,11.98547
Q4_1.0,13.76300,16.84241,13.97825,14.03581,13.86814,13.89852,13.91021,13.96368,13.94533,15.56957,14.53867,14.56189,18.30101,13.94680
