,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
0.1,0.82478 ± 0.030,0.80746 ± 0.048,0.82478 ± 0.030,0.81896 ± 0.035,0.82233 ± 0.026,0.82859 ± 0.028,0.82478 ± 0.030,0.80184 ± 0.029,0.47737 ± 0.002,0.47737 ± 0.002,0.55100 ± 0.016,0.82875 ± 0.029
0.2,0.76194 ± 0.031,0.73123 ± 0.022,0.76082 ± 0.032,0.75515 ± 0.041,0.76690 ± 0.026,0.74465 ± 0.043,0.75611 ± 0.021,0.70901 ± 0.026,0.47737 ± 0.002,0.47737 ± 0.002,0.90018 ± 0.145,0.76833 ± 0.033
0.3,0.71347 ± 0.025,0.70141 ± 0.031,0.71347 ± 0.025,0.63623 ± 0.043,0.71043 ± 0.050,0.72378 ± 0.039,0.71022 ± 0.047,0.63470 ± 0.031,0.47737 ± 0.002,0.47737 ± 0.002,0.88600 ± 0.139,0.70783 ± 0.044
0.4,0.57437 ± 0.038,0.50609 ± 0.003,0.58304 ± 0.048,0.56468 ± 0.017,0.54894 ± 0.051,0.56308 ± 0.035,0.55529 ± 0.027,0.54301 ± 0.047,0.47737 ± 0.002,0.47737 ± 0.002,0.68120 ± 0.123,0.56419 ± 0.034
0.5,0.63902 ± 0.062,0.56695 ± 0.049,0.54724 ± 0.047,0.55886 ± 0.048,0.58191 ± 0.061,0.60869 ± 0.086,0.60477 ± 0.077,0.63441 ± 0.062,0.47737 ± 0.002,0.47737 ± 0.002,0.85694 ± 0.175,0.64018 ± 0.065
0.6,0.48248 ± 0.009,0.48276 ± 0.010,0.48305 ± 0.011,0.50736 ± 0.021,0.47737 ± 0.002,0.48276 ± 0.010,0.47737 ± 0.002,0.51043 ± 0.031,0.47737 ± 0.002,0.47737 ± 0.002,0.99303 ± 0.010,0.47722 ± 0.002
0.7,0.55267 ± 0.023,0.49527 ± 0.015,0.53098 ± 0.024,0.50197 ± 0.025,0.48914 ± 0.015,0.55850 ± 0.021,0.47737 ± 0.002,0.49383 ± 0.021,0.47737 ± 0.002,0.47737 ± 0.002,0.96378 ± 0.031,0.52279 ± 0.030
0.8,0.47737 ± 0.002,0.47737 ± 0.002,0.48926 ± 0.015,0.49895 ± 0.025,0.47737 ± 0.002,0.47737 ± 0.002,0.47737 ± 0.002,0.49413 ± 0.022,0.47737 ± 0.002,0.47737 ± 0.002,0.86964 ± 0.132,0.48291 ± 0.011
0.9,0.47737 ± 0.002,0.47737 ± 0.002,0.48321 ± 0.012,0.48305 ± 0.011,0.47737 ± 0.002,0.47737 ± 0.002,0.47737 ± 0.002,0.50693 ± 0.034,0.47737 ± 0.002,0.47737 ± 0.002,0.68113 ± 0.097,0.47737 ± 0.002
