,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
0.1,0.29286 ± 0.003,0.35083 ± 0.006,0.29293 ± 0.003,0.30431 ± 0.003,0.29574 ± 0.002,0.30843 ± 0.004,0.29525 ± 0.002,0.37568 ± 0.010,0.29822 ± 0.002,0.29994 ± 0.003,0.37712 ± 0.013,0.30867 ± 0.004
0.2,0.29052 ± 0.001,0.36046 ± 0.003,0.29083 ± 0.001,0.31263 ± 0.001,0.29910 ± 0.002,0.30799 ± 0.002,0.29500 ± 0.001,0.35879 ± 0.013,0.29813 ± 0.001,0.29803 ± 0.001,0.37392 ± 0.002,0.30656 ± 0.002
0.3,0.28876 ± 0.001,0.35927 ± 0.003,0.28904 ± 0.001,0.37670 ± 0.013,0.31012 ± 0.004,0.30457 ± 0.001,0.29601 ± 0.002,0.34305 ± 0.007,0.29742 ± 0.001,0.29493 ± 0.001,0.37182 ± 0.000,0.30599 ± 0.002
0.4,0.29143 ± 0.001,0.36276 ± 0.004,0.30162 ± 0.020,0.44265 ± 0.011,0.31782 ± 0.004,0.30943 ± 0.002,0.30176 ± 0.002,0.33606 ± 0.005,0.29666 ± 0.001,0.29757 ± 0.002,0.37695 ± 0.002,0.30878 ± 0.001
0.5,0.29326 ± 0.001,0.36229 ± 0.003,0.33473 ± 0.008,0.42170 ± 0.010,0.33341 ± 0.002,0.31272 ± 0.001,0.31199 ± 0.002,0.34433 ± 0.008,0.30032 ± 0.001,0.30014 ± 0.001,0.37446 ± 0.003,0.31053 ± 0.002
0.6,0.29054 ± 0.001,0.36295 ± 0.002,0.32404 ± 0.003,0.39268 ± 0.011,0.34455 ± 0.004,0.30812 ± 0.002,0.31853 ± 0.002,0.38711 ± 0.005,0.30008 ± 0.001,0.29703 ± 0.001,0.36938 ± 0.002,0.30760 ± 0.002
0.7,0.29238 ± 0.000,0.35667 ± 0.001,0.32143 ± 0.004,0.37072 ± 0.006,0.36348 ± 0.005,0.31219 ± 0.001,0.35378 ± 0.020,0.40898 ± 0.015,0.30648 ± 0.002,0.30061 ± 0.002,0.37153 ± 0.003,0.30853 ± 0.001
0.8,0.29101 ± 0.001,0.35113 ± 0.002,0.31192 ± 0.003,0.33957 ± 0.004,0.37999 ± 0.008,0.31463 ± 0.002,0.36094 ± 0.004,0.40614 ± 0.030,0.31117 ± 0.006,0.29729 ± 0.002,0.37073 ± 0.002,0.30641 ± 0.001
0.9,0.29287 ± 0.001,0.33979 ± 0.004,0.32931 ± 0.014,0.32955 ± 0.004,0.38384 ± 0.006,0.31204 ± 0.001,0.36302 ± 0.008,0.42979 ± 0.015,0.73791 ± 0.036,0.30269 ± 0.001,0.37045 ± 0.003,0.30917 ± 0.001
