,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
0.1,10.24724 ± 0.271,10.70593 ± 0.399,10.24731 ± 0.266,10.31690 ± 0.243,10.35057 ± 0.247,10.40144 ± 0.313,10.30204 ± 0.247,12.69429 ± 0.275,15.34091 ± 0.359,15.29955 ± 0.205,14.99658 ± 0.367,10.37109 ± 0.291
0.2,10.39888 ± 0.384,11.25297 ± 0.450,10.40826 ± 0.376,10.41122 ± 0.359,10.47459 ± 0.378,10.79765 ± 0.391,10.42989 ± 0.386,13.16260 ± 0.426,15.34863 ± 0.320,15.29907 ± 0.240,15.10175 ± 0.316,10.50954 ± 0.409
0.3,10.21710 ± 0.301,11.25451 ± 0.349,10.29169 ± 0.334,10.35294 ± 0.259,10.20726 ± 0.431,10.55965 ± 0.335,10.39044 ± 0.302,13.35297 ± 0.533,15.19913 ± 0.240,15.21858 ± 0.343,14.30474 ± 0.403,10.34256 ± 0.222
0.4,11.90166 ± 0.237,12.74891 ± 0.076,12.46711 ± 0.428,12.53369 ± 0.334,12.29909 ± 0.283,12.22706 ± 0.263,12.14415 ± 0.203,14.10874 ± 0.292,15.30168 ± 0.256,15.31338 ± 0.322,14.91716 ± 0.363,12.27349 ± 0.247
0.5,12.33175 ± 0.437,13.61793 ± 0.388,12.98353 ± 0.317,13.45533 ± 0.588,13.00776 ± 0.574,12.61871 ± 0.443,12.64597 ± 0.423,14.27664 ± 0.436,15.03705 ± 0.389,14.74066 ± 0.602,15.10538 ± 0.344,12.72419 ± 0.506
0.6,13.21125 ± 0.251,14.04169 ± 0.251,13.57994 ± 0.310,13.91878 ± 0.532,13.75773 ± 0.426,13.51106 ± 0.268,13.81830 ± 0.358,14.31544 ± 0.202,14.97723 ± 0.179,14.95950 ± 0.068,15.10118 ± 0.252,13.30788 ± 0.234
0.7,14.25101 ± 0.365,14.77969 ± 0.410,14.41561 ± 0.306,14.96226 ± 0.290,14.72316 ± 0.269,14.41796 ± 0.387,14.80050 ± 0.252,14.94018 ± 0.353,15.28643 ± 0.340,15.20847 ± 0.306,15.32089 ± 0.355,14.66960 ± 0.393
0.8,14.35100 ± 0.332,14.84690 ± 0.324,14.49007 ± 0.432,15.12292 ± 0.524,14.88204 ± 0.479,14.53020 ± 0.375,15.03620 ± 0.217,15.01379 ± 0.332,15.32127 ± 0.361,15.31155 ± 0.304,15.29267 ± 0.279,14.65618 ± 0.448
0.9,14.81295 ± 0.403,14.92412 ± 0.250,15.03533 ± 0.403,15.25574 ± 0.344,15.01886 ± 0.252,14.92279 ± 0.390,15.07183 ± 0.453,15.13044 ± 0.296,15.18810 ± 0.408,15.29370 ± 0.217,15.26306 ± 0.320,14.91244 ± 0.392
