,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.76755 ± 0.008,0.73652 ± 0.010,0.73823 ± 0.011,0.73205 ± 0.011,0.73341 ± 0.010,0.73479 ± 0.012,0.73706 ± 0.011,0.73708 ± 0.012,0.73682 ± 0.012,0.81415 ± 0.059,0.91797 ± 0.023,0.89316 ± 0.026,5.97388 ± 0.053,0.74150 ± 0.012
Q1_Q3_0.25,0.76190 ± 0.015,0.74403 ± 0.008,0.73623 ± 0.010,0.73544 ± 0.011,0.73404 ± 0.012,0.73234 ± 0.010,0.73614 ± 0.010,0.73344 ± 0.010,0.73273 ± 0.011,0.79477 ± 0.038,0.92629 ± 0.025,0.87403 ± 0.034,5.84087 ± 0.087,0.74066 ± 0.011
Q1_Q4_0.25,0.77396 ± 0.016,0.74786 ± 0.011,0.74286 ± 0.010,0.74105 ± 0.011,0.72539 ± 0.011,0.73934 ± 0.011,0.73885 ± 0.010,0.73962 ± 0.012,0.73869 ± 0.010,0.79772 ± 0.027,0.87799 ± 0.016,0.88533 ± 0.018,5.82646 ± 0.086,0.74397 ± 0.012
Q2_Q3_0.25,0.74808 ± 0.016,0.74538 ± 0.008,0.73230 ± 0.012,0.73293 ± 0.012,0.73333 ± 0.011,0.73471 ± 0.012,0.73439 ± 0.012,0.73425 ± 0.014,0.73323 ± 0.012,0.79584 ± 0.043,0.96172 ± 0.061,0.90039 ± 0.030,5.94413 ± 0.042,0.73819 ± 0.012
Q2_Q4_0.25,0.75648 ± 0.006,0.74991 ± 0.010,0.73300 ± 0.014,0.73585 ± 0.010,0.73463 ± 0.009,0.73264 ± 0.012,0.73580 ± 0.010,0.73606 ± 0.013,0.73256 ± 0.012,0.85031 ± 0.098,0.93584 ± 0.022,0.93460 ± 0.056,5.89517 ± 0.037,0.73917 ± 0.014
Q3_Q4_0.25,0.74433 ± 0.015,0.75363 ± 0.008,0.73303 ± 0.010,0.73338 ± 0.009,0.73264 ± 0.011,0.73182 ± 0.011,0.73316 ± 0.009,0.73437 ± 0.012,0.73264 ± 0.011,1.00910 ± 0.201,0.89686 ± 0.046,0.95052 ± 0.015,5.79131 ± 0.061,0.74137 ± 0.013
Q1_0.25,0.75405 ± 0.012,0.73260 ± 0.010,0.73685 ± 0.011,0.73354 ± 0.010,0.73377 ± 0.011,0.73436 ± 0.011,0.73714 ± 0.011,0.73666 ± 0.011,0.73382 ± 0.011,0.80383 ± 0.057,0.89601 ± 0.018,0.88511 ± 0.029,5.78370 ± 0.061,0.73876 ± 0.012
Q2_0.25,0.74398 ± 0.011,0.73398 ± 0.010,0.73208 ± 0.011,0.73244 ± 0.011,0.73334 ± 0.012,0.73322 ± 0.011,0.73375 ± 0.011,0.73225 ± 0.012,0.73258 ± 0.012,0.79430 ± 0.038,0.90366 ± 0.041,0.89764 ± 0.031,5.78253 ± 0.042,0.73372 ± 0.010
Q3_0.25,0.73716 ± 0.016,0.74325 ± 0.008,0.73230 ± 0.012,0.73302 ± 0.012,0.73297 ± 0.011,0.73224 ± 0.011,0.73373 ± 0.011,0.73395 ± 0.011,0.73323 ± 0.011,0.80665 ± 0.033,0.86818 ± 0.034,0.91053 ± 0.036,5.85047 ± 0.064,0.73664 ± 0.012
Q4_0.25,0.73469 ± 0.008,0.74281 ± 0.007,0.73257 ± 0.012,0.73247 ± 0.011,0.73248 ± 0.010,0.73229 ± 0.011,0.73210 ± 0.010,0.73042 ± 0.011,0.73276 ± 0.011,0.89308 ± 0.090,0.90212 ± 0.015,0.92832 ± 0.051,5.86469 ± 0.050,0.73472 ± 0.012
Q1_Q2_0.5,0.80857 ± 0.018,0.73796 ± 0.009,0.74853 ± 0.009,0.74049 ± 0.009,0.74133 ± 0.009,0.74044 ± 0.012,0.74525 ± 0.007,0.74379 ± 0.007,0.73852 ± 0.010,0.80380 ± 0.046,0.93006 ± 0.022,0.92418 ± 0.036,6.00820 ± 0.074,0.75285 ± 0.011
Q1_Q3_0.5,0.79851 ± 0.015,0.74723 ± 0.011,0.75222 ± 0.011,0.74577 ± 0.011,0.73866 ± 0.008,0.73882 ± 0.010,0.74293 ± 0.009,0.74772 ± 0.009,0.73939 ± 0.009,0.79077 ± 0.020,0.89411 ± 0.030,0.89925 ± 0.037,6.00845 ± 0.096,0.75516 ± 0.013
Q1_Q4_0.5,0.81389 ± 0.022,0.76371 ± 0.013,0.76674 ± 0.010,0.74839 ± 0.012,0.74302 ± 0.009,0.74750 ± 0.012,0.74903 ± 0.009,0.75973 ± 0.009,0.74307 ± 0.010,0.79959 ± 0.033,0.87483 ± 0.021,0.90146 ± 0.020,5.79372 ± 0.053,0.77143 ± 0.015
Q2_Q3_0.5,0.76802 ± 0.014,0.76088 ± 0.009,0.73091 ± 0.011,0.73233 ± 0.009,0.73742 ± 0.011,0.73588 ± 0.012,0.73711 ± 0.012,0.73516 ± 0.014,0.73156 ± 0.012,0.79911 ± 0.052,0.90086 ± 0.024,0.89233 ± 0.026,6.05992 ± 0.074,0.74464 ± 0.012
Q2_Q4_0.5,0.77986 ± 0.010,0.76896 ± 0.009,0.74820 ± 0.012,0.73532 ± 0.012,0.73745 ± 0.012,0.73425 ± 0.012,0.73563 ± 0.013,0.74294 ± 0.015,0.73530 ± 0.012,0.87723 ± 0.113,0.94908 ± 0.026,0.95034 ± 0.025,5.86608 ± 0.097,0.75145 ± 0.012
Q3_Q4_0.5,0.76560 ± 0.011,0.76980 ± 0.010,0.74965 ± 0.010,0.73979 ± 0.011,0.73966 ± 0.009,0.73918 ± 0.009,0.73944 ± 0.008,0.74288 ± 0.008,0.73987 ± 0.009,0.89427 ± 0.058,0.96811 ± 0.031,1.00051 ± 0.034,5.83253 ± 0.083,0.75722 ± 0.016
Q1_0.5,0.79266 ± 0.016,0.73578 ± 0.012,0.74842 ± 0.014,0.73628 ± 0.011,0.73912 ± 0.010,0.73796 ± 0.012,0.74574 ± 0.010,0.74293 ± 0.012,0.73786 ± 0.012,0.80080 ± 0.044,0.90607 ± 0.034,0.91739 ± 0.008,5.80345 ± 0.062,0.74510 ± 0.012
Q2_0.5,0.74524 ± 0.016,0.73798 ± 0.008,0.73307 ± 0.012,0.73413 ± 0.012,0.73405 ± 0.011,0.73330 ± 0.010,0.73487 ± 0.012,0.73512 ± 0.010,0.73397 ± 0.012,0.81300 ± 0.060,0.88294 ± 0.019,0.90105 ± 0.031,5.90808 ± 0.040,0.73902 ± 0.011
Q3_0.5,0.74090 ± 0.011,0.75389 ± 0.009,0.73367 ± 0.012,0.73328 ± 0.011,0.73302 ± 0.011,0.73400 ± 0.011,0.73475 ± 0.010,0.73301 ± 0.010,0.73309 ± 0.012,0.76838 ± 0.031,0.87514 ± 0.017,0.88261 ± 0.027,5.84686 ± 0.059,0.73918 ± 0.013
Q4_0.5,0.74736 ± 0.014,0.75884 ± 0.013,0.74479 ± 0.009,0.73809 ± 0.007,0.73963 ± 0.008,0.73828 ± 0.010,0.74043 ± 0.007,0.74482 ± 0.011,0.74046 ± 0.011,0.80865 ± 0.039,0.94442 ± 0.042,0.95927 ± 0.025,5.74852 ± 0.034,0.74458 ± 0.010
Q1_Q2_0.75,0.88760 ± 0.011,0.74868 ± 0.014,0.79691 ± 0.014,0.76056 ± 0.009,0.75449 ± 0.010,0.74733 ± 0.012,0.77154 ± 0.011,0.76623 ± 0.005,0.74447 ± 0.010,0.78475 ± 0.030,1.08032 ± 0.053,1.05300 ± 0.034,5.72146 ± 0.096,0.77553 ± 0.011
Q1_Q3_0.75,0.82146 ± 0.018,0.75521 ± 0.009,0.77648 ± 0.009,0.76156 ± 0.009,0.74662 ± 0.012,0.75122 ± 0.010,0.75654 ± 0.008,0.76110 ± 0.012,0.75192 ± 0.011,0.81281 ± 0.043,0.93596 ± 0.050,0.94067 ± 0.031,5.83206 ± 0.103,0.76999 ± 0.015
Q1_Q4_0.75,0.83381 ± 0.014,0.76741 ± 0.008,0.79492 ± 0.013,0.77649 ± 0.016,0.76059 ± 0.010,0.76099 ± 0.012,0.76989 ± 0.008,0.79475 ± 0.012,0.75548 ± 0.009,0.84240 ± 0.045,0.92142 ± 0.020,0.92502 ± 0.022,5.97775 ± 0.098,0.78404 ± 0.012
Q2_Q3_0.75,0.78885 ± 0.009,0.75994 ± 0.007,0.73366 ± 0.010,0.74400 ± 0.013,0.73556 ± 0.008,0.74337 ± 0.013,0.74659 ± 0.015,0.74247 ± 0.013,0.74554 ± 0.013,0.83440 ± 0.052,0.94108 ± 0.026,0.92637 ± 0.035,6.02557 ± 0.073,0.74730 ± 0.016
Q2_Q4_0.75,0.79260 ± 0.020,0.79071 ± 0.010,0.77745 ± 0.020,0.76165 ± 0.014,0.75009 ± 0.013,0.74901 ± 0.009,0.74970 ± 0.012,0.77169 ± 0.016,0.74921 ± 0.010,0.94376 ± 0.116,0.97081 ± 0.029,0.99032 ± 0.036,5.81779 ± 0.103,0.77722 ± 0.014
Q3_Q4_0.75,0.79840 ± 0.015,0.80553 ± 0.013,0.76570 ± 0.014,0.75365 ± 0.018,0.74839 ± 0.013,0.74551 ± 0.014,0.74651 ± 0.015,0.76204 ± 0.014,0.74522 ± 0.013,0.82810 ± 0.047,1.16615 ± 0.068,1.14732 ± 0.039,5.72623 ± 0.136,0.77518 ± 0.014
Q1_0.75,0.81888 ± 0.014,0.73622 ± 0.009,0.78369 ± 0.010,0.75258 ± 0.011,0.74777 ± 0.010,0.74108 ± 0.012,0.76672 ± 0.006,0.77156 ± 0.007,0.74280 ± 0.011,0.80560 ± 0.053,0.94536 ± 0.057,0.98647 ± 0.083,5.89129 ± 0.082,0.76994 ± 0.006
Q2_0.75,0.76690 ± 0.016,0.74763 ± 0.012,0.73304 ± 0.010,0.73383 ± 0.010,0.73530 ± 0.010,0.73475 ± 0.011,0.73483 ± 0.011,0.73265 ± 0.007,0.73502 ± 0.011,0.82529 ± 0.081,0.87004 ± 0.015,0.87916 ± 0.024,6.02019 ± 0.077,0.74121 ± 0.013
Q3_0.75,0.75259 ± 0.015,0.75574 ± 0.006,0.73403 ± 0.011,0.73355 ± 0.011,0.73151 ± 0.013,0.73327 ± 0.013,0.73392 ± 0.012,0.73457 ± 0.011,0.73277 ± 0.012,0.82878 ± 0.083,0.90660 ± 0.027,0.91211 ± 0.026,5.91221 ± 0.080,0.74052 ± 0.012
Q4_0.75,0.76301 ± 0.023,0.78572 ± 0.013,0.77254 ± 0.013,0.74412 ± 0.010,0.74528 ± 0.012,0.74286 ± 0.013,0.75258 ± 0.012,0.76315 ± 0.010,0.74616 ± 0.010,0.83742 ± 0.059,1.02420 ± 0.037,1.03702 ± 0.044,5.82377 ± 0.110,0.77006 ± 0.016
Q1_Q2_1.0,0.98440 ± 0.038,0.77476 ± 0.023,1.13045 ± 0.040,0.92392 ± 0.027,0.96249 ± 0.054,0.93490 ± 0.045,0.99102 ± 0.063,0.99385 ± 0.027,0.92114 ± 0.024,1.05075 ± 0.066,1.30012 ± 0.189,1.24725 ± 0.053,5.84230 ± 0.058,0.83228 ± 0.020
Q1_Q3_1.0,0.85046 ± 0.022,0.75587 ± 0.011,0.82916 ± 0.014,0.80504 ± 0.016,0.79481 ± 0.020,0.79444 ± 0.018,0.80580 ± 0.020,0.81912 ± 0.010,0.79285 ± 0.007,0.81630 ± 0.024,1.07598 ± 0.076,1.00016 ± 0.044,5.89862 ± 0.146,0.80143 ± 0.020
Q1_Q4_1.0,0.86973 ± 0.023,0.87370 ± 0.018,0.91202 ± 0.028,0.88552 ± 0.044,0.88975 ± 0.025,0.86035 ± 0.019,0.88512 ± 0.018,0.91884 ± 0.023,0.86008 ± 0.024,0.90547 ± 0.029,0.95484 ± 0.006,0.94818 ± 0.036,5.87349 ± 0.132,0.81900 ± 0.017
Q2_Q3_1.0,0.80325 ± 0.009,0.76642 ± 0.010,0.73379 ± 0.010,0.75841 ± 0.015,0.74253 ± 0.011,0.76087 ± 0.013,0.76597 ± 0.015,0.74562 ± 0.014,0.76406 ± 0.011,0.81369 ± 0.030,0.92727 ± 0.019,0.89575 ± 0.020,6.01643 ± 0.164,0.75171 ± 0.014
Q2_Q4_1.0,0.81632 ± 0.012,0.86179 ± 0.025,0.84600 ± 0.013,0.81494 ± 0.014,0.88374 ± 0.030,0.82773 ± 0.013,0.86373 ± 0.020,0.83743 ± 0.016,0.82760 ± 0.019,0.86232 ± 0.012,1.19752 ± 0.145,1.21776 ± 0.075,6.12556 ± 0.061,0.79602 ± 0.017
Q3_Q4_1.0,0.83130 ± 0.026,1.16386 ± 0.059,1.24551 ± 0.048,1.09351 ± 0.030,1.08059 ± 0.021,1.09478 ± 0.096,1.21160 ± 0.101,0.96275 ± 0.021,1.14337 ± 0.063,1.37306 ± 0.216,1.82446 ± 0.102,1.67271 ± 0.222,5.83672 ± 0.112,0.84891 ± 0.025
Q1_1.0,0.86461 ± 0.021,0.73848 ± 0.010,0.83055 ± 0.008,0.79900 ± 0.017,0.77089 ± 0.012,0.78081 ± 0.013,0.80862 ± 0.013,0.81549 ± 0.019,0.78397 ± 0.014,0.83994 ± 0.034,1.08997 ± 0.042,1.03840 ± 0.039,5.92636 ± 0.145,0.80187 ± 0.007
Q2_1.0,0.78494 ± 0.016,0.74420 ± 0.010,0.73545 ± 0.010,0.73690 ± 0.007,0.73390 ± 0.010,0.73646 ± 0.009,0.73759 ± 0.010,0.73557 ± 0.009,0.73783 ± 0.010,0.83770 ± 0.104,0.96512 ± 0.039,0.90563 ± 0.015,5.97819 ± 0.044,0.74355 ± 0.014
Q3_1.0,0.76121 ± 0.014,0.76183 ± 0.009,0.73508 ± 0.012,0.73890 ± 0.012,0.73542 ± 0.011,0.73694 ± 0.012,0.73919 ± 0.011,0.73622 ± 0.014,0.73744 ± 0.011,0.82717 ± 0.069,0.89359 ± 0.033,0.88426 ± 0.028,5.91329 ± 0.065,0.74765 ± 0.012
Q4_1.0,0.76988 ± 0.021,0.90987 ± 0.039,0.85076 ± 0.012,0.81530 ± 0.013,0.84717 ± 0.012,0.84713 ± 0.013,0.86360 ± 0.016,0.85108 ± 0.020,0.84252 ± 0.013,0.85637 ± 0.013,1.28097 ± 0.107,1.26857 ± 0.069,5.74233 ± 0.094,0.78557 ± 0.015
