,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.79245 ± 0.015,0.76249 ± 0.012,0.75768 ± 0.012,0.75479 ± 0.011,0.75574 ± 0.011,0.75553 ± 0.011,0.75522 ± 0.011,0.75625 ± 0.012,0.75535 ± 0.011,0.78923 ± 0.031,0.85504 ± 0.017,0.84609 ± 0.022,0.88560 ± 0.014,0.76080 ± 0.013
Q1_Q3_0.25,0.78855 ± 0.014,0.76982 ± 0.013,0.75754 ± 0.012,0.75502 ± 0.011,0.75590 ± 0.011,0.75507 ± 0.011,0.75544 ± 0.011,0.75602 ± 0.012,0.75534 ± 0.011,0.77611 ± 0.022,0.87834 ± 0.033,0.84433 ± 0.019,0.88562 ± 0.014,0.76133 ± 0.014
Q1_Q4_0.25,0.79632 ± 0.014,0.78052 ± 0.014,0.75936 ± 0.013,0.75525 ± 0.011,0.75554 ± 0.011,0.75569 ± 0.011,0.75522 ± 0.011,0.75671 ± 0.012,0.75517 ± 0.011,0.77122 ± 0.013,0.85858 ± 0.032,0.86883 ± 0.023,0.88559 ± 0.014,0.76265 ± 0.014
Q2_Q3_0.25,0.78250 ± 0.014,0.77169 ± 0.013,0.75460 ± 0.011,0.75505 ± 0.011,0.75558 ± 0.011,0.75543 ± 0.011,0.75546 ± 0.011,0.75561 ± 0.011,0.75560 ± 0.011,0.78543 ± 0.024,0.90119 ± 0.036,0.88256 ± 0.043,0.88561 ± 0.014,0.75744 ± 0.012
Q2_Q4_0.25,0.78467 ± 0.015,0.78260 ± 0.014,0.75688 ± 0.012,0.75458 ± 0.011,0.75556 ± 0.011,0.75494 ± 0.011,0.75470 ± 0.011,0.75608 ± 0.012,0.75505 ± 0.011,0.82253 ± 0.097,0.90388 ± 0.048,0.89997 ± 0.022,0.88557 ± 0.014,0.75945 ± 0.012
Q3_Q4_0.25,0.78247 ± 0.015,0.79186 ± 0.014,0.75948 ± 0.012,0.75567 ± 0.011,0.75573 ± 0.012,0.75560 ± 0.011,0.75558 ± 0.011,0.75838 ± 0.012,0.75547 ± 0.011,0.84693 ± 0.076,0.86778 ± 0.038,0.86587 ± 0.014,0.88559 ± 0.014,0.76236 ± 0.013
Q1_0.25,0.78575 ± 0.016,0.75723 ± 0.012,0.75763 ± 0.012,0.75497 ± 0.011,0.75551 ± 0.011,0.75526 ± 0.011,0.75547 ± 0.011,0.75629 ± 0.012,0.75528 ± 0.011,0.77981 ± 0.024,0.86560 ± 0.040,0.84742 ± 0.030,0.88562 ± 0.014,0.75939 ± 0.012
Q2_0.25,0.77500 ± 0.014,0.75947 ± 0.012,0.75483 ± 0.011,0.75450 ± 0.011,0.75520 ± 0.011,0.75500 ± 0.011,0.75492 ± 0.011,0.75487 ± 0.012,0.75501 ± 0.011,0.79782 ± 0.047,0.84192 ± 0.017,0.83575 ± 0.017,0.88562 ± 0.014,0.75650 ± 0.012
Q3_0.25,0.77197 ± 0.014,0.76465 ± 0.013,0.75490 ± 0.011,0.75463 ± 0.011,0.75507 ± 0.011,0.75479 ± 0.011,0.75480 ± 0.011,0.75522 ± 0.011,0.75502 ± 0.011,0.80118 ± 0.057,0.84835 ± 0.032,0.86810 ± 0.030,0.88561 ± 0.014,0.75666 ± 0.012
Q4_0.25,0.77239 ± 0.013,0.77803 ± 0.014,0.75754 ± 0.012,0.75491 ± 0.011,0.75482 ± 0.011,0.75482 ± 0.011,0.75463 ± 0.011,0.75631 ± 0.012,0.75481 ± 0.011,0.81567 ± 0.086,0.85422 ± 0.028,0.88432 ± 0.053,0.88557 ± 0.014,0.75949 ± 0.012
