,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.73609 ± 0.014,0.72450 ± 0.010,0.71634 ± 0.010,0.71166 ± 0.011,0.71160 ± 0.010,0.71214 ± 0.010,0.71176 ± 0.010,0.71402 ± 0.010,0.71204 ± 0.010,0.77200 ± 0.034,0.89977 ± 0.056,0.94009 ± 0.068,0.90317 ± 0.014,0.71988 ± 0.008
Q1_Q3_0.25,0.73112 ± 0.010,0.72760 ± 0.010,0.71610 ± 0.011,0.71297 ± 0.011,0.71314 ± 0.012,0.71143 ± 0.013,0.71253 ± 0.012,0.71432 ± 0.012,0.71118 ± 0.014,0.77327 ± 0.037,0.90741 ± 0.024,0.86547 ± 0.025,0.90192 ± 0.013,0.72113 ± 0.011
Q1_Q4_0.25,0.73802 ± 0.009,0.72883 ± 0.010,0.71758 ± 0.011,0.71389 ± 0.011,0.71114 ± 0.012,0.71207 ± 0.013,0.71394 ± 0.010,0.71462 ± 0.010,0.71059 ± 0.012,0.76265 ± 0.010,0.96855 ± 0.101,0.96086 ± 0.062,0.90260 ± 0.017,0.72173 ± 0.010
Q2_Q3_0.25,0.73215 ± 0.012,0.72833 ± 0.007,0.70802 ± 0.012,0.70929 ± 0.013,0.70947 ± 0.010,0.70932 ± 0.011,0.70899 ± 0.011,0.71106 ± 0.013,0.70995 ± 0.011,0.77022 ± 0.042,0.94715 ± 0.093,0.94084 ± 0.076,0.89914 ± 0.012,0.71580 ± 0.010
Q2_Q4_0.25,0.72916 ± 0.010,0.73535 ± 0.010,0.71255 ± 0.011,0.70925 ± 0.012,0.70966 ± 0.011,0.71062 ± 0.012,0.71036 ± 0.011,0.71228 ± 0.011,0.70940 ± 0.012,0.82278 ± 0.057,0.95894 ± 0.066,0.96935 ± 0.080,0.89688 ± 0.013,0.71746 ± 0.009
Q3_Q4_0.25,0.72138 ± 0.008,0.73452 ± 0.007,0.70898 ± 0.010,0.70991 ± 0.011,0.70966 ± 0.013,0.71019 ± 0.011,0.70944 ± 0.010,0.70866 ± 0.011,0.70975 ± 0.011,0.93402 ± 0.081,0.90245 ± 0.051,0.87589 ± 0.042,0.89126 ± 0.014,0.71704 ± 0.006
Q1_0.25,0.72646 ± 0.011,0.71391 ± 0.010,0.71550 ± 0.011,0.71178 ± 0.012,0.71220 ± 0.012,0.71071 ± 0.013,0.71302 ± 0.012,0.71492 ± 0.011,0.71108 ± 0.012,0.76973 ± 0.030,0.94012 ± 0.082,0.88487 ± 0.023,0.90848 ± 0.014,0.71643 ± 0.012
Q2_0.25,0.72243 ± 0.011,0.72409 ± 0.009,0.70889 ± 0.011,0.70837 ± 0.011,0.70995 ± 0.011,0.70927 ± 0.011,0.70898 ± 0.011,0.70824 ± 0.012,0.70930 ± 0.011,0.77612 ± 0.047,0.85407 ± 0.040,0.87395 ± 0.035,0.90502 ± 0.013,0.71238 ± 0.011
Q3_0.25,0.71904 ± 0.009,0.72078 ± 0.008,0.70785 ± 0.011,0.70926 ± 0.012,0.70864 ± 0.012,0.70858 ± 0.011,0.70826 ± 0.012,0.70837 ± 0.011,0.70863 ± 0.012,0.78062 ± 0.050,0.95434 ± 0.047,0.91225 ± 0.035,0.89264 ± 0.013,0.71458 ± 0.013
Q4_0.25,0.71256 ± 0.006,0.72860 ± 0.009,0.71071 ± 0.011,0.70957 ± 0.011,0.70985 ± 0.013,0.71036 ± 0.012,0.71142 ± 0.012,0.71054 ± 0.011,0.71060 ± 0.013,0.86224 ± 0.075,0.91240 ± 0.071,0.94336 ± 0.068,0.89630 ± 0.012,0.71299 ± 0.010
