,train_rmse_mean,train_rmse_std,train_mae_mean,train_mae_std,test_rmse_mean,test_rmse_std,test_mae_mean,test_mae_std
Q1_Q2_0.25,0.20400536,0.0027198014,0.14695877,0.0019877958,0.20093413,0.016461968,0.14499633,0.005889225
Q1_Q3_0.25,0.20775907,0.004994041,0.14887428,0.0034308042,0.20594093,0.008481808,0.14756009,0.004896146
Q1_Q4_0.25,0.20572452,0.0041664783,0.15288699,0.004289141,0.21186444,0.0073477076,0.1582034,0.0060190815
Q2_Q3_0.25,0.1139493,0.0028442077,0.08488081,0.0019429335,0.11727128,0.0069938996,0.0854746,0.003399744
Q2_Q4_0.25,0.18706769,0.007993967,0.13202892,0.004253107,0.18091652,0.014937062,0.12911086,0.009504773
Q3_Q4_0.25,0.20015307,0.0029564698,0.14277437,0.0050980006,0.20011678,0.013168461,0.14231484,0.011356672
Q1_0.25,0.19054744,0.004716637,0.12447111,0.0032498224,0.2022254,0.020093756,0.13023977,0.014198168
Q2_0.25,0.10349409,0.0066857906,0.07061195,0.00601828,0.10842121,0.012120074,0.0705473,0.0059453873
Q3_0.25,0.08783664,0.0026287045,0.058455873,0.0017094831,0.08829927,0.011578464,0.060390264,0.0064352313
Q4_0.25,0.20029776,0.0040000393,0.13637987,0.0039588744,0.20321226,0.02078115,0.13939603,0.013779918
Q1_Q2_0.5,0.24814487,0.0027891577,0.197575,0.0025869405,0.24597013,0.0063488074,0.19386084,0.0067229387
Q1_Q3_0.5,0.23933235,0.0041490677,0.17936201,0.0031683275,0.24276981,0.011190325,0.18364468,0.008515147
Q1_Q4_0.5,0.25680462,0.0029482073,0.20924911,0.0026531203,0.25716037,0.010925893,0.20998888,0.0077010905
Q2_Q3_0.5,0.1517916,0.001949387,0.11839534,0.0020913654,0.15465419,0.0061654714,0.11980214,0.0048797615
Q2_Q4_0.5,0.21071872,0.003832898,0.1596367,0.0028070228,0.20151913,0.00481295,0.15291584,0.002651728
Q3_Q4_0.5,0.23979893,0.008504233,0.18121341,0.0066113765,0.23596068,0.021460723,0.17916842,0.017522862
Q1_0.5,0.28802016,0.007787859,0.21985264,0.0073293317,0.2862062,0.019024692,0.22029679,0.020773873
Q2_0.5,0.12618871,0.002904473,0.095032796,0.0022628307,0.12483885,0.012492102,0.09450575,0.009980844
Q3_0.5,0.10610439,0.0023607144,0.07973753,0.0018753,0.103757426,0.0060034986,0.07848292,0.0070124394
Q4_0.5,0.24788633,0.0047171647,0.17953423,0.003880052,0.25726098,0.00983525,0.18723181,0.0056552994
Q1_Q2_0.75,0.2776664,0.0026074126,0.22802155,0.0024306949,0.2791149,0.005370782,0.22977474,0.0046459027
Q1_Q3_0.75,0.2469596,0.0030875574,0.18590003,0.0022083716,0.24704573,0.009374332,0.18527876,0.00853316
Q1_Q4_0.75,0.27366856,0.002682552,0.23498388,0.0020843933,0.27512652,0.009763056,0.2362299,0.007625562
Q2_Q3_0.75,0.1845061,0.0034849672,0.14494267,0.002479881,0.17948684,0.004432481,0.14120492,0.0034710513
Q2_Q4_0.75,0.22895595,0.0032957864,0.17536229,0.002042797,0.22658041,0.01029421,0.17263529,0.006687687
Q3_Q4_0.75,0.28765005,0.003497844,0.22910325,0.003935106,0.2852369,0.008578293,0.2275846,0.005446935
Q1_0.75,0.36097437,0.0036228085,0.30773503,0.0035577794,0.360784,0.009692207,0.307393,0.01122055
Q2_0.75,0.15446384,0.0021055534,0.123969056,0.0020624748,0.1581489,0.0055277036,0.12608305,0.004408781
Q3_0.75,0.14038527,0.0033902505,0.10879086,0.0028459115,0.13863192,0.0061458186,0.10741907,0.0051860833
Q4_0.75,0.3181416,0.0071247034,0.2580424,0.004459473,0.31069785,0.009711084,0.2528756,0.0070340643
Q1_Q2_1.0,0.33294335,0.0012111779,0.29950884,0.0011131666,0.3322034,0.0059128776,0.29813385,0.005323299
Q1_Q3_1.0,0.2689669,0.0026199974,0.20741887,0.001815101,0.2710379,0.008567535,0.20922129,0.006294281
Q1_Q4_1.0,0.27958834,0.0020200745,0.25001943,0.0015936019,0.28020722,0.00428628,0.25059247,0.0030179217
Q2_Q3_1.0,0.21561904,0.0036945879,0.17506123,0.0030679235,0.21431598,0.0073794373,0.17456554,0.0062123286
Q2_Q4_1.0,0.2505374,0.0032127737,0.19575663,0.0025842276,0.24712232,0.008315707,0.1931332,0.005116245
Q3_Q4_1.0,0.3365869,0.00362445,0.29566935,0.0027127326,0.33372834,0.009652073,0.29377466,0.008147785
Q1_1.0,0.4052507,0.0036567391,0.36889568,0.003804909,0.4076932,0.009446205,0.37054342,0.008615732
Q2_1.0,0.17916445,0.0021540185,0.14947094,0.0020675512,0.17832609,0.005504214,0.14864317,0.006443017
Q3_1.0,0.15467843,0.0023079007,0.12375478,0.0024416908,0.15473698,0.0037575362,0.12327262,0.0028711564
Q4_1.0,0.37021738,0.0050365324,0.32859835,0.0044367965,0.36654145,0.005107734,0.3250126,0.0043241195
