,RD,ZR,Mean,KNN,MF,Mice,MisF,XGB,OT,HI,GAIN,Mi,NMi,CSDI
Bank,1.0,0.8,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2
Cali,-0.0003664860596040126,0.5194052460541778,0.5194052460541778,0.3194052460541778,0.6388104921083556,0.12882766083796293,0.5194052460541778,0.10584039963382344,0.5194052460541778,0.3528452351130535,0.5194052460541778,0.2,0.19994212057874267,-0.00019971383614494437
Climate,1.0,0.8,0.0,1.0,0.0,0.2,1.0,0.4,1.0,0.2,0.2,1.0,1.0,1.0
Concre,-0.002593468368962724,0.013208915754008866,0.1149198022702698,0.1413020881217793,0.059821527002247764,0.0570019926308382,0.09646772756392527,0.05136005976663671,0.06501701306802969,0.023884636286394444,0.052904080822775444,0.0,0.0,-0.0015093823935497486
Qsar,0.0,0.0187653986784058,0.22937621265035166,0.1288918665989843,0.22982185082510123,0.23021775770213265,0.29923686857757104,0.16799483724769312,0.0,0.2425276504884236,0.16693372492678688,0.0,0.0,0.0
Red,-0.0020767735500462218,0.16932970108534964,0.14075840743552975,0.22457217974082413,0.1399221453911432,0.24341602849225302,0.17350831398545033,0.18317913764951974,0.228708684990811,0.12873750394981376,0.1651229672365797,0.0,0.03638546328676595,-0.0038152350208056594
Sonar,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.4,0.2,1.0
White,-0.0013518707853910495,0.19935226005865112,0.4,0.4,0.39976125801361756,0.316130028368728,0.4,0.4,0.39976125801361756,0.4,0.39979550102251676,0.2,0.0,0.19874359532824767
Yacht,-0.003389628490036216,0.036797451682509905,0.03522102646439297,0.06903049658067203,0.00794621295013271,0.019082386840070634,0.010232869821939748,0.0158220310578124,0.007295901199671151,0.013742331848432963,0.016234156341270727,0.0,0.0,-0.00022127589224236408
Yeast,0.0005751420304598756,0.1659060241169178,0.2884136054491879,0.17105530561440513,0.2482561219588689,0.32336904017907603,0.18310837343877662,0.22225336589506509,0.22272536480750307,0.2884136054491879,0.28732262259937674,0.0,0.0,-0.0016562227001821572
