,RD,ZR,Mean,KNN,MF,Mice,MisF,XGB,OT,HI,GAIN,Mi,NMi,CSDI
Bank,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8
Cali,0.007375117618475033,0.8388630009462009,0.9194315004731004,0.9194315004731004,0.7194366971628245,0.48626558411731613,0.9194315004731004,0.410600987504541,0.7194315004731004,0.8376845225698075,0.9194315004731004,0.2,0.2,0.2
Climate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Concre,0.044624226038936246,0.12141623220063184,0.30220631436962025,0.0871862368152685,0.2912284706520486,0.3642270099139798,0.2839986406278415,0.35347792526018995,0.24456208522375303,0.30817201427941565,0.22274031298572342,0.0,0.0,0.0
Qsar,0.0,0.0046868852831494405,0.5318066890765307,0.6739594915260954,0.5235660374755384,0.5272724468948679,0.6472716291400553,0.4633329709891399,0.11680639474750917,0.5595299444450177,0.4429076488868189,0.016097894686130848,0.006539580660637634,0.0
Red,0.026174136410608433,0.27236789581892945,0.5064759988863072,0.4804160773622016,0.5234649899094015,0.39652867652416257,0.48527169508933793,0.4763090869968254,0.504631058691877,0.5031520489599849,0.4599662689347932,0.0,0.0,0.0
Sonar,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,1.0
White,0.0043581387286088305,0.3696464497255211,0.6,0.7167401678410379,0.5167401678410378,0.4846940725683756,0.6,0.40128638010402196,0.6000259318380643,0.6,0.7167401678410379,0.2,0.2,0.2
Yacht,0.19765508955613112,0.08866606849631595,0.23826939247020254,0.3466180559666382,0.23435105313305002,0.2971953080722831,0.2562213538299956,0.27980726834466757,0.23812522482521672,0.23593532658623495,0.11757752050256542,0.0,0.0,0.0
Yeast,0.019487485714263574,0.5615004928982761,0.5217476284265206,0.41096872909384413,0.5122703340769689,0.5499189319242389,0.43987012771287776,0.5709777872478278,0.40580044792544473,0.414734650427491,0.5499189319242389,0.0,0.0,0.0
