,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,12.40334,10.79549,10.70006,10.70191,10.51300,10.55665,10.65554,10.71456,10.52024,11.49044,12.42303,11.66847,16.70958,10.75378
Q1_Q3_0.25,12.14512,11.07527,10.71168,10.65203,10.53320,10.52556,10.59243,10.72953,10.52693,11.57833,12.11467,12.36856,16.69908,10.78794
Q1_Q4_0.25,12.05888,11.43363,10.75200,10.56059,10.56927,10.60652,10.71196,10.80095,10.46200,11.92479,13.93173,13.51429,16.69732,10.81349
Q2_Q3_0.25,11.53602,11.30438,10.47580,10.50014,10.47085,10.46546,10.47889,10.46752,10.45677,11.48326,12.40852,12.74891,16.69681,10.52666
Q2_Q4_0.25,11.49509,11.87417,10.71524,10.55177,10.48588,10.50732,10.59429,10.67569,10.46571,11.75319,14.01495,13.89077,16.69715,10.75307
Q3_Q4_0.25,11.11851,11.98834,10.81961,10.69140,10.53918,10.58548,10.68132,10.81122,10.51523,11.69705,14.61074,13.66225,16.69685,10.83930
Q1_0.25,11.62266,10.51000,10.67950,10.58153,10.48638,10.50379,10.59543,10.71786,10.47651,11.54473,12.06798,11.92920,16.69898,10.70633
Q2_0.25,11.24121,10.70902,10.48638,10.45923,10.44999,10.43946,10.46365,10.46671,10.45452,11.44324,12.16559,12.29688,16.69720,10.50056
Q3_0.25,10.80746,11.12120,10.51506,10.49050,10.45321,10.46182,10.48243,10.51201,10.46203,11.58479,12.05158,12.96581,16.69655,10.54049
Q4_0.25,10.74220,11.32504,10.75011,10.56363,10.52054,10.56938,10.67580,10.72846,10.46467,11.89048,13.47712,14.44768,16.69790,10.74687
Q1_Q2_0.5,13.55697,11.03663,11.28256,11.43818,10.74116,10.78044,11.22229,11.26851,10.85060,11.65239,12.59274,12.41203,16.69842,11.43886
Q1_Q3_0.5,13.15860,11.42866,10.96602,10.98095,10.64256,10.66939,10.83104,11.07471,10.68514,12.10393,13.59335,12.46537,16.69874,11.05602
