,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,12.33275 ± 0.514,11.03059 ± 0.503,11.31578 ± 0.504,11.07863 ± 0.427,10.98222 ± 0.474,11.07310 ± 0.500,11.05559 ± 0.432,11.26856 ± 0.491,10.91861 ± 0.433,12.45308 ± 0.439,11.94625 ± 0.519,12.10810 ± 0.520,16.82553 ± 0.626,11.42743 ± 0.474
Q1_Q3_0.25,12.14090 ± 0.514,11.33471 ± 0.483,11.28121 ± 0.480,11.08296 ± 0.482,11.10325 ± 0.479,11.11252 ± 0.508,11.14626 ± 0.486,11.28112 ± 0.459,10.95667 ± 0.456,12.66965 ± 0.484,12.15655 ± 0.436,12.00242 ± 0.380,16.83450 ± 0.583,11.40506 ± 0.552
Q1_Q4_0.25,12.12315 ± 0.564,11.58910 ± 0.455,11.27911 ± 0.434,11.01607 ± 0.435,11.04307 ± 0.446,11.12376 ± 0.442,11.09034 ± 0.387,11.36753 ± 0.465,11.00141 ± 0.443,12.80555 ± 0.390,12.36165 ± 0.477,12.25267 ± 0.486,16.79231 ± 0.591,11.50443 ± 0.496
Q2_Q3_0.25,11.49940 ± 0.490,11.61799 ± 0.515,10.63692 ± 0.407,10.76944 ± 0.452,10.68905 ± 0.443,10.68150 ± 0.457,10.73267 ± 0.466,10.71715 ± 0.471,10.65850 ± 0.431,12.44001 ± 0.453,11.98431 ± 0.536,11.92096 ± 0.423,16.71772 ± 0.627,10.87064 ± 0.420
Q2_Q4_0.25,11.57679 ± 0.467,12.23110 ± 0.498,10.93736 ± 0.427,10.98182 ± 0.457,10.68722 ± 0.413,10.72607 ± 0.456,10.85224 ± 0.461,10.96605 ± 0.443,10.83755 ± 0.439,12.57868 ± 0.440,12.23720 ± 0.281,12.17993 ± 0.433,16.71542 ± 0.623,11.10913 ± 0.412
Q3_Q4_0.25,11.18134 ± 0.504,12.27374 ± 0.472,11.12061 ± 0.443,10.98891 ± 0.484,10.86825 ± 0.470,10.90344 ± 0.479,11.03275 ± 0.445,11.09819 ± 0.476,10.84680 ± 0.491,12.62407 ± 0.386,12.23837 ± 0.366,12.35791 ± 0.444,16.69582 ± 0.601,11.17912 ± 0.453
Q1_0.25,11.80987 ± 0.510,10.64278 ± 0.478,11.14336 ± 0.503,10.85974 ± 0.491,10.88142 ± 0.493,10.91390 ± 0.477,10.85380 ± 0.469,11.14614 ± 0.484,10.82947 ± 0.496,12.41776 ± 0.435,12.04051 ± 0.582,11.82167 ± 0.343,16.80340 ± 0.561,11.17941 ± 0.502
Q2_0.25,11.29698 ± 0.548,10.90345 ± 0.458,10.64620 ± 0.443,10.64647 ± 0.448,10.62960 ± 0.464,10.63812 ± 0.451,10.65895 ± 0.441,10.64256 ± 0.440,10.62547 ± 0.436,12.41810 ± 0.444,11.76424 ± 0.361,11.81712 ± 0.492,16.75671 ± 0.621,10.75316 ± 0.415
Q3_0.25,10.88857 ± 0.501,11.28147 ± 0.483,10.65289 ± 0.447,10.63898 ± 0.484,10.70530 ± 0.450,10.70581 ± 0.458,10.65698 ± 0.425,10.67929 ± 0.473,10.64393 ± 0.462,12.49970 ± 0.442,11.87088 ± 0.557,11.77262 ± 0.468,16.69760 ± 0.622,10.71746 ± 0.458
Q4_0.25,10.90733 ± 0.456,11.64416 ± 0.408,10.98245 ± 0.349,10.87503 ± 0.448,10.75851 ± 0.404,10.82646 ± 0.397,10.91613 ± 0.409,11.01806 ± 0.371,10.79629 ± 0.443,12.67322 ± 0.408,12.25107 ± 0.225,12.31303 ± 0.191,16.69143 ± 0.594,11.01796 ± 0.366
