,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,12.40334 ± 0.588,10.79549 ± 0.684,10.70006 ± 0.723,10.70191 ± 0.697,10.51300 ± 0.749,10.55665 ± 0.741,10.65554 ± 0.754,10.71456 ± 0.723,10.52024 ± 0.762,11.49044 ± 0.672,12.42303 ± 2.013,11.66847 ± 1.096,16.70958 ± 0.569,10.75378 ± 0.694
Q1_Q3_0.25,12.14512 ± 0.575,11.07527 ± 0.628,10.71168 ± 0.702,10.65203 ± 0.714,10.53320 ± 0.740,10.52556 ± 0.742,10.59243 ± 0.742,10.72953 ± 0.705,10.52693 ± 0.750,11.57833 ± 0.624,12.11467 ± 1.675,12.36856 ± 1.625,16.69908 ± 0.576,10.78794 ± 0.679
Q1_Q4_0.25,12.05888 ± 0.702,11.43363 ± 0.535,10.75200 ± 0.731,10.56059 ± 0.776,10.56927 ± 0.790,10.60652 ± 0.782,10.71196 ± 0.798,10.80095 ± 0.731,10.46200 ± 0.800,11.92479 ± 0.496,13.93173 ± 1.786,13.51429 ± 1.692,16.69732 ± 0.579,10.81349 ± 0.721
Q2_Q3_0.25,11.53602 ± 0.605,11.30438 ± 0.686,10.47580 ± 0.775,10.50014 ± 0.753,10.47085 ± 0.763,10.46546 ± 0.782,10.47889 ± 0.780,10.46752 ± 0.781,10.45677 ± 0.785,11.48326 ± 0.588,12.40852 ± 1.782,12.74891 ± 2.042,16.69681 ± 0.579,10.52666 ± 0.766
Q2_Q4_0.25,11.49509 ± 0.532,11.87417 ± 0.566,10.71524 ± 0.722,10.55177 ± 0.721,10.48588 ± 0.775,10.50732 ± 0.766,10.59429 ± 0.791,10.67569 ± 0.719,10.46571 ± 0.764,11.75319 ± 0.602,14.01495 ± 2.963,13.89077 ± 2.464,16.69715 ± 0.578,10.75307 ± 0.683
Q3_Q4_0.25,11.11851 ± 0.596,11.98834 ± 0.578,10.81961 ± 0.710,10.69140 ± 0.723,10.53918 ± 0.758,10.58548 ± 0.747,10.68132 ± 0.740,10.81122 ± 0.682,10.51523 ± 0.771,11.69705 ± 0.638,14.61074 ± 2.019,13.66225 ± 2.174,16.69685 ± 0.580,10.83930 ± 0.737
Q1_0.25,11.62266 ± 0.656,10.51000 ± 0.754,10.67950 ± 0.740,10.58153 ± 0.722,10.48638 ± 0.760,10.50379 ± 0.766,10.59543 ± 0.758,10.71786 ± 0.736,10.47651 ± 0.763,11.54473 ± 0.537,12.06798 ± 1.832,11.92920 ± 1.137,16.69898 ± 0.577,10.70633 ± 0.712
Q2_0.25,11.24121 ± 0.669,10.70902 ± 0.718,10.48638 ± 0.762,10.45923 ± 0.769,10.44999 ± 0.777,10.43946 ± 0.784,10.46365 ± 0.774,10.46671 ± 0.769,10.45452 ± 0.769,11.44324 ± 0.607,12.16559 ± 1.892,12.29688 ± 1.282,16.69720 ± 0.579,10.50056 ± 0.751
Q3_0.25,10.80746 ± 0.706,11.12120 ± 0.668,10.51506 ± 0.760,10.49050 ± 0.770,10.45321 ± 0.777,10.46182 ± 0.775,10.48243 ± 0.771,10.51201 ± 0.769,10.46203 ± 0.779,11.58479 ± 0.554,12.05158 ± 0.685,12.96581 ± 2.608,16.69655 ± 0.579,10.54049 ± 0.762
Q4_0.25,10.74220 ± 0.677,11.32504 ± 0.585,10.75011 ± 0.748,10.56363 ± 0.764,10.52054 ± 0.797,10.56938 ± 0.797,10.67580 ± 0.792,10.72846 ± 0.768,10.46467 ± 0.778,11.89048 ± 0.776,13.47712 ± 2.221,14.44768 ± 2.324,16.69790 ± 0.578,10.74687 ± 0.738
