,random,zero,Mean,MF,KNN,MICE,Missforest,XGB,OT,Hyper,GAIN,notmiwae,miwae,tabcsdi
banknote,0.8721859705681789,0.9684366418339982,0.754252046430987,0.7656101110487766,0.8787797883196957,0.8070696191913378,0.7890847694600216,0.7883845710325319,0.7838540996036096,0.8032614054920565,0.8150944564310049,0.779609337962154,0.7930807252336857,0.8228356132088166
climate_model_crashes,0.5306793013592636,0.5230593106807941,0.4927845483357854,0.47512761611337834,0.47257353895448934,0.4927845483357854,0.4982549300656717,0.4960681686427316,0.4989946659324559,0.509591487181711,0.49276463263106496,0.49272951068271087,0.4927845483357854,0.519813647879495
connectionist_bench_sonar,0.4618056723533397,0.7997592635890509,0.5455051632920188,0.5751276490745181,0.6030004198432956,0.6928441613204422,0.5938413742524377,0.6730287663127829,0.5363947623847732,0.5554460658571292,0.633956370031418,0.5862346477052359,0.6267908478424522,0.7512364861389844
qsar_biodegradation,0.39842406976903394,0.8349551675277362,0.39842406976903394,0.39842406976903394,0.39842406976903394,0.39842406976903394,0.39842406976903394,0.39842406976903394,0.39842406976903394,0.39842406976903394,0.39842406976903394,0.39842406976903394,0.39842406976903394,0.8225205230590653
yeast,0.1735890697355815,0.4993244507709985,0.014762783187866052,0.07036467184112091,0.01697583944293097,0.02784583605730197,0.023060707380839665,0.03651088060191532,0.08732888153115144,0.11221445593652957,0.07330656525917521,0.10013494829984818,0.03567123115073593,0.36976224682111064
