,random,zero,Mean,MF,KNN,MICE,Missforest,XGB,OT,Hyper,GAIN,notmiwae,miwae,tabcsdi
banknote,0.6236522893165228,0.7038566688785667,0.690739216987392,0.6914744525547445,0.6849077637690777,0.6951134704711348,0.6987816854678168,0.7009635036496351,0.6549887193098872,0.6762043795620438,0.7002149966821499,0.684180491041805,0.6798062375580624,0.5550656934306569
climate_model_crashes,0.9148148148148147,0.912962962962963,0.9148148148148149,0.912962962962963,0.9111111111111111,0.9185185185185185,0.9148148148148147,0.9166666666666667,0.9111111111111111,0.912962962962963,0.9148148148148147,0.9148148148148147,0.9148148148148147,0.9148148148148147
connectionist_bench_sonar,0.5055432372505544,0.6638580931263858,0.6771618625277162,0.753880266075388,0.6687361419068736,0.7347006651884701,0.7356984478935699,0.6293791574279379,0.6599778270509978,0.6729490022172949,0.5858093126385809,0.7301552106430155,0.7343680709534368,0.4717294900221729
qsar_biodegradation,0.6417061611374408,0.6985781990521327,0.7696682464454977,0.75260663507109,0.6919431279620853,0.7658767772511847,0.7753554502369668,0.7497630331753555,0.6862559241706161,0.7355450236966825,0.7412322274881517,0.7696682464454977,0.7563981042654029,0.6606635071090047
yeast,0.30537837837837845,0.3545855855855856,0.367990990990991,0.37069369369369365,0.34719819819819814,0.3619099099099099,0.36995495495495495,0.34364864864864864,0.3276306306306306,0.3788648648648649,0.35250450450450443,0.3457117117117118,0.35850450450450444,0.29524324324324325
