,RD,ZR,Mean,KNN,MF,Mice,MisF,XGB,OT,HI,GAIN,Mi,NMi,CSDI
Bank,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cali,0.004937281965793656,1.0,1.0,0.6054907208272753,0.8,0.6034080649053793,1.0,0.5530950747214483,0.8,1.0,1.0,0.2,0.2,0.2
Climate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Concre,0.03512890008481124,0.12941978237359292,0.25918990441011036,0.20600035325766403,0.1915350353657622,0.33002811886432576,0.21139756562276565,0.2884840730468035,0.2214111401793401,0.2799734649570299,0.23437952586407942,0.0,0.0,0.0
Qsar,0.0,0.0,0.4651213132108503,0.5624301516429012,0.47007013555834537,0.5024103741229868,0.6471166062030876,0.4599892892086667,0.15682538865802048,0.5950493614978309,0.41055544668524646,0.0028591417656714515,0.0033422452807987807,0.0
Red,0.026572977031060385,0.2467767954766705,0.3698799550907881,0.3757041292420832,0.4433720201374706,0.3864545664717102,0.3976572752028301,0.23026810536019635,0.45818551485011005,0.36732964226077336,0.5059760926940607,0.0,0.0,0.0
Sonar,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0
White,0.006294387997413259,0.4334803356820758,0.7167401678410379,0.43350626752014004,0.5502205035231137,0.5832913126148074,0.8,0.20040478488523603,0.5502205035231137,0.7167401678410379,0.6334803356820757,0.2,0.2,0.2
Yacht,0.1582701947085993,0.06327075021486947,0.24063574373738553,0.18228136141041557,0.15204410461320025,0.3261324687257635,0.18145796063346892,0.2838377618812123,0.18337074832295497,0.2732928489835368,0.15498417685725657,0.0,0.0,0.0
Yeast,0.03126326241148784,0.5931188239769789,0.68331215429895,0.3556635273714481,0.7166835359472296,0.7166835359472296,0.42973156527146045,0.68331215429895,0.591108805697277,0.5178200781139404,0.6609979713582945,0.0,0.0,0.0
