,RD,ZR,Mean,KNN,MF,Mice,MisF,XGB,OT,HI,GAIN,Mi,NMi,CSDI
Bank,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Cali,-0.00036063552582384203,0.6388104921083556,0.43881049210835565,0.43881049210835565,0.3952673586194311,0.13664212723477234,0.5582157381625334,0.07954746400452248,0.23881049210835567,0.36575880590962545,0.5582157381625334,0.2,0.2,-0.0003557960657491539
Climate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Concre,0.009012953691507324,0.06273045334545016,0.2460573341627715,0.1231167328898124,0.23096309391393444,0.17588856828027136,0.17663404198695823,0.24310415115003145,0.20816844685432487,0.16440103463150307,0.20305214700288307,0.0,0.0,0.0
Qsar,0.0,0.0,0.4243338990609507,0.3706077230138326,0.4349316251271736,0.440885040454595,0.49939100938778164,0.35308353754376637,0.0,0.4430417410294784,0.3779420561877643,0.0015172408720085149,0.0015172408720085149,0.0
Red,0.0007309140902036799,0.26800633133907104,0.38362750010951713,0.35177903591175264,0.3855251507980381,0.48711034655756913,0.5050203080034,0.2985149994750268,0.44625900292558907,0.4085430307163714,0.3447515110181071,0.0,0.0,0.0
Sonar,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6,1.0
White,0.00023374928590342165,0.5875107566685185,0.4,0.6,0.5997090670062658,0.33267446042144583,0.8,0.4,0.8,0.6,0.6,0.2,0.2,0.2
Yacht,0.06244932238911851,0.05451196096884882,0.11801208909439398,0.18272384148386026,0.01702087565840344,0.16871092218734626,0.10385632712208404,0.10538920574260797,0.054760544814512924,0.013038744085507181,0.10118473941014439,0.0016754197801275496,0.0,0.0
Yeast,0.015088190097620907,0.26429176706855945,0.44315986050543144,0.321077141479848,0.44315986050543144,0.3902443484786885,0.14569155818761945,0.38440547622405263,0.4161730120764637,0.44315986050543144,0.44315986050543144,0.0,0.0,0.0
