,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
0.1,0.50104 ± 0.002,0.52891 ± 0.005,0.50143 ± 0.002,0.51775 ± 0.002,0.50678 ± 0.002,0.51483 ± 0.005,0.50623 ± 0.002,0.55042 ± 0.024,0.52412 ± 0.009,0.50636 ± 0.002,0.43292 ± 0.012,0.51010 ± 0.005
0.2,0.50291 ± 0.002,0.52620 ± 0.004,0.50322 ± 0.002,0.51338 ± 0.002,0.50808 ± 0.002,0.51031 ± 0.003,0.50606 ± 0.002,0.52680 ± 0.010,0.52184 ± 0.006,0.50617 ± 0.005,0.39179 ± 0.005,0.51109 ± 0.003
0.3,0.50685 ± 0.002,0.52754 ± 0.002,0.50701 ± 0.002,0.51466 ± 0.003,0.51048 ± 0.005,0.51420 ± 0.002,0.50927 ± 0.002,0.52016 ± 0.006,0.52010 ± 0.009,0.50763 ± 0.005,0.36067 ± 0.005,0.51569 ± 0.005
0.4,0.51375 ± 0.001,0.53352 ± 0.002,0.51468 ± 0.002,0.52013 ± 0.002,0.51817 ± 0.003,0.51793 ± 0.003,0.51645 ± 0.002,0.52177 ± 0.006,0.52434 ± 0.009,0.51322 ± 0.003,0.34398 ± 0.003,0.52163 ± 0.002
0.5,0.52185 ± 0.001,0.53404 ± 0.002,0.52245 ± 0.001,0.52608 ± 0.002,0.52462 ± 0.004,0.52648 ± 0.002,0.52365 ± 0.002,0.52377 ± 0.005,0.53147 ± 0.004,0.52476 ± 0.004,0.32701 ± 0.002,0.53027 ± 0.003
0.6,0.53008 ± 0.001,0.53885 ± 0.002,0.53014 ± 0.001,0.53160 ± 0.001,0.53354 ± 0.005,0.53505 ± 0.003,0.53306 ± 0.003,0.52493 ± 0.005,0.53723 ± 0.003,0.53217 ± 0.006,0.31185 ± 0.003,0.53923 ± 0.002
0.7,0.53862 ± 0.001,0.54325 ± 0.002,0.53899 ± 0.002,0.54097 ± 0.002,0.54742 ± 0.007,0.54273 ± 0.002,0.54353 ± 0.002,0.52610 ± 0.009,0.54428 ± 0.005,0.53939 ± 0.006,0.31262 ± 0.002,0.54640 ± 0.003
0.8,0.55229 ± 0.001,0.55543 ± 0.002,0.55244 ± 0.002,0.55345 ± 0.002,0.55529 ± 0.003,0.55457 ± 0.002,0.55430 ± 0.001,0.54395 ± 0.007,0.55694 ± 0.007,0.54961 ± 0.002,0.32655 ± 0.003,0.56138 ± 0.002
