,mean,knn,mice,XGB,missforest,mf
0.1,6.96602 ± 0.113,6.64313 ± 0.162,6.61711 ± 0.101,6.72367 ± 0.098,6.81011 ± 0.108,7.06662 ± 0.117
0.2,7.76557 ± 0.154,7.78863 ± 0.138,7.43692 ± 0.104,7.54639 ± 0.128,7.50410 ± 0.177,8.02161 ± 0.143
0.3,8.49785 ± 0.167,8.69466 ± 0.144,8.43339 ± 0.161,8.48249 ± 0.200,8.35769 ± 0.145,8.80804 ± 0.207
0.4,8.76671 ± 0.146,9.11531 ± 0.112,8.63896 ± 0.130,8.76292 ± 0.226,8.74879 ± 0.270,8.91823 ± 0.163
0.5,9.78981 ± 0.134,10.05637 ± 0.123,9.77233 ± 0.096,9.63955 ± 0.155,9.78889 ± 0.181,10.16725 ± 0.089
0.6,10.75886 ± 0.156,10.88501 ± 0.213,10.85163 ± 0.127,11.07260 ± 0.275,10.91304 ± 0.200,10.92852 ± 0.116
0.7,11.03239 ± 0.109,11.43516 ± 0.140,11.12577 ± 0.136,11.18192 ± 0.128,11.37700 ± 0.069,11.03269 ± 0.103
0.8,12.54038 ± 0.131,12.90059 ± 0.181,12.64187 ± 0.155,12.72379 ± 0.192,12.72320 ± 0.166,11.42722 ± 0.131
0.9,14.29021 ± 0.096,14.31994 ± 0.044,14.29266 ± 0.116,14.35966 ± 0.156,14.33192 ± 0.072,11.79715 ± 0.110
