,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
0.1,11.31896 ± 0.153,11.08900 ± 0.169,11.03147 ± 0.165,11.12050 ± 0.148,11.20793 ± 0.148,11.41251 ± 0.185,10.95715 ± 0.173,12.80324 ± 0.168,12.51117 ± 0.350,12.38881 ± 0.295,16.41996 ± 0.107,11.54812 ± 0.135
0.2,12.12014 ± 0.180,11.87538 ± 0.123,11.74898 ± 0.166,11.80641 ± 0.180,11.63121 ± 0.178,12.33003 ± 0.156,11.27419 ± 0.116,13.41286 ± 0.212,12.83181 ± 0.341,12.91604 ± 0.296,16.34080 ± 0.156,12.52496 ± 0.183
0.3,12.72205 ± 0.181,12.67546 ± 0.166,12.55748 ± 0.148,12.59971 ± 0.148,12.60405 ± 0.169,13.02856 ± 0.153,12.46349 ± 0.259,13.58064 ± 0.131,13.67625 ± 0.276,13.95355 ± 0.361,16.39771 ± 0.113,13.06339 ± 0.253
0.4,13.09660 ± 0.187,13.48305 ± 0.160,12.90666 ± 0.207,13.23059 ± 0.236,13.12565 ± 0.266,13.29859 ± 0.241,12.87061 ± 0.191,13.93925 ± 0.306,14.18400 ± 0.667,14.06357 ± 0.230,16.44265 ± 0.100,13.73049 ± 0.269
0.5,14.20948 ± 0.151,14.16607 ± 0.133,13.93213 ± 0.171,13.92552 ± 0.206,14.37631 ± 0.238,14.73060 ± 0.122,13.75485 ± 0.170,14.89243 ± 0.344,15.17963 ± 0.129,15.35705 ± 0.321,16.40894 ± 0.135,14.72793 ± 0.064
0.6,14.86430 ± 0.113,14.78239 ± 0.244,14.91482 ± 0.124,15.01463 ± 0.349,15.09075 ± 0.143,15.30243 ± 0.129,14.88481 ± 0.195,15.39026 ± 0.222,15.72232 ± 0.328,15.73766 ± 0.236,16.45522 ± 0.113,15.36091 ± 0.189
0.7,15.05815 ± 0.114,15.23036 ± 0.113,14.88621 ± 0.117,14.99741 ± 0.165,15.39057 ± 0.129,15.44566 ± 0.139,15.36326 ± 0.155,15.43860 ± 0.250,15.99840 ± 0.189,15.27076 ± 0.175,16.41364 ± 0.111,15.54165 ± 0.176
0.8,15.96241 ± 0.082,15.92058 ± 0.076,16.02069 ± 0.069,16.07747 ± 0.201,16.04013 ± 0.174,16.14727 ± 0.086,16.21147 ± 0.094,16.22147 ± 0.102,15.92065 ± 0.195,16.10342 ± 0.265,16.35139 ± 0.079,16.25965 ± 0.123
0.9,16.41130 ± 0.116,16.14158 ± 0.098,16.39781 ± 0.108,16.36890 ± 0.169,16.37659 ± 0.185,16.57130 ± 0.106,16.59574 ± 0.087,16.32831 ± 0.219,16.56431 ± 0.209,16.53089 ± 0.147,16.44867 ± 0.155,16.52043 ± 0.123
