,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
0.1,14.56925 ± 0.163,13.76447 ± 0.203,13.54258 ± 0.111,13.05418 ± 0.129,13.02597 ± 0.122,13.17243 ± 0.134,13.30357 ± 0.185,13.54809 ± 0.145,12.92377 ± 0.188,14.39322 ± 0.335,14.67562 ± 0.322,14.39950 ± 0.291,60800.76505 ± 5178.522,13.59290 ± 0.167
0.2,15.20792 ± 0.209,15.22770 ± 0.190,14.34588 ± 0.147,13.88225 ± 0.181,13.66514 ± 0.196,13.64933 ± 0.215,13.76444 ± 0.143,14.51620 ± 0.181,13.19809 ± 0.144,15.06718 ± 0.255,15.21769 ± 0.353,15.25047 ± 0.399,52898.77280 ± 1891.645,14.56743 ± 0.122
0.3,16.18873 ± 0.217,15.50912 ± 0.184,15.16885 ± 0.159,14.53699 ± 0.242,14.50112 ± 0.229,14.70664 ± 0.211,14.73618 ± 0.125,15.37995 ± 0.141,14.27095 ± 0.166,15.51000 ± 0.108,15.87344 ± 0.230,15.93093 ± 0.276,49263.11374 ± 1074.532,15.20171 ± 0.225
0.4,16.67366 ± 0.345,15.38507 ± 0.056,15.26013 ± 0.126,15.18389 ± 0.218,14.44728 ± 0.233,14.68478 ± 0.234,14.70961 ± 0.268,15.55886 ± 0.129,14.21037 ± 0.215,15.54847 ± 0.091,15.99100 ± 0.259,15.85342 ± 0.134,44499.93588 ± 1342.812,15.49101 ± 0.205
0.5,16.52376 ± 0.175,16.94834 ± 0.136,15.85646 ± 0.114,15.65327 ± 0.123,15.20350 ± 0.114,15.04354 ± 0.199,15.71157 ± 0.214,16.55121 ± 0.140,15.28220 ± 0.191,16.10867 ± 0.152,16.46582 ± 0.095,16.53159 ± 0.156,35679.52672 ± 508.710,16.13662 ± 0.096
0.6,17.15941 ± 0.174,16.75692 ± 0.110,16.27385 ± 0.131,16.03029 ± 0.186,15.78040 ± 0.280,15.69181 ± 0.328,16.01246 ± 0.142,17.01879 ± 0.165,15.92432 ± 0.232,16.47694 ± 0.289,16.39412 ± 0.166,16.43848 ± 0.170,30438.65191 ± 1298.830,16.51612 ± 0.114
0.7,17.28031 ± 0.186,16.22221 ± 0.111,16.15271 ± 0.144,16.10488 ± 0.108,15.91315 ± 0.227,15.93900 ± 0.228,15.90257 ± 0.229,16.61088 ± 0.162,15.89847 ± 0.179,15.86610 ± 0.249,16.55638 ± 0.097,16.38504 ± 0.213,21389.23483 ± 667.846,16.31646 ± 0.183
0.8,17.25820 ± 0.144,17.07521 ± 0.093,16.58208 ± 0.100,16.54136 ± 0.068,16.52083 ± 0.064,16.45626 ± 0.206,16.46537 ± 0.220,17.22797 ± 0.098,16.41246 ± 0.118,17.35237 ± 0.375,16.49458 ± 0.152,16.66808 ± 0.087,12271.39927 ± 357.278,16.82461 ± 0.102
0.9,17.49357 ± 0.223,16.46474 ± 0.114,16.62590 ± 0.125,16.59445 ± 0.135,16.60697 ± 0.198,16.61363 ± 0.209,16.74896 ± 0.229,17.02486 ± 0.137,16.73677 ± 0.123,17.17112 ± 0.210,16.60720 ± 0.297,16.73913 ± 0.135,6385.71538 ± 499.846,16.77097 ± 0.167
