,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
0.1,0.45133 ± 0.008,0.40571 ± 0.007,0.23707 ± 0.003,0.14065 ± 0.005,0.14273 ± 0.003,0.15915 ± 0.004,0.18519 ± 0.005,0.24020 ± 0.005,0.11315 ± 0.004,0.23817 ± 0.012,0.15490 ± 0.006,0.15619 ± 0.003,0.25722 ± 0.003,0.25734 ± 0.004
0.2,0.42920 ± 0.004,0.43829 ± 0.002,0.23623 ± 0.004,0.19236 ± 0.008,0.17302 ± 0.005,0.18526 ± 0.004,0.19716 ± 0.004,0.24886 ± 0.006,0.13217 ± 0.009,0.25592 ± 0.012,0.18396 ± 0.005,0.18460 ± 0.007,0.27356 ± 0.005,0.25748 ± 0.006
0.3,0.42184 ± 0.003,0.42333 ± 0.002,0.22115 ± 0.003,0.21305 ± 0.003,0.18165 ± 0.001,0.19129 ± 0.003,0.19518 ± 0.002,0.23988 ± 0.003,0.15615 ± 0.005,0.21778 ± 0.009,0.18208 ± 0.002,0.18050 ± 0.002,0.25601 ± 0.004,0.24224 ± 0.005
0.4,0.41944 ± 0.004,0.44012 ± 0.003,0.23354 ± 0.003,0.24232 ± 0.005,0.19999 ± 0.003,0.21451 ± 0.003,0.20990 ± 0.006,0.25866 ± 0.004,0.19158 ± 0.005,0.23775 ± 0.008,0.20295 ± 0.004,0.20467 ± 0.005,0.27330 ± 0.003,0.25408 ± 0.003
0.5,0.43144 ± 0.005,0.40359 ± 0.003,0.22672 ± 0.002,0.23560 ± 0.005,0.20784 ± 0.004,0.22691 ± 0.008,0.23231 ± 0.005,0.25615 ± 0.003,0.19667 ± 0.002,0.23890 ± 0.008,0.21156 ± 0.003,0.20882 ± 0.003,0.26388 ± 0.001,0.24756 ± 0.003
0.6,0.42128 ± 0.003,0.42734 ± 0.002,0.22360 ± 0.002,0.23003 ± 0.004,0.20960 ± 0.003,0.24159 ± 0.007,0.22477 ± 0.005,0.25555 ± 0.002,0.20422 ± 0.006,0.25871 ± 0.018,0.20502 ± 0.003,0.21035 ± 0.002,0.26478 ± 0.002,0.24459 ± 0.003
0.7,0.42214 ± 0.005,0.42481 ± 0.001,0.22973 ± 0.002,0.23681 ± 0.002,0.22477 ± 0.003,0.23542 ± 0.006,0.24107 ± 0.008,0.25380 ± 0.002,0.22673 ± 0.005,0.30225 ± 0.011,0.22772 ± 0.004,0.22122 ± 0.003,0.27285 ± 0.002,0.25110 ± 0.002
0.8,0.42597 ± 0.002,0.41880 ± 0.001,0.22733 ± 0.001,0.24293 ± 0.002,0.23877 ± 0.008,0.24662 ± 0.004,0.27257 ± 0.016,0.25385 ± 0.001,0.25203 ± 0.006,0.31345 ± 0.013,0.23596 ± 0.007,0.22555 ± 0.003,0.27515 ± 0.001,0.24726 ± 0.002
0.9,0.42620 ± 0.003,0.41957 ± 0.000,0.22630 ± 0.002,0.23867 ± 0.005,0.23537 ± 0.003,0.24518 ± 0.006,0.31730 ± 0.017,0.24083 ± 0.001,0.27789 ± 0.014,0.32214 ± 0.013,1.31584 ± 0.659,0.23097 ± 0.003,0.27840 ± 0.001,0.24851 ± 0.001
