,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
0.1,0.40131 ± 0.011,0.40119 ± 0.008,0.40251 ± 0.011,0.28338 ± 0.161,0.40276 ± 0.012,0.39959 ± 0.010,0.40300 ± 0.007,0.38584 ± 0.010,0.25389 ± 0.036,0.26667 ± 0.023,0.29002 ± 0.081,0.39735 ± 0.012
0.2,0.54035 ± 0.038,0.53949 ± 0.038,0.54055 ± 0.037,0.54011 ± 0.037,0.54032 ± 0.037,0.53967 ± 0.037,0.54049 ± 0.038,0.52651 ± 0.045,0.22568 ± 0.018,0.26320 ± 0.045,0.27284 ± 0.080,0.54125 ± 0.038
0.3,0.42067 ± 0.002,0.43150 ± 0.006,0.42944 ± 0.004,0.42810 ± 0.004,0.43204 ± 0.003,0.41078 ± 0.011,0.42951 ± 0.004,0.39660 ± 0.029,0.25804 ± 0.031,0.24187 ± 0.041,0.29508 ± 0.042,0.42698 ± 0.003
0.4,0.39810 ± 0.005,0.39342 ± 0.005,0.39597 ± 0.006,0.40032 ± 0.007,0.38544 ± 0.012,0.39983 ± 0.009,0.39708 ± 0.005,0.38460 ± 0.016,0.26722 ± 0.009,0.27944 ± 0.010,0.28385 ± 0.072,0.38811 ± 0.009
0.5,0.33130 ± 0.049,0.30626 ± 0.051,0.33589 ± 0.053,0.32767 ± 0.049,0.30726 ± 0.041,0.32348 ± 0.049,0.31451 ± 0.048,0.32581 ± 0.048,0.16088 ± 0.025,0.16599 ± 0.011,0.38792 ± 0.044,0.30460 ± 0.048
0.6,0.29332 ± 0.013,0.29242 ± 0.011,0.29020 ± 0.011,0.29071 ± 0.010,0.28996 ± 0.010,0.29162 ± 0.012,0.29119 ± 0.012,0.29109 ± 0.012,0.22637 ± 0.024,0.17693 ± 0.022,0.37534 ± 0.044,0.30666 ± 0.011
0.7,0.28896 ± 0.040,0.27064 ± 0.042,0.30199 ± 0.051,0.30929 ± 0.037,0.26501 ± 0.046,0.26548 ± 0.040,0.27911 ± 0.041,0.26809 ± 0.047,0.11800 ± 0.026,0.12847 ± 0.034,0.34305 ± 0.097,0.27002 ± 0.039
0.8,0.37273 ± 0.039,0.37144 ± 0.038,0.37904 ± 0.040,0.42178 ± 0.014,0.37985 ± 0.043,0.37155 ± 0.043,0.36809 ± 0.038,0.36316 ± 0.029,0.13229 ± 0.021,0.14380 ± 0.047,0.35615 ± 0.054,0.37550 ± 0.035
