,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
0.1,0.90876 ± 0.008,0.91199 ± 0.010,0.90832 ± 0.008,513845960000000.00000 ± 1027691900000000.000,0.89888 ± 0.007,0.88502 ± 0.015,0.91788 ± 0.025,0.90383 ± 0.111,6.29468 ± 1.835,0.90022 ± 0.020,0.05759 ± 0.002,0.91379 ± 0.010
0.2,0.36081 ± 0.010,0.32154 ± 0.036,0.32199 ± 0.012,0.31517 ± 0.011,0.33724 ± 0.012,0.34415 ± 0.025,0.32836 ± 0.005,0.24957 ± 0.061,0.33735 ± 0.015,0.32016 ± 0.009,0.37248 ± 0.034,0.37662 ± 0.021
0.3,0.97280 ± 0.001,0.97221 ± 0.001,0.97222 ± 0.001,0.97222 ± 0.001,0.97233 ± 0.001,0.93940 ± 0.011,0.97219 ± 0.001,0.97167 ± 0.001,4.62104 ± 2.651,0.95222 ± 0.052,0.06930 ± 0.003,0.97911 ± 0.002
0.4,0.86281 ± 0.007,0.86061 ± 0.007,0.86614 ± 0.009,0.85951 ± 0.020,0.86978 ± 0.009,0.83937 ± 0.013,0.85697 ± 0.007,0.85825 ± 0.105,5.58042 ± 1.232,0.83365 ± 0.014,0.05787 ± 0.001,0.86932 ± 0.008
0.5,0.63863 ± 0.012,0.63979 ± 0.013,0.62194 ± 0.020,0.64459 ± 0.016,0.63078 ± 0.019,0.63639 ± 0.012,0.62361 ± 0.021,0.60179 ± 0.216,4.39700 ± 0.678,0.63130 ± 0.027,0.11099 ± 0.002,0.64465 ± 0.014
0.6,0.88842 ± 0.003,0.88704 ± 0.003,0.88663 ± 0.003,0.88666 ± 0.003,0.88710 ± 0.003,0.85656 ± 0.013,0.88682 ± 0.003,0.88500 ± 0.003,4.97020 ± 1.330,0.86622 ± 0.031,0.10561 ± 0.002,0.89284 ± 0.002
0.7,0.53829 ± 0.008,0.54051 ± 0.014,0.53109 ± 0.028,0.52426 ± 0.030,0.50988 ± 0.037,0.53684 ± 0.008,0.53175 ± 0.022,0.52698 ± 0.135,3.31491 ± 0.897,0.52137 ± 0.033,0.10438 ± 0.002,0.54779 ± 0.010
0.8,0.52948 ± 0.009,0.53120 ± 0.008,211361.67000 ± 422722.300,0.52356 ± 0.026,0.50235 ± 0.023,0.52018 ± 0.009,0.53805 ± 0.023,0.49760 ± 0.151,3.04891 ± 0.226,0.52305 ± 0.011,0.09162 ± 0.001,0.53922 ± 0.008
