,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
0.1,0.32266 ± 0.009,0.33376 ± 0.010,0.32133 ± 0.011,0.22348 ± 0.133,0.32297 ± 0.011,0.32408 ± 0.008,0.32271 ± 0.010,0.30402 ± 0.014,0.23188 ± 0.028,0.20017 ± 0.013,0.13155 ± 0.018,0.32510 ± 0.007
0.2,0.40755 ± 0.032,0.40780 ± 0.033,0.40774 ± 0.033,0.40773 ± 0.033,0.40766 ± 0.032,0.40779 ± 0.032,0.40772 ± 0.032,0.37432 ± 0.051,0.14649 ± 0.015,0.14367 ± 0.019,0.11418 ± 0.004,0.40782 ± 0.033
0.3,0.36135 ± 0.006,0.36468 ± 0.004,0.35899 ± 0.006,0.35850 ± 0.007,0.36183 ± 0.006,0.36241 ± 0.006,0.36060 ± 0.004,0.31654 ± 0.018,0.23467 ± 0.039,0.15326 ± 0.009,0.11208 ± 0.007,0.36452 ± 0.009
0.4,0.32430 ± 0.012,0.32496 ± 0.011,0.32699 ± 0.014,0.32909 ± 0.009,0.31285 ± 0.009,0.32467 ± 0.013,0.32641 ± 0.009,0.30080 ± 0.027,0.24289 ± 0.024,0.20348 ± 0.028,0.12989 ± 0.020,0.32376 ± 0.012
0.5,0.25646 ± 0.045,0.23705 ± 0.043,0.25728 ± 0.041,0.26569 ± 0.046,0.24576 ± 0.046,0.25435 ± 0.040,0.24929 ± 0.043,0.24344 ± 0.044,0.11572 ± 0.021,0.10780 ± 0.013,0.12705 ± 0.015,0.24936 ± 0.040
0.6,0.27065 ± 0.007,0.27532 ± 0.006,0.27552 ± 0.005,0.27459 ± 0.005,0.27249 ± 0.006,0.27064 ± 0.008,0.27331 ± 0.006,0.25593 ± 0.019,0.21417 ± 0.018,0.13717 ± 0.004,0.11420 ± 0.005,0.27951 ± 0.011
0.7,0.20414 ± 0.041,0.20598 ± 0.042,0.21375 ± 0.037,0.22220 ± 0.036,0.20802 ± 0.047,0.20031 ± 0.037,0.20823 ± 0.039,0.18657 ± 0.041,0.10759 ± 0.023,0.09717 ± 0.004,0.14403 ± 0.014,0.20355 ± 0.035
0.8,0.26667 ± 0.037,0.26430 ± 0.043,0.21357 ± 0.110,0.27683 ± 0.035,0.26876 ± 0.042,0.27093 ± 0.044,0.26370 ± 0.042,0.25347 ± 0.031,0.12177 ± 0.036,0.09343 ± 0.028,0.13944 ± 0.027,0.26110 ± 0.036
