,RD,ZR,Mean,KNN,MF,Mice,MisF,XGB,OT,HI,GAIN,Mi,NMi,CSDI
Bank,0.8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cali,0.5194315004731005,1.0,0.8,0.8,0.6,0.6000085527821335,0.8,0.6000072911155077,0.8,0.8,0.8,0.2,0.2,0.2
Climate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Concre,0.15036142038842895,0.10449735872627011,0.35599661321476,0.6473927128267976,0.3633974790253986,0.29529043779839315,0.2620998273237013,0.4857184144776485,0.4514824905531424,0.44035601856482476,0.2619353926616316,0.0,0.0,0.0
Qsar,0.0,0.6194651262108873,0.39439346751081666,0.40214640127475043,0.416930195426891,0.41424548285450846,0.4252993140188738,0.3501987950490349,0.12980385109163214,0.3537857461132413,0.23586305441165342,0.05976856735747184,0.18539980177823917,0.0
Red,0.16779695909584352,0.5936394965383498,0.6548246328076582,0.6130444536678941,0.7945419524983539,0.7851278236542848,0.6239971207673134,0.7429312676062103,0.7571559988770373,0.6996114890078106,0.706163290706282,0.0,0.0,0.0
Sonar,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,1.0
White,0.12646492277640356,0.9150357352128193,0.8,0.6,0.8,0.7771048427939946,0.8,1.0,0.6,0.8,0.8,0.2,0.2,0.2
Yacht,0.3187994223470673,0.3670901282932254,0.3410012104936231,0.3242553412123407,0.3242553412123407,0.3741362111373384,0.3242553412123407,0.3410012104936231,0.34334911798879175,0.3242553412123407,0.3709841042897112,0.0,0.0,0.0
Yeast,0.44804755964563336,0.25804107690124833,0.5036755974126587,0.5771275869109751,0.5675787856433356,0.5590117024833636,0.5036755974126587,0.5370336016777938,0.5675787856433356,0.5332963218704849,0.22403376717320755,0.0,0.5065176345561107,0.0
