,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
0.1,0.10475 ± 0.001,0.06980 ± 0.001,0.05146 ± 0.002,inf ± nan,0.07045 ± 0.001,0.08792 ± 0.003,0.05257 ± 0.001,0.07824 ± 0.025,0.07978 ± 0.007,0.07483 ± 0.002,0.08687 ± 0.005,0.14314 ± 0.002
0.2,0.12790 ± 0.001,0.10041 ± 0.002,0.07556 ± 0.001,0.21992 ± 0.186,0.08823 ± 0.001,0.10957 ± 0.001,0.07513 ± 0.001,0.08290 ± 0.017,0.09022 ± 0.007,0.08349 ± 0.004,0.10396 ± 0.003,0.16311 ± 0.002
0.3,0.12263 ± 0.001,0.09039 ± 0.000,0.07255 ± 0.001,inf ± nan,0.08594 ± 0.001,0.11217 ± 0.001,0.07437 ± 0.001,0.08403 ± 0.011,0.08772 ± 0.004,0.09144 ± 0.004,0.09617 ± 0.002,0.15934 ± 0.000
0.4,0.12964 ± 0.000,0.10085 ± 0.001,0.08602 ± 0.002,364.45038 ± 728.627,0.09509 ± 0.002,0.11692 ± 0.002,0.08513 ± 0.001,0.09175 ± 0.016,0.10203 ± 0.005,0.09745 ± 0.006,0.09465 ± 0.001,0.16360 ± 0.002
0.5,0.13888 ± 0.001,0.12611 ± 0.001,0.11103 ± 0.002,0.11684 ± 0.001,0.12129 ± 0.001,0.13278 ± 0.001,0.11573 ± 0.001,0.11723 ± 0.013,0.12043 ± 0.003,0.12090 ± 0.010,0.08746 ± 0.002,0.17145 ± 0.000
0.6,0.14995 ± 0.001,0.14306 ± 0.001,0.13811 ± 0.006,0.13768 ± 0.003,0.12492 ± 0.007,0.15464 ± 0.002,0.11615 ± 0.003,0.11419 ± 0.039,0.13805 ± 0.006,0.13895 ± 0.008,0.09637 ± 0.003,0.17985 ± 0.000
0.7,0.13857 ± 0.001,0.13021 ± 0.001,0.12218 ± 0.003,0.12752 ± 0.005,0.12986 ± 0.001,0.13804 ± 0.002,0.12931 ± 0.002,0.10933 ± 0.004,0.13109 ± 0.003,0.12302 ± 0.008,0.07835 ± 0.001,0.17054 ± 0.001
0.8,0.17020 ± 0.000,0.16673 ± 0.001,0.17029 ± 0.003,0.16831 ± 0.003,0.19119 ± 0.025,0.17087 ± 0.002,0.17870 ± 0.003,0.12857 ± 0.021,0.16977 ± 0.007,0.16278 ± 0.004,0.08686 ± 0.003,0.19705 ± 0.000
