,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
0.1,0.74387 ± 0.005,0.74176 ± 0.005,0.73793 ± 0.005,45499965731656.95312 ± 90999204775862.625,0.74187 ± 0.006,0.74256 ± 0.005,0.73901 ± 0.006,0.74771 ± 0.006,0.76522 ± 0.009,0.76803 ± 0.012,0.79244 ± 0.002,0.74274 ± 0.005
0.2,0.73625 ± 0.004,0.73548 ± 0.004,0.73133 ± 0.003,0.73240 ± 0.003,0.73146 ± 0.003,0.73464 ± 0.003,0.72913 ± 0.004,0.74062 ± 0.006,0.77384 ± 0.004,0.78282 ± 0.008,0.78406 ± 0.006,0.73539 ± 0.006
0.3,0.75018 ± 0.005,0.74897 ± 0.004,0.74334 ± 0.004,31485975702683046102859547410432.00000 ± 62971951405366083198519840079872.000,0.74403 ± 0.004,0.75531 ± 0.005,0.74214 ± 0.004,0.75161 ± 0.003,0.79347 ± 0.015,0.79175 ± 0.011,0.78697 ± 0.006,0.75436 ± 0.006
0.4,0.75283 ± 0.003,0.75097 ± 0.004,0.74798 ± 0.004,6.71106 ± 11.928,0.75008 ± 0.003,0.75323 ± 0.004,0.74733 ± 0.004,0.75928 ± 0.003,0.78443 ± 0.005,0.78552 ± 0.007,0.79648 ± 0.004,0.75453 ± 0.004
0.5,0.74307 ± 0.004,0.74589 ± 0.003,0.74234 ± 0.003,0.74330 ± 0.003,0.74453 ± 0.004,0.74529 ± 0.003,0.74426 ± 0.004,0.75476 ± 0.007,0.78439 ± 0.006,0.78684 ± 0.006,0.78622 ± 0.005,0.75343 ± 0.003
0.6,0.76769 ± 0.004,0.76817 ± 0.005,0.76516 ± 0.007,0.77098 ± 0.005,0.75729 ± 0.007,0.77071 ± 0.006,0.75459 ± 0.006,0.75191 ± 0.012,0.82240 ± 0.010,0.81024 ± 0.006,0.78056 ± 0.004,0.77671 ± 0.004
0.7,0.73392 ± 0.004,0.73784 ± 0.005,0.73752 ± 0.003,0.73462 ± 0.002,0.73315 ± 0.005,0.73298 ± 0.006,0.73396 ± 0.004,0.74526 ± 0.005,0.78804 ± 0.018,0.79566 ± 0.016,0.78420 ± 0.007,0.73978 ± 0.006
0.8,0.79762 ± 0.005,0.80945 ± 0.007,0.80728 ± 0.004,0.80809 ± 0.008,0.80668 ± 0.008,0.81169 ± 0.007,0.81428 ± 0.005,0.75429 ± 0.007,0.83643 ± 0.008,0.83968 ± 0.011,0.79614 ± 0.004,0.81505 ± 0.005
