,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.71793 ± 0.076,0.76538 ± 0.058,0.73996 ± 0.086,0.74530 ± 0.067,0.74899 ± 0.081,0.74550 ± 0.078,0.75770 ± 0.053,0.73200 ± 0.060,0.75663 ± 0.056,0.74910 ± 0.082,0.73266 ± 0.054,0.75960 ± 0.066,0.34385 ± 0.031,0.74195 ± 0.072
Q1_Q3_0.25,0.72013 ± 0.062,0.74125 ± 0.051,0.75023 ± 0.064,0.77068 ± 0.054,0.75500 ± 0.071,0.76462 ± 0.067,0.75503 ± 0.061,0.74341 ± 0.084,0.76486 ± 0.062,0.77961 ± 0.077,0.74529 ± 0.048,0.75221 ± 0.039,0.33352 ± 0.119,0.77536 ± 0.072
Q1_Q4_0.25,0.73656 ± 0.085,0.77887 ± 0.023,0.76348 ± 0.075,0.77328 ± 0.047,0.75778 ± 0.070,0.76468 ± 0.070,0.76467 ± 0.062,0.76989 ± 0.062,0.76377 ± 0.076,0.72427 ± 0.044,0.78003 ± 0.066,0.77904 ± 0.055,0.37311 ± 0.052,0.76989 ± 0.062
Q2_Q3_0.25,0.72862 ± 0.033,0.73262 ± 0.073,0.77436 ± 0.062,0.76086 ± 0.060,0.76506 ± 0.068,0.76521 ± 0.068,0.77454 ± 0.078,0.76012 ± 0.064,0.76506 ± 0.068,0.72613 ± 0.055,0.76897 ± 0.075,0.78580 ± 0.039,0.33725 ± 0.055,0.74984 ± 0.055
Q2_Q4_0.25,0.74909 ± 0.087,0.69125 ± 0.063,0.78286 ± 0.042,0.77544 ± 0.052,0.79367 ± 0.065,0.76326 ± 0.077,0.79395 ± 0.066,0.78295 ± 0.053,0.77710 ± 0.074,0.75917 ± 0.110,0.78568 ± 0.037,0.78897 ± 0.048,0.34634 ± 0.041,0.77802 ± 0.046
Q3_Q4_0.25,0.75017 ± 0.040,0.77942 ± 0.038,0.76848 ± 0.020,0.77741 ± 0.029,0.78261 ± 0.053,0.78203 ± 0.063,0.78320 ± 0.038,0.78018 ± 0.026,0.78937 ± 0.060,0.73176 ± 0.069,0.77401 ± 0.063,0.77595 ± 0.046,0.29973 ± 0.038,0.77813 ± 0.019
Q1_0.25,0.75841 ± 0.052,0.76773 ± 0.081,0.75677 ± 0.063,0.77674 ± 0.053,0.77540 ± 0.051,0.77122 ± 0.065,0.76912 ± 0.062,0.76088 ± 0.071,0.77590 ± 0.065,0.75603 ± 0.076,0.76319 ± 0.041,0.77657 ± 0.057,0.37366 ± 0.086,0.75783 ± 0.049
Q2_0.25,0.77264 ± 0.056,0.76660 ± 0.046,0.77580 ± 0.058,0.77622 ± 0.053,0.77420 ± 0.069,0.77866 ± 0.061,0.76956 ± 0.073,0.77494 ± 0.074,0.76979 ± 0.069,0.74895 ± 0.064,0.75778 ± 0.051,0.76650 ± 0.068,0.32608 ± 0.040,0.76438 ± 0.057
Q3_0.25,0.75546 ± 0.091,0.71330 ± 0.038,0.77465 ± 0.062,0.76428 ± 0.052,0.76989 ± 0.062,0.77533 ± 0.064,0.77060 ± 0.062,0.74934 ± 0.067,0.77485 ± 0.064,0.73024 ± 0.068,0.77744 ± 0.054,0.76451 ± 0.045,0.30970 ± 0.026,0.76037 ± 0.065
Q4_0.25,0.77060 ± 0.056,0.77369 ± 0.056,0.77830 ± 0.047,0.78362 ± 0.065,0.76549 ± 0.073,0.76261 ± 0.072,0.76525 ± 0.076,0.78362 ± 0.061,0.77514 ± 0.071,0.74206 ± 0.094,0.76409 ± 0.048,0.75587 ± 0.053,0.36757 ± 0.078,0.78798 ± 0.056
