,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.78705 ± 0.081,0.81677 ± 0.022,0.80636 ± 0.023,0.84130 ± 0.040,0.80909 ± 0.027,0.81897 ± 0.030,0.83358 ± 0.030,0.81097 ± 0.041,0.81692 ± 0.027,0.80871 ± 0.053,0.79165 ± 0.025,0.80046 ± 0.031,0.30940 ± 0.037,0.81101 ± 0.024
Q1_Q3_0.25,0.74301 ± 0.088,0.78500 ± 0.020,0.82213 ± 0.033,0.82571 ± 0.044,0.82714 ± 0.029,0.81963 ± 0.030,0.82092 ± 0.038,0.81093 ± 0.046,0.81691 ± 0.026,0.80478 ± 0.033,0.82367 ± 0.025,0.79998 ± 0.039,0.31098 ± 0.038,0.80839 ± 0.046
Q1_Q4_0.25,0.77086 ± 0.047,0.79556 ± 0.052,0.81764 ± 0.016,0.82159 ± 0.029,0.83580 ± 0.034,0.81180 ± 0.023,0.81909 ± 0.026,0.82926 ± 0.022,0.82843 ± 0.028,0.78451 ± 0.051,0.80854 ± 0.027,0.80353 ± 0.027,0.31314 ± 0.039,0.80724 ± 0.003
Q2_Q3_0.25,0.82678 ± 0.017,0.78027 ± 0.049,0.81451 ± 0.039,0.83538 ± 0.037,0.82877 ± 0.037,0.80720 ± 0.053,0.83867 ± 0.034,0.83391 ± 0.037,0.83362 ± 0.043,0.80297 ± 0.044,0.81872 ± 0.036,0.82405 ± 0.029,0.34616 ± 0.033,0.81916 ± 0.043
Q2_Q4_0.25,0.80762 ± 0.045,0.72418 ± 0.063,0.82196 ± 0.024,0.80949 ± 0.031,0.81688 ± 0.018,0.80481 ± 0.024,0.83892 ± 0.010,0.82407 ± 0.017,0.81448 ± 0.022,0.80508 ± 0.041,0.82113 ± 0.047,0.81665 ± 0.028,0.34616 ± 0.033,0.81694 ± 0.028
Q3_Q4_0.25,0.80127 ± 0.035,0.74305 ± 0.039,0.80668 ± 0.025,0.83151 ± 0.027,0.82872 ± 0.037,0.83839 ± 0.047,0.83685 ± 0.025,0.82154 ± 0.015,0.84089 ± 0.035,0.80175 ± 0.077,0.82693 ± 0.043,0.80378 ± 0.030,0.34616 ± 0.033,0.79465 ± 0.020
Q1_0.25,0.82391 ± 0.049,0.82667 ± 0.054,0.80912 ± 0.011,0.81136 ± 0.017,0.81680 ± 0.025,0.82645 ± 0.032,0.81344 ± 0.015,0.81892 ± 0.026,0.81642 ± 0.025,0.81684 ± 0.033,0.82221 ± 0.022,0.81417 ± 0.020,0.31590 ± 0.040,0.81403 ± 0.024
Q2_0.25,0.81046 ± 0.044,0.81931 ± 0.033,0.84002 ± 0.047,0.83957 ± 0.041,0.85032 ± 0.030,0.82924 ± 0.031,0.83047 ± 0.029,0.84472 ± 0.031,0.84073 ± 0.041,0.80017 ± 0.051,0.82640 ± 0.037,0.82728 ± 0.017,0.34616 ± 0.033,0.81925 ± 0.027
Q3_0.25,0.80178 ± 0.017,0.75816 ± 0.055,0.82667 ± 0.036,0.83392 ± 0.029,0.84979 ± 0.026,0.82173 ± 0.034,0.83347 ± 0.048,0.84792 ± 0.029,0.83608 ± 0.023,0.78945 ± 0.063,0.82393 ± 0.018,0.83530 ± 0.037,0.34616 ± 0.033,0.83149 ± 0.035
Q4_0.25,0.81608 ± 0.019,0.75495 ± 0.066,0.81328 ± 0.040,0.82653 ± 0.036,0.84151 ± 0.029,0.83346 ± 0.042,0.83830 ± 0.041,0.83370 ± 0.050,0.85308 ± 0.032,0.78200 ± 0.090,0.83159 ± 0.015,0.81394 ± 0.036,0.34616 ± 0.033,0.81808 ± 0.043
Q1_Q2_0.5,0.70981 ± 0.090,0.74456 ± 0.040,0.77905 ± 0.024,0.82118 ± 0.036,0.81869 ± 0.034,0.82290 ± 0.054,0.83181 ± 0.060,0.80825 ± 0.043,0.81639 ± 0.035,0.74141 ± 0.130,0.77787 ± 0.037,0.81171 ± 0.045,0.31590 ± 0.040,0.77388 ± 0.069
Q1_Q3_0.5,0.76838 ± 0.094,0.80431 ± 0.066,0.81201 ± 0.021,0.81995 ± 0.032,0.83188 ± 0.050,0.84702 ± 0.037,0.83239 ± 0.049,0.82655 ± 0.037,0.84220 ± 0.055,0.78808 ± 0.056,0.81301 ± 0.041,0.81236 ± 0.040,0.31098 ± 0.038,0.81730 ± 0.020
Q1_Q4_0.5,0.73521 ± 0.054,0.69948 ± 0.072,0.78052 ± 0.065,0.83135 ± 0.038,0.81193 ± 0.039,0.82474 ± 0.032,0.82868 ± 0.035,0.79422 ± 0.044,0.82384 ± 0.036,0.77176 ± 0.078,0.72389 ± 0.092,0.72479 ± 0.075,0.31098 ± 0.038,0.78924 ± 0.042
Q2_Q3_0.5,0.77164 ± 0.059,0.68033 ± 0.048,0.80733 ± 0.037,0.80719 ± 0.028,0.82878 ± 0.035,0.73658 ± 0.211,0.84537 ± 0.032,0.81814 ± 0.033,0.81369 ± 0.041,0.81980 ± 0.065,0.79314 ± 0.030,0.79770 ± 0.025,0.34616 ± 0.033,0.83310 ± 0.038
Q2_Q4_0.5,0.74752 ± 0.069,0.68718 ± 0.064,0.77122 ± 0.055,0.81194 ± 0.043,0.82868 ± 0.035,0.71850 ± 0.204,0.82246 ± 0.034,0.79435 ± 0.042,0.82139 ± 0.041,0.75458 ± 0.070,0.81160 ± 0.028,0.76354 ± 0.034,0.34616 ± 0.033,0.77791 ± 0.037
Q3_Q4_0.5,0.79837 ± 0.022,0.67079 ± 0.082,0.74254 ± 0.047,0.79082 ± 0.043,0.80199 ± 0.069,0.81378 ± 0.056,0.80515 ± 0.035,0.77847 ± 0.040,0.82348 ± 0.030,0.67962 ± 0.077,0.75400 ± 0.060,0.73413 ± 0.041,0.34616 ± 0.033,0.72801 ± 0.047
Q1_0.5,0.73001 ± 0.058,0.81911 ± 0.039,0.79295 ± 0.044,0.82281 ± 0.039,0.82142 ± 0.046,0.59626 ± 0.247,0.83709 ± 0.041,0.82268 ± 0.044,0.82004 ± 0.036,0.78545 ± 0.044,0.80160 ± 0.019,0.79224 ± 0.022,0.31590 ± 0.040,0.78055 ± 0.044
Q2_0.5,0.78005 ± 0.060,0.75054 ± 0.030,0.82639 ± 0.035,0.82849 ± 0.036,0.82664 ± 0.037,0.80434 ± 0.053,0.83141 ± 0.027,0.83506 ± 0.034,0.82627 ± 0.030,0.80092 ± 0.043,0.82466 ± 0.041,0.82668 ± 0.028,0.30289 ± 0.031,0.81902 ± 0.039
Q3_0.5,0.81408 ± 0.029,0.75784 ± 0.047,0.82163 ± 0.029,0.81899 ± 0.042,0.82879 ± 0.033,0.82740 ± 0.026,0.79993 ± 0.026,0.79953 ± 0.051,0.80901 ± 0.030,0.78081 ± 0.073,0.80633 ± 0.020,0.82622 ± 0.017,0.34616 ± 0.033,0.82424 ± 0.028
Q4_0.5,0.80950 ± 0.021,0.70004 ± 0.057,0.76057 ± 0.054,0.82352 ± 0.047,0.82899 ± 0.037,0.83634 ± 0.030,0.82904 ± 0.033,0.80387 ± 0.028,0.84647 ± 0.025,0.74326 ± 0.106,0.73179 ± 0.040,0.75203 ± 0.047,0.34616 ± 0.033,0.74937 ± 0.049
Q1_Q2_0.75,0.68866 ± 0.048,0.66926 ± 0.048,0.68079 ± 0.071,0.78166 ± 0.051,0.81275 ± 0.040,0.79832 ± 0.062,0.80082 ± 0.022,0.72853 ± 0.096,0.78964 ± 0.030,0.62154 ± 0.062,0.79169 ± 0.048,0.80597 ± 0.034,0.31590 ± 0.040,0.71294 ± 0.081
Q1_Q3_0.75,0.68895 ± 0.122,0.74557 ± 0.053,0.73158 ± 0.066,0.77604 ± 0.038,0.80638 ± 0.050,0.78152 ± 0.057,0.82189 ± 0.047,0.76207 ± 0.062,0.80092 ± 0.041,0.72726 ± 0.104,0.79830 ± 0.054,0.80311 ± 0.020,0.30940 ± 0.037,0.72724 ± 0.095
Q1_Q4_0.75,0.70705 ± 0.070,0.65863 ± 0.081,0.70395 ± 0.101,0.76332 ± 0.074,0.78469 ± 0.057,0.76771 ± 0.054,0.77213 ± 0.069,0.71216 ± 0.099,0.79306 ± 0.043,0.70483 ± 0.091,0.66531 ± 0.095,0.66434 ± 0.086,0.31098 ± 0.038,0.73009 ± 0.094
Q2_Q3_0.75,0.69340 ± 0.082,0.51268 ± 0.092,0.81393 ± 0.034,0.81014 ± 0.043,0.82590 ± 0.030,0.77488 ± 0.041,0.81552 ± 0.044,0.83004 ± 0.045,0.81793 ± 0.018,0.75438 ± 0.089,0.79839 ± 0.055,0.79868 ± 0.048,0.34616 ± 0.033,0.81723 ± 0.036
Q2_Q4_0.75,0.68576 ± 0.074,0.55720 ± 0.059,0.70747 ± 0.071,0.77133 ± 0.061,0.78253 ± 0.045,0.75033 ± 0.034,0.81343 ± 0.048,0.72720 ± 0.054,0.79190 ± 0.045,0.64341 ± 0.070,0.71395 ± 0.047,0.68651 ± 0.071,0.34616 ± 0.033,0.70305 ± 0.069
Q3_Q4_0.75,0.73800 ± 0.057,0.47245 ± 0.037,0.55516 ± 0.086,0.70911 ± 0.032,0.69072 ± 0.066,0.74905 ± 0.074,0.72342 ± 0.046,0.56477 ± 0.100,0.71169 ± 0.069,0.46139 ± 0.074,0.57128 ± 0.041,0.46556 ± 0.034,0.34616 ± 0.033,0.61890 ± 0.083
Q1_0.75,0.71179 ± 0.082,0.81432 ± 0.058,0.75483 ± 0.066,0.83235 ± 0.031,0.82479 ± 0.040,0.80070 ± 0.052,0.83583 ± 0.027,0.78227 ± 0.079,0.83183 ± 0.044,0.69223 ± 0.061,0.80629 ± 0.021,0.80858 ± 0.027,0.31590 ± 0.040,0.75228 ± 0.056
Q2_0.75,0.78641 ± 0.067,0.68290 ± 0.045,0.82647 ± 0.032,0.80772 ± 0.030,0.82335 ± 0.034,0.80947 ± 0.043,0.83070 ± 0.037,0.83982 ± 0.035,0.83991 ± 0.027,0.78737 ± 0.068,0.81450 ± 0.029,0.82092 ± 0.041,0.30940 ± 0.037,0.81584 ± 0.041
Q3_0.75,0.80382 ± 0.044,0.74954 ± 0.047,0.81401 ± 0.035,0.82014 ± 0.037,0.83153 ± 0.013,0.80143 ± 0.028,0.79465 ± 0.038,0.79604 ± 0.058,0.81714 ± 0.025,0.78053 ± 0.058,0.78401 ± 0.032,0.80812 ± 0.027,0.34616 ± 0.033,0.81876 ± 0.027
Q4_0.75,0.78083 ± 0.047,0.57836 ± 0.047,0.67939 ± 0.068,0.75364 ± 0.044,0.80356 ± 0.033,0.75617 ± 0.026,0.78391 ± 0.041,0.69499 ± 0.050,0.76394 ± 0.037,0.61719 ± 0.099,0.66141 ± 0.041,0.62857 ± 0.062,0.34616 ± 0.033,0.65868 ± 0.075
Q1_Q2_1.0,0.53446 ± 0.040,0.58329 ± 0.053,0.39948 ± 0.073,0.48448 ± 0.096,0.40867 ± 0.089,0.34403 ± 0.083,0.67446 ± 0.054,0.48740 ± 0.146,0.45121 ± 0.112,0.41321 ± 0.151,0.39314 ± 0.101,0.41258 ± 0.132,0.31590 ± 0.040,0.42733 ± 0.126
Q1_Q3_1.0,0.61975 ± 0.041,0.75477 ± 0.088,0.67175 ± 0.037,0.72263 ± 0.050,0.74550 ± 0.078,0.72933 ± 0.049,0.76243 ± 0.041,0.67955 ± 0.066,0.78154 ± 0.050,0.68795 ± 0.082,0.72483 ± 0.040,0.71537 ± 0.041,0.31590 ± 0.040,0.62683 ± 0.046
Q1_Q4_1.0,0.54336 ± 0.062,0.58538 ± 0.055,0.62729 ± 0.078,0.69676 ± 0.101,0.69569 ± 0.081,0.40100 ± 0.182,0.66956 ± 0.093,0.64109 ± 0.094,0.65949 ± 0.098,0.67309 ± 0.108,0.66801 ± 0.101,0.62879 ± 0.096,0.31748 ± 0.041,0.60576 ± 0.109
Q2_Q3_1.0,0.65907 ± 0.082,0.46112 ± 0.088,0.82794 ± 0.042,0.77249 ± 0.068,0.83232 ± 0.034,0.80489 ± 0.035,0.77800 ± 0.066,0.81748 ± 0.068,0.83030 ± 0.053,0.71792 ± 0.102,0.77592 ± 0.042,0.76525 ± 0.039,0.34616 ± 0.033,0.80880 ± 0.050
Q2_Q4_1.0,0.65535 ± 0.076,0.44944 ± 0.076,0.64285 ± 0.066,0.65895 ± 0.079,0.65316 ± 0.074,0.63418 ± 0.068,0.74312 ± 0.075,0.64849 ± 0.073,0.65949 ± 0.078,0.57708 ± 0.063,0.62572 ± 0.055,0.61053 ± 0.066,0.34616 ± 0.033,0.66345 ± 0.068
Q3_Q4_1.0,0.63485 ± 0.088,0.31590 ± 0.040,0.31590 ± 0.040,0.37023 ± 0.075,0.34451 ± 0.059,0.45953 ± 0.128,0.48024 ± 0.132,0.31590 ± 0.040,0.37768 ± 0.075,0.45953 ± 0.063,0.48759 ± 0.078,0.37635 ± 0.090,0.34616 ± 0.033,0.44109 ± 0.141
Q1_1.0,0.62830 ± 0.042,0.82427 ± 0.055,0.69270 ± 0.063,0.78091 ± 0.080,0.77815 ± 0.071,0.50686 ± 0.260,0.80368 ± 0.050,0.65904 ± 0.083,0.78808 ± 0.052,0.61115 ± 0.084,0.78429 ± 0.052,0.79328 ± 0.030,0.31590 ± 0.040,0.66627 ± 0.049
Q2_1.0,0.76744 ± 0.083,0.60431 ± 0.033,0.81513 ± 0.041,0.82528 ± 0.034,0.82001 ± 0.022,0.81569 ± 0.035,0.84027 ± 0.039,0.83960 ± 0.041,0.83478 ± 0.031,0.81849 ± 0.028,0.81756 ± 0.025,0.82526 ± 0.037,0.30940 ± 0.037,0.82260 ± 0.040
Q3_1.0,0.76195 ± 0.013,0.75984 ± 0.076,0.80924 ± 0.037,0.78164 ± 0.061,0.80188 ± 0.040,0.79405 ± 0.032,0.81382 ± 0.070,0.80125 ± 0.064,0.80128 ± 0.042,0.77633 ± 0.075,0.80721 ± 0.046,0.80197 ± 0.053,0.34616 ± 0.033,0.80660 ± 0.027
Q4_1.0,0.77537 ± 0.081,0.55381 ± 0.053,0.65307 ± 0.069,0.69686 ± 0.061,0.68893 ± 0.054,0.67385 ± 0.076,0.69539 ± 0.074,0.65697 ± 0.070,0.67992 ± 0.048,0.57933 ± 0.063,0.58392 ± 0.057,0.58559 ± 0.057,0.34616 ± 0.033,0.61362 ± 0.063
