,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.74990 ± 0.063,0.80593 ± 0.052,0.77113 ± 0.058,0.78725 ± 0.049,0.80000 ± 0.076,0.78168 ± 0.069,0.79102 ± 0.060,0.77596 ± 0.073,0.77705 ± 0.069,0.75326 ± 0.090,0.79687 ± 0.044,0.77684 ± 0.026,0.34616 ± 0.033,0.77638 ± 0.059
Q1_Q3_0.25,0.74031 ± 0.090,0.79294 ± 0.073,0.77946 ± 0.083,0.78687 ± 0.084,0.80974 ± 0.067,0.79989 ± 0.064,0.79087 ± 0.078,0.78423 ± 0.076,0.79502 ± 0.059,0.78320 ± 0.080,0.74894 ± 0.041,0.75148 ± 0.053,0.34616 ± 0.033,0.77479 ± 0.071
Q1_Q4_0.25,0.75670 ± 0.081,0.80497 ± 0.022,0.75941 ± 0.046,0.79084 ± 0.057,0.81046 ± 0.044,0.78830 ± 0.051,0.79505 ± 0.048,0.77811 ± 0.047,0.81581 ± 0.036,0.73816 ± 0.063,0.74513 ± 0.033,0.76392 ± 0.040,0.34616 ± 0.033,0.75834 ± 0.044
Q2_Q3_0.25,0.73464 ± 0.032,0.79926 ± 0.051,0.78523 ± 0.052,0.81776 ± 0.059,0.81415 ± 0.068,0.77770 ± 0.075,0.80645 ± 0.059,0.81121 ± 0.069,0.81049 ± 0.052,0.75837 ± 0.064,0.74701 ± 0.051,0.81227 ± 0.025,0.34616 ± 0.033,0.78675 ± 0.060
Q2_Q4_0.25,0.74893 ± 0.064,0.77388 ± 0.028,0.81256 ± 0.053,0.80254 ± 0.052,0.80713 ± 0.053,0.79109 ± 0.052,0.80217 ± 0.050,0.80267 ± 0.041,0.80652 ± 0.048,0.75855 ± 0.072,0.77971 ± 0.038,0.79166 ± 0.043,0.34616 ± 0.033,0.82339 ± 0.028
Q3_Q4_0.25,0.77299 ± 0.033,0.78803 ± 0.039,0.82257 ± 0.058,0.83227 ± 0.058,0.82038 ± 0.048,0.80090 ± 0.040,0.83512 ± 0.034,0.80987 ± 0.052,0.83607 ± 0.048,0.75030 ± 0.092,0.79928 ± 0.046,0.82321 ± 0.021,0.34616 ± 0.033,0.81768 ± 0.066
Q1_0.25,0.80231 ± 0.038,0.79632 ± 0.075,0.80611 ± 0.056,0.81663 ± 0.059,0.81072 ± 0.044,0.82076 ± 0.047,0.82684 ± 0.053,0.80701 ± 0.050,0.82060 ± 0.047,0.79453 ± 0.072,0.78499 ± 0.045,0.79760 ± 0.034,0.34616 ± 0.033,0.81180 ± 0.048
Q2_0.25,0.77101 ± 0.062,0.82536 ± 0.040,0.79598 ± 0.068,0.79898 ± 0.066,0.79911 ± 0.049,0.80003 ± 0.060,0.80653 ± 0.067,0.78724 ± 0.064,0.79497 ± 0.066,0.77887 ± 0.072,0.76221 ± 0.038,0.76184 ± 0.029,0.34616 ± 0.033,0.79076 ± 0.061
Q3_0.25,0.76663 ± 0.031,0.75873 ± 0.054,0.81415 ± 0.059,0.79661 ± 0.047,0.80152 ± 0.050,0.81127 ± 0.052,0.80281 ± 0.055,0.80125 ± 0.054,0.81588 ± 0.050,0.76627 ± 0.069,0.76834 ± 0.058,0.74138 ± 0.037,0.34616 ± 0.033,0.79014 ± 0.045
Q4_0.25,0.81043 ± 0.060,0.75904 ± 0.058,0.80975 ± 0.048,0.80641 ± 0.049,0.80258 ± 0.063,0.78619 ± 0.077,0.81739 ± 0.065,0.79937 ± 0.035,0.79246 ± 0.066,0.78956 ± 0.092,0.78330 ± 0.056,0.78622 ± 0.050,0.34616 ± 0.033,0.80495 ± 0.045
