,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
0.1,0.26256 ± 0.006,0.17279 ± 0.022,0.14144 ± 0.009,0.14257 ± 0.010,0.18215 ± 0.012,0.19661 ± 0.016,0.12970 ± 0.016,0.15396 ± 0.069,0.20740 ± 0.032,0.18119 ± 0.007,0.19813 ± 0.025,0.25668 ± 0.021
0.2,0.05520 ± 0.002,0.04423 ± 0.001,0.04784 ± 0.002,0.04892 ± 0.001,0.04807 ± 0.002,0.05498 ± 0.002,0.03936 ± 0.002,0.02579 ± 0.006,0.05245 ± 0.003,0.05091 ± 0.003,0.05377 ± 0.004,0.11406 ± 0.001
0.3,0.16901 ± 0.003,0.06330 ± 0.005,0.05986 ± 0.003,0.05934 ± 0.004,0.07223 ± 0.004,0.06453 ± 0.003,0.04764 ± 0.003,0.05711 ± 0.015,0.06215 ± 0.001,0.06138 ± 0.003,0.06983 ± 0.005,0.19741 ± 0.002
0.4,0.05538 ± 0.001,0.03848 ± 0.001,0.03463 ± 0.001,0.03532 ± 0.001,0.04310 ± 0.001,0.04732 ± 0.001,0.03393 ± 0.002,0.02946 ± 0.011,0.04333 ± 0.003,0.04282 ± 0.003,0.03702 ± 0.002,0.11464 ± 0.001
0.5,0.04914 ± 0.001,0.02912 ± 0.001,0.03024 ± 0.003,0.02392 ± 0.001,0.02869 ± 0.000,0.03532 ± 0.000,0.02922 ± 0.002,0.02398 ± 0.004,0.04227 ± 0.004,0.03329 ± 0.006,0.01801 ± 0.000,0.11164 ± 0.001
0.6,0.22475 ± 0.001,0.12696 ± 0.002,0.11069 ± 0.002,0.12421 ± 0.001,0.12299 ± 0.001,0.16369 ± 0.002,0.11385 ± 0.003,0.19853 ± 0.024,0.19580 ± 0.009,0.16815 ± 0.019,0.05893 ± 0.001,0.24587 ± 0.001
0.7,0.22591 ± 0.001,0.14571 ± 0.001,0.11566 ± 0.008,0.12621 ± 0.002,0.14739 ± 0.002,0.17958 ± 0.002,0.13766 ± 0.006,0.20467 ± 0.046,0.19954 ± 0.008,0.18164 ± 0.011,0.05934 ± 0.001,0.24667 ± 0.001
0.8,0.22774 ± 0.001,0.20208 ± 0.000,0.21854 ± 0.002,0.22273 ± 0.002,0.20955 ± 0.001,0.23623 ± 0.002,0.21606 ± 0.007,0.25364 ± 0.016,0.23075 ± 0.003,0.22315 ± 0.002,0.12756 ± 0.001,0.24848 ± 0.001
