,one,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
0.1,0.61282 ± 0.001,0.61711 ± 0.002,0.61712 ± 0.001,0.61714 ± 0.002,0.61584 ± 0.002,0.61590 ± 0.003,0.61706 ± 0.001,0.61716 ± 0.002,0.61678 ± 0.002,0.62673 ± 0.015,0.71054 ± 0.032,0.69262 ± 0.028,5735.05012 ± 4647.889,0.61747 ± 0.002
0.2,0.59012 ± 0.002,0.58675 ± 0.003,0.63457 ± 0.003,0.63304 ± 0.002,0.63060 ± 0.003,0.63110 ± 0.002,0.63506 ± 0.003,0.61834 ± 0.002,0.63357 ± 0.003,0.63746 ± 0.004,0.71273 ± 0.018,0.70001 ± 0.018,4231.74885 ± 2240.013,0.60155 ± 0.002
0.3,0.61162 ± 0.003,0.61551 ± 0.003,0.61429 ± 0.002,0.61624 ± 0.002,0.61588 ± 0.004,0.61572 ± 0.003,0.61641 ± 0.001,0.61759 ± 0.003,0.61502 ± 0.002,0.62768 ± 0.017,0.70243 ± 0.013,0.72332 ± 0.015,4078.55356 ± 1776.992,0.61311 ± 0.003
0.4,0.58679 ± 0.004,0.59180 ± 0.002,0.63497 ± 0.002,0.63636 ± 0.002,0.63807 ± 0.002,0.63769 ± 0.002,0.63660 ± 0.003,0.61724 ± 0.003,0.63588 ± 0.003,0.63530 ± 0.007,0.70509 ± 0.027,0.71440 ± 0.025,4029.92656 ± 1169.702,0.60463 ± 0.003
0.5,0.58435 ± 0.003,0.59484 ± 0.002,0.64345 ± 0.003,0.64464 ± 0.003,0.63969 ± 0.003,0.64132 ± 0.001,0.64560 ± 0.002,0.62796 ± 0.003,0.64330 ± 0.003,0.63899 ± 0.006,0.72564 ± 0.024,0.71016 ± 0.030,3129.28747 ± 2361.145,0.61227 ± 0.003
0.6,0.64827 ± 0.004,0.62775 ± 0.002,0.75191 ± 0.020,0.91082 ± 0.007,0.82475 ± 0.006,0.80786 ± 0.006,0.81618 ± 0.009,0.83566 ± 0.002,0.84117 ± 0.020,0.75251 ± 0.018,0.95220 ± 0.014,0.96353 ± 0.064,3588.84473 ± 1505.254,0.82561 ± 0.009
0.7,0.66693 ± 0.003,0.65139 ± 0.002,0.75071 ± 0.006,0.82466 ± 0.006,0.80995 ± 0.006,0.80474 ± 0.006,0.81126 ± 0.008,0.80659 ± 0.004,0.81190 ± 0.005,0.77219 ± 0.014,0.95326 ± 0.041,0.93230 ± 0.037,4750.62651 ± 2324.220,0.81204 ± 0.007
0.8,0.68360 ± 0.004,0.65694 ± 0.003,0.73942 ± 0.006,0.83917 ± 0.006,0.73403 ± 0.024,0.75066 ± 0.009,0.78139 ± 0.007,0.78378 ± 0.010,0.84360 ± 0.016,0.77626 ± 0.041,0.93147 ± 0.045,0.93894 ± 0.031,2991.80455 ± 1112.537,0.85250 ± 0.014
