,one,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
0.1,0.74055 ± 0.004,0.72827 ± 0.002,0.72841 ± 0.003,0.72799 ± 0.003,0.72807 ± 0.003,0.72804 ± 0.003,0.72813 ± 0.003,0.72836 ± 0.003,0.72805 ± 0.003,0.73022 ± 0.003,0.81849 ± 0.031,0.78255 ± 0.036,1.15194 ± 0.002,0.72848 ± 0.003
0.2,0.72832 ± 0.003,0.72595 ± 0.002,0.73015 ± 0.003,0.72953 ± 0.003,0.72957 ± 0.003,0.72952 ± 0.003,0.72961 ± 0.003,0.72654 ± 0.002,0.72937 ± 0.002,0.73132 ± 0.002,0.78785 ± 0.020,0.78295 ± 0.033,1.15194 ± 0.002,0.73083 ± 0.003
0.3,0.79992 ± 0.003,0.72763 ± 0.002,0.73385 ± 0.002,0.72689 ± 0.003,0.72626 ± 0.003,0.72626 ± 0.002,0.72626 ± 0.002,0.72632 ± 0.002,0.72690 ± 0.003,0.72810 ± 0.002,0.77376 ± 0.010,0.80044 ± 0.022,1.15190 ± 0.002,0.73569 ± 0.002
0.4,0.71262 ± 0.003,0.72783 ± 0.002,0.73701 ± 0.002,0.72897 ± 0.002,0.72864 ± 0.003,0.72864 ± 0.003,0.72964 ± 0.002,0.72765 ± 0.003,0.72857 ± 0.003,0.72959 ± 0.003,0.77828 ± 0.032,0.80377 ± 0.028,1.15197 ± 0.002,0.73789 ± 0.003
0.5,0.72899 ± 0.003,0.72757 ± 0.003,0.74865 ± 0.003,0.73155 ± 0.003,0.73136 ± 0.004,0.73112 ± 0.003,0.73232 ± 0.003,0.73216 ± 0.002,0.73164 ± 0.002,0.73101 ± 0.002,0.79683 ± 0.027,0.78885 ± 0.037,1.15193 ± 0.002,0.75186 ± 0.003
0.6,0.95792 ± 0.002,0.75985 ± 0.002,1.05523 ± 0.003,1.00057 ± 0.006,0.96897 ± 0.006,0.98658 ± 0.006,0.93818 ± 0.006,1.05568 ± 0.004,0.92061 ± 0.019,1.05725 ± 0.033,1.06993 ± 0.021,1.06039 ± 0.058,1.15097 ± 0.002,1.10093 ± 0.004
0.7,0.95638 ± 0.003,0.78370 ± 0.002,1.05297 ± 0.003,0.98406 ± 0.006,0.97296 ± 0.018,0.98517 ± 0.008,0.96687 ± 0.005,1.06817 ± 0.006,0.93459 ± 0.012,1.04075 ± 0.084,1.05260 ± 0.037,1.06290 ± 0.039,1.15070 ± 0.002,1.10370 ± 0.002
0.8,0.86026 ± 0.002,0.79079 ± 0.003,0.95871 ± 0.003,0.93459 ± 0.005,0.97167 ± 0.013,0.97558 ± 0.003,0.91908 ± 0.003,0.97036 ± 0.003,0.95373 ± 0.014,0.94582 ± 0.036,1.08052 ± 0.036,1.06233 ± 0.039,1.15022 ± 0.002,0.98877 ± 0.002
