,RD,ZR,Mean,KNN,MF,Mice,MisF,XGB,OT,HI,GAIN,Mi,NMi,CSDI
Q1_Q2_0.25,0.49573,0.18965,0.1555,0.22826,0.12073,0.10014,0.09713,0.09923,0.18499,0.077,0.09159,0.11752,0.11359,0.11168
Q1_Q3_0.25,0.48689,0.27037,0.14218,0.16643,0.11796,0.09724,0.10248,0.0979,0.17421,0.0798,0.12254,0.10663,0.10817,0.11747
Q1_Q4_0.25,0.49009,0.35057,0.18949,0.20046,0.15768,0.13234,0.13582,0.13605,0.21396,0.1075,0.18519,0.14941,0.14993,0.16216
Q2_Q3_0.25,0.47029,0.3043,0.08476,0.11604,0.08394,0.06862,0.07276,0.06636,0.13174,0.07096,0.10675,0.06546,0.06685,0.09393
Q2_Q4_0.25,0.47515,0.37712,0.15702,0.17769,0.13139,0.19629,0.11273,0.20129,0.1865,0.08587,0.16771,0.12429,0.12067,0.13546
Q3_Q4_0.25,0.46485,0.42275,0.16552,0.2086,0.12912,0.10455,0.11104,0.10912,0.19336,0.08163,0.16323,0.12658,0.11938,0.12739
Q1_0.25,0.51274,0.12767,0.19002,0.22469,0.14477,0.11932,0.11913,0.12141,0.21482,0.0856,0.08403,0.13094,0.13131,0.13345
Q2_0.25,0.47711,0.23665,0.09039,0.11798,0.08164,0.06828,0.07091,0.06317,0.13478,0.06099,0.04907,0.0658,0.07172,0.08891
Q3_0.25,0.46209,0.36052,0.08561,0.121,0.07548,0.05866,0.06734,0.05976,0.13169,0.05778,0.14022,0.05673,0.04975,0.0857
Q4_0.25,0.46927,0.47791,0.20904,0.22426,0.16158,0.13408,0.13375,0.14218,0.23185,0.09638,0.18044,0.15361,0.15062,0.15674
Q1_Q2_0.5,0.49586,0.18988,0.17756,0.24912,0.13763,0.11764,0.10473,0.11438,0.20378,0.0905,0.13302,0.1225,0.15193,0.11242
Q1_Q3_0.5,0.48676,0.26982,0.14765,0.19808,0.12849,0.11083,0.11612,0.10671,0.17831,0.0976,0.12889,0.11608,0.12105,0.12581
Q1_Q4_0.5,0.49128,0.34977,0.1894,0.2185,0.17035,0.152,0.15468,0.15415,0.21468,0.13224,0.1835,0.16369,0.16356,0.17596
Q2_Q3_0.5,0.46859,0.30373,0.08555,0.14191,0.09302,0.08365,0.08458,0.0725,0.13177,0.09329,0.1025,0.07186,0.06962,0.10436
Q2_Q4_0.5,0.47302,0.37666,0.16049,0.19195,0.14019,0.13122,0.12194,0.12709,0.18897,0.10276,0.14082,0.13803,0.13294,0.14036
Q3_Q4_0.5,0.46491,0.42336,0.1864,0.24697,0.14583,0.12048,0.12119,0.12401,0.21147,0.09493,0.1774,0.165,0.14381,0.1279
Q1_0.5,0.51242,0.12797,0.20314,0.28513,0.15603,0.12858,0.12539,0.13236,0.22654,0.09574,0.18026,0.14301,0.1519,0.13244
Q2_0.5,0.47938,0.23624,0.0956,0.15914,0.08428,0.07371,0.07405,0.06641,0.13851,0.06521,0.08068,0.07691,0.07668,0.09006
Q3_0.5,0.46073,0.35939,0.08931,0.15434,0.07893,0.06219,0.07676,0.05775,0.13407,0.0645,0.09357,0.05716,0.05123,0.08577
Q4_0.5,0.46797,0.47867,0.22366,0.29875,0.17535,0.21648,0.14657,0.23878,0.24515,0.1112,0.18801,0.17703,0.16734,0.15812
Q1_Q2_0.75,0.49514,0.18972,0.20819,0.25997,0.18311,0.13143,0.11934,0.13855,0.23118,0.11466,0.22696,0.19172,0.19884,0.11149
Q1_Q3_0.75,0.48665,0.26933,0.15594,0.21013,0.14265,0.12084,0.12504,0.12664,0.18519,0.11521,0.18069,0.13481,0.13915,0.13078
Q1_Q4_0.75,0.49107,0.34925,0.19014,0.20522,0.18015,0.2235,0.16668,0.19455,0.21489,0.15641,0.19831,0.17955,0.17911,0.18762
Q2_Q3_0.75,0.46957,0.30383,0.08699,0.14881,0.10326,0.09368,0.11986,0.0925,0.13266,0.12484,0.1086,0.08546,0.08676,0.11185
Q2_Q4_0.75,0.47428,0.37643,0.16813,0.18906,0.15278,0.14704,0.13388,0.15578,0.19552,0.1198,0.16486,0.14935,0.14379,0.14785
Q3_Q4_0.75,0.46397,0.42333,0.21576,0.25045,0.18719,0.15329,0.13912,0.16229,0.23808,0.11577,0.23377,0.21483,0.20078,0.12832
Q1_0.75,0.51372,0.12761,0.21837,0.30898,0.17031,0.14212,0.13517,0.14584,0.24031,0.10729,0.17345,0.15202,0.17619,0.13148
Q2_0.75,0.4786,0.23584,0.10191,0.17703,0.08813,0.08976,0.08439,0.08271,0.14309,0.07469,0.09991,0.07438,0.07928,0.09081
Q3_0.75,0.46113,0.35969,0.09426,0.15836,0.08258,0.06715,0.0838,0.06264,0.13732,0.07245,0.08374,0.0669,0.05687,0.08738
Q4_0.75,0.46872,0.47809,0.23799,0.32418,0.19028,0.16068,0.16148,0.20122,0.2578,0.13158,0.228,0.20725,0.19685,0.15678
Q1_Q2_1.0,0.49563,0.18973,0.25688,0.27009,0.26498,0.26118,0.22448,0.26357,0.2759,0.23281,0.25988,0.25532,0.25968,0.11197
Q1_Q3_1.0,0.48742,0.26947,0.16998,0.21432,0.16431,0.14212,0.14789,0.145,0.19702,0.14477,0.17741,0.15785,0.16343,0.13663
Q1_Q4_1.0,0.49145,0.34908,0.19117,0.19808,0.18641,0.17718,0.18474,0.18187,0.21602,0.18066,0.2416,0.18502,0.18566,0.19971
Q2_Q3_1.0,0.46858,0.30405,0.08955,0.16221,0.11833,0.10689,0.18006,0.12025,0.13415,0.14611,0.1569,0.10136,0.11993,0.11898
Q2_Q4_1.0,0.47374,0.37643,0.18121,0.19463,0.17571,0.16614,0.16229,3.98279,0.20701,0.16269,0.17104,0.17657,0.17172,0.1538
Q3_Q4_1.0,0.46558,0.42324,0.26031,0.25786,0.26475,0.28571,0.25966,4374.8945,0.27888,0.26191,0.28622,0.26032,0.25948,0.12898
Q1_1.0,0.51206,0.12768,0.23638,0.31357,0.19571,0.16095,0.15123,0.1604,0.25688,0.13509,0.21224,0.21723,0.22615,0.13049
Q2_1.0,0.47854,0.23602,0.109,0.18542,0.0932,0.09583,0.09496,0.08745,0.14799,0.09382,0.09626,0.08204,0.08197,0.09243
Q3_1.0,0.45893,0.36,0.10072,0.16623,0.08661,0.07672,0.0959,0.06593,0.14235,0.09267,0.10621,0.08651,0.06655,0.08829
Q4_1.0,0.47024,0.47819,0.25586,0.33267,0.21692,0.18341,0.18431,inf,0.27451,0.1747,0.19935,0.24982,0.23913,0.15615
