,one,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.78283 ± 0.002,0.71630 ± 0.002,0.75885 ± 0.002,0.76261 ± 0.002,0.72219 ± 0.001,0.72283 ± 0.001,0.70802 ± 0.001,0.75734 ± 0.001,0.68631 ± 0.001,0.72932 ± 0.013,0.86110 ± 0.064,0.85178 ± 0.031,1.13906 ± 0.004,0.79189 ± 0.003
Q1_Q3_0.25,0.78949 ± 0.003,0.73883 ± 0.002,0.75387 ± 0.001,0.77099 ± 0.002,0.72243 ± 0.001,0.72319 ± 0.001,0.72554 ± 0.004,0.75374 ± 0.002,0.69624 ± 0.002,0.75161 ± 0.014,0.88104 ± 0.044,0.89204 ± 0.065,1.14182 ± 0.004,0.78992 ± 0.005
Q1_Q4_0.25,0.83602 ± 0.002,0.82661 ± 0.002,0.85009 ± 0.002,0.83213 ± 0.003,0.75484 ± 0.001,0.76404 ± 0.001,0.75937 ± 0.000,0.82363 ± 0.003,0.71416 ± 0.002,0.85043 ± 0.018,0.97152 ± 0.058,0.89690 ± 0.033,1.14588 ± 0.003,0.87494 ± 0.002
Q2_Q3_0.25,0.76916 ± 0.003,0.74239 ± 0.003,0.71738 ± 0.002,0.73125 ± 0.003,0.71242 ± 0.002,0.71122 ± 0.002,0.71659 ± 0.002,0.73264 ± 0.002,0.68910 ± 0.001,0.71690 ± 0.005,0.83242 ± 0.027,0.80567 ± 0.031,1.14424 ± 0.003,0.75643 ± 0.003
Q2_Q4_0.25,0.80607 ± 0.002,0.82544 ± 0.003,0.82181 ± 0.003,0.80703 ± 0.003,0.74128 ± 0.004,0.74913 ± 0.004,0.75556 ± 0.003,0.80609 ± 0.002,0.70403 ± 0.003,0.81051 ± 0.014,0.91034 ± 0.047,0.90299 ± 0.014,1.14309 ± 0.003,0.84941 ± 0.002
Q3_Q4_0.25,0.77746 ± 0.001,0.82159 ± 0.002,0.80408 ± 0.003,0.79778 ± 0.002,0.74383 ± 0.003,0.75222 ± 0.002,0.76875 ± 0.002,0.80794 ± 0.004,0.71497 ± 0.002,0.80400 ± 0.039,0.88962 ± 0.039,0.92245 ± 0.040,1.14163 ± 0.002,0.83308 ± 0.003
Q1_0.25,0.73242 ± 0.002,0.68989 ± 0.002,0.74233 ± 0.003,0.72613 ± 0.003,0.70503 ± 0.001,0.70699 ± 0.002,0.69687 ± 0.002,0.73010 ± 0.003,0.68332 ± 0.002,0.71223 ± 0.010,0.81343 ± 0.021,0.83817 ± 0.028,1.14233 ± 0.003,0.75888 ± 0.003
Q2_0.25,0.74051 ± 0.003,0.70712 ± 0.002,0.70922 ± 0.002,0.70797 ± 0.003,0.69244 ± 0.002,0.69209 ± 0.002,0.68627 ± 0.003,0.70562 ± 0.001,0.67605 ± 0.002,0.68868 ± 0.005,0.82460 ± 0.035,0.79927 ± 0.030,1.14467 ± 0.003,0.73708 ± 0.003
Q3_0.25,0.72856 ± 0.003,0.73109 ± 0.001,0.69232 ± 0.002,0.70962 ± 0.000,0.69316 ± 0.002,0.69245 ± 0.002,0.71110 ± 0.003,0.70483 ± 0.003,0.68426 ± 0.001,0.70267 ± 0.017,0.81667 ± 0.025,0.81498 ± 0.015,1.14454 ± 0.003,0.71771 ± 0.002
Q4_0.25,0.71995 ± 0.001,0.79864 ± 0.001,0.79021 ± 0.001,0.75550 ± 0.004,0.71736 ± 0.002,0.72523 ± 0.002,0.72723 ± 0.002,0.77685 ± 0.002,0.69630 ± 0.003,0.74992 ± 0.034,0.84250 ± 0.030,0.88197 ± 0.041,1.14330 ± 0.003,0.80648 ± 0.004
Q1_Q2_0.5,0.82961 ± 0.002,0.73253 ± 0.001,0.81932 ± 0.002,0.88105 ± 0.001,0.77620 ± 0.003,0.78055 ± 0.001,0.74077 ± 0.001,0.84548 ± 0.003,0.72363 ± 0.004,0.83760 ± 0.070,0.97181 ± 0.020,0.92675 ± 0.062,1.12380 ± 0.005,0.87421 ± 0.004
Q1_Q3_0.5,0.83409 ± 0.000,0.76195 ± 0.002,0.79004 ± 0.002,0.86242 ± 0.004,0.77606 ± 0.002,0.77566 ± 0.001,0.77436 ± 0.003,0.82893 ± 0.002,0.74201 ± 0.002,0.79532 ± 0.034,0.94859 ± 0.042,0.88897 ± 0.023,1.12733 ± 0.003,0.84683 ± 0.002
