,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.49573 ± 0.001,0.18965 ± 0.000,0.15550 ± 0.000,0.22826 ± 0.004,0.10014 ± 0.001,0.09923 ± 0.000,0.09713 ± 0.001,0.12073 ± 0.001,0.07700 ± 0.001,0.09159 ± 0.016,0.11359 ± 0.008,0.11752 ± 0.006,0.11168 ± 0.001,0.18499 ± 0.001
Q1_Q3_0.25,0.48689 ± 0.001,0.27037 ± 0.001,0.14218 ± 0.000,0.16643 ± 0.006,0.09724 ± 0.001,0.09790 ± 0.001,0.10248 ± 0.001,0.11796 ± 0.001,0.07980 ± 0.001,0.12254 ± 0.015,0.10817 ± 0.002,0.10663 ± 0.003,0.11747 ± 0.001,0.17421 ± 0.001
Q1_Q4_0.25,0.49009 ± 0.001,0.35057 ± 0.001,0.18949 ± 0.001,0.20046 ± 0.003,0.13234 ± 0.001,0.13605 ± 0.001,0.13582 ± 0.001,0.15768 ± 0.000,0.10750 ± 0.002,0.18519 ± 0.027,0.14993 ± 0.001,0.14941 ± 0.001,0.16216 ± 0.001,0.21396 ± 0.001
Q2_Q3_0.25,0.47029 ± 0.002,0.30430 ± 0.001,0.08476 ± 0.000,0.11604 ± 0.001,0.06862 ± 0.001,0.06636 ± 0.002,0.07276 ± 0.000,0.08394 ± 0.002,0.07096 ± 0.002,0.10675 ± 0.023,0.06685 ± 0.006,0.06546 ± 0.003,0.09393 ± 0.001,0.13174 ± 0.001
Q2_Q4_0.25,0.47515 ± 0.002,0.37712 ± 0.001,0.15702 ± 0.001,0.17769 ± 0.005,0.19629 ± 0.108,0.20129 ± 0.112,0.11273 ± 0.002,0.13139 ± 0.000,0.08587 ± 0.000,0.16771 ± 0.041,0.12067 ± 0.002,0.12429 ± 0.003,0.13546 ± 0.001,0.18650 ± 0.001
Q3_Q4_0.25,0.46485 ± 0.003,0.42275 ± 0.001,0.16552 ± 0.001,0.20860 ± 0.002,0.10455 ± 0.004,0.10912 ± 0.003,0.11104 ± 0.002,0.12912 ± 0.001,0.08163 ± 0.002,0.16323 ± 0.054,0.11938 ± 0.003,0.12658 ± 0.007,0.12739 ± 0.002,0.19336 ± 0.001
Q1_0.25,0.51274 ± 0.002,0.12767 ± 0.001,0.19002 ± 0.001,0.22469 ± 0.005,0.11932 ± 0.001,0.12141 ± 0.001,0.11913 ± 0.001,0.14477 ± 0.002,0.08560 ± 0.001,0.08403 ± 0.015,0.13131 ± 0.008,0.13094 ± 0.004,0.13345 ± 0.002,0.21482 ± 0.001
Q2_0.25,0.47711 ± 0.002,0.23665 ± 0.001,0.09039 ± 0.001,0.11798 ± 0.002,0.06828 ± 0.000,0.06317 ± 0.001,0.07091 ± 0.001,0.08164 ± 0.001,0.06099 ± 0.001,0.04907 ± 0.002,0.07172 ± 0.001,0.06580 ± 0.003,0.08891 ± 0.001,0.13478 ± 0.000
Q3_0.25,0.46209 ± 0.003,0.36052 ± 0.001,0.08561 ± 0.001,0.12100 ± 0.002,0.05866 ± 0.001,0.05976 ± 0.003,0.06734 ± 0.001,0.07548 ± 0.000,0.05778 ± 0.001,0.14022 ± 0.050,0.04975 ± 0.004,0.05673 ± 0.007,0.08570 ± 0.001,0.13169 ± 0.001
Q4_0.25,0.46927 ± 0.003,0.47791 ± 0.002,0.20904 ± 0.002,0.22426 ± 0.003,0.13408 ± 0.003,0.14218 ± 0.002,0.13375 ± 0.001,0.16158 ± 0.002,0.09638 ± 0.001,0.18044 ± 0.042,0.15062 ± 0.006,0.15361 ± 0.010,0.15674 ± 0.002,0.23185 ± 0.001
Q1_Q2_0.5,0.49586 ± 0.001,0.18988 ± 0.000,0.17756 ± 0.001,0.24912 ± 0.003,0.11764 ± 0.001,0.11438 ± 0.001,0.10473 ± 0.002,0.13763 ± 0.001,0.09050 ± 0.002,0.13302 ± 0.024,0.15193 ± 0.009,0.12250 ± 0.009,0.11242 ± 0.002,0.20378 ± 0.001
Q1_Q3_0.5,0.48676 ± 0.002,0.26982 ± 0.001,0.14765 ± 0.000,0.19808 ± 0.003,0.11083 ± 0.001,0.10671 ± 0.000,0.11612 ± 0.001,0.12849 ± 0.001,0.09760 ± 0.001,0.12889 ± 0.024,0.12105 ± 0.004,0.11608 ± 0.003,0.12581 ± 0.001,0.17831 ± 0.000
Q1_Q4_0.5,0.49128 ± 0.001,0.34977 ± 0.001,0.18940 ± 0.000,0.21850 ± 0.002,0.15200 ± 0.003,0.15415 ± 0.003,0.15468 ± 0.002,0.17035 ± 0.001,0.13224 ± 0.001,0.18350 ± 0.010,0.16356 ± 0.002,0.16369 ± 0.002,0.17596 ± 0.001,0.21468 ± 0.000
Q2_Q3_0.5,0.46859 ± 0.001,0.30373 ± 0.000,0.08555 ± 0.000,0.14191 ± 0.002,0.08365 ± 0.005,0.07250 ± 0.001,0.08458 ± 0.000,0.09302 ± 0.001,0.09329 ± 0.003,0.10250 ± 0.024,0.06962 ± 0.001,0.07186 ± 0.004,0.10436 ± 0.001,0.13177 ± 0.000
