,banknote,concrete_compression,wine_quality_white,wine_quality_red,california,climate_model_crashes,connectionist_bench_sonar,qsar_biodegradation,yeast,yacht_hydrodynamics
Q1_Q2_0.25,0.12545587162654992,0.0888349514563107,0.11511191952188282,0.11404855307294337,0.1236131298449612,0.12592592592592589,0.12467948717948718,0.1425962316495203,0.14799528301886788,0.0892857142857143
Q1_Q3_0.25,0.12527352297592997,0.08325242718446602,0.1156130517094176,0.11257035647279545,0.12272892441860461,0.12592592592592589,0.12483974358974359,0.12160443879320315,0.13653975741239888,0.10497835497835495
Q1_Q4_0.25,0.12545587162654992,0.09502427184466022,0.12056869223059508,0.11797145943487408,0.12376453488372097,0.12592592592592589,0.125,0.06722922205525372,0.08456873315363878,0.09956709956709953
Q2_Q3_0.25,0.12527352297592997,0.1024271844660194,0.11030476261182676,0.11234294161123426,0.12312257751937983,0.12592592592592589,0.12451923076923077,0.19782684082765,0.18985849056603776,0.08712121212121215
Q2_Q4_0.25,0.12545587162654992,0.1141990291262136,0.11526040313300423,0.11774404457331289,0.12415818798449607,0.12592592592592589,0.12467948717948718,0.16183100219627788,0.15439690026954178,0.08170995670995673
Q3_Q4_0.25,0.12527352297592997,0.10861650485436891,0.11576153532053901,0.11626584797316508,0.12327398255813948,0.12592592592592589,0.12483974358974359,0.14083920933996075,0.14294137466307277,0.09740259740259738
Q1_0.25,0.06272793581327496,0.03483009708737861,0.060210104309736834,0.057137983967252226,0.06160973837209305,0.062962962962963,0.0625,0.02399722575424801,0.03908355795148244,0.0535714285714286
Q2_0.25,0.06272793581327496,0.05400485436893199,0.05490181521214599,0.05691056910569103,0.06200339147286826,0.062962962962963,0.06217948717948718,0.11859900589527217,0.10891172506738545,0.0357142857142857
Q3_0.25,0.06254558716265501,0.04842233009708741,0.05540294739968077,0.055432372505543226,0.061119186046511675,0.062962962962963,0.06233974358974359,0.09760721303895503,0.09745619946091644,0.051406926406926456
Q4_0.25,0.06272793581327496,0.060194174757281504,0.06035858792085824,0.060833475467621856,0.06215479651162792,0.062962962962963,0.0625,0.043231996301005715,0.045485175202156336,0.045995670995671034
Q1_Q2_0.5,0.25018234865061995,0.17657766990291257,0.23005679498125398,0.22764227642276424,0.2471899224806201,0.2518518518518519,0.24903846153846154,0.2846144954340538,0.2952324797843666,0.17586580086580084
Q1_Q3_0.5,0.25,0.16565533980582525,0.23102193845354324,0.22445846836090744,0.24542151162790693,0.2518518518518519,0.2494391025641025,0.24272338457981735,0.2722371967654986,0.20616883116883122
