,syn1
Q1_Q2_0.25,0.111375
Q1_Q3_0.25,0.10199999999999998
Q1_Q4_0.25,0.10775000000000001
Q2_Q3_0.25,0.10362499999999997
Q2_Q4_0.25,0.109375
Q3_Q4_0.25,0.09999999999999998
Q1_0.25,0.05487500000000001
Q2_0.25,0.056499999999999995
Q3_0.25,0.04712499999999997
Q4_0.25,0.052875000000000005
Q1_Q2_0.5,0.22112500000000002
Q1_Q3_0.5,0.20262500000000006
Q1_Q4_0.5,0.21387500000000004
Q2_Q3_0.5,0.20575
Q2_Q4_0.5,0.21699999999999997
Q3_Q4_0.5,0.1985
Q1_0.5,0.10899999999999999
Q2_0.5,0.11212500000000003
Q3_0.5,0.09362499999999996
Q4_0.5,0.10487500000000005
Q1_Q2_0.75,0.332375
Q1_Q3_0.75,0.3045
Q1_Q4_0.75,0.32125000000000004
Q2_Q3_0.75,0.309125
Q2_Q4_0.75,0.325875
Q3_Q4_0.75,0.29800000000000004
Q1_0.75,0.163875
Q2_0.75,0.16849999999999998
Q3_0.75,0.140625
Q4_0.75,0.15737500000000004
Q1_Q2_1.0,0.442125
Q1_Q3_1.0,0.40512499999999996
Q1_Q4_1.0,0.42737499999999995
Q2_Q3_1.0,0.41125
Q2_Q4_1.0,0.4335
Q3_Q4_1.0,0.39649999999999996
Q1_1.0,0.21799999999999997
Q2_1.0,0.22412500000000002
Q3_1.0,0.18712499999999999
Q4_1.0,0.20937499999999998
