,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
0.1,10.98376 ± 0.646,10.44579 ± 0.778,12.45121 ± 0.400,11.62805 ± 0.545,10.65584 ± 0.719,11.46843 ± 0.485,11.98857 ± 0.359,13.11117 ± 0.374,11.89705 ± 0.648,13.56931 ± 0.886,13.99277 ± 1.063,13.46449 ± 2.263,16.68691 ± 0.586,11.59702 ± 0.628
0.2,10.78210 ± 0.661,10.44579 ± 0.778,11.38595 ± 0.505,10.81182 ± 0.569,10.69753 ± 0.663,10.72970 ± 0.649,10.85017 ± 0.610,11.68545 ± 0.482,10.82463 ± 0.745,11.70445 ± 0.352,12.53995 ± 1.777,13.02878 ± 1.707,16.69737 ± 0.579,11.06732 ± 0.578
0.3,14.25538 ± 0.610,10.44885 ± 0.776,12.16067 ± 0.313,12.07726 ± 0.409,11.62085 ± 0.717,11.25793 ± 0.559,12.19313 ± 0.378,12.47053 ± 0.320,11.82421 ± 0.501,12.26891 ± 0.297,15.22366 ± 1.611,12.78709 ± 1.842,16.70091 ± 0.574,11.81262 ± 0.409
0.4,14.30105 ± 0.441,10.59724 ± 0.776,14.90135 ± 0.610,12.66241 ± 0.431,12.45318 ± 0.524,14.75867 ± 1.147,13.71058 ± 0.695,15.01503 ± 0.522,13.15435 ± 0.460,13.23535 ± 1.032,15.73457 ± 2.423,14.93256 ± 2.410,16.70163 ± 0.574,13.92005 ± 0.822
0.5,12.00957 ± 0.644,10.45469 ± 0.770,11.25666 ± 0.482,11.06560 ± 0.602,10.77439 ± 0.727,10.74163 ± 0.667,11.10142 ± 0.536,11.87255 ± 0.584,11.08146 ± 0.739,11.91819 ± 0.618,13.64618 ± 1.551,14.34112 ± 1.417,16.69677 ± 0.578,11.13388 ± 0.556
0.6,11.80308 ± 0.410,11.22620 ± 0.682,14.71451 ± 0.450,12.20104 ± 0.792,14.54010 ± 0.445,12.93518 ± 0.337,13.22853 ± 0.453,16.29934 ± 0.608,14.62705 ± 1.008,14.48367 ± 1.519,16.72360 ± 1.802,15.99544 ± 1.145,16.70045 ± 0.578,12.40204 ± 0.173
0.7,11.44040 ± 0.712,11.27474 ± 0.613,17.40099 ± 1.248,11.27235 ± 0.694,12.24537 ± 0.561,12.71201 ± 0.623,11.50308 ± 0.736,18.75746 ± 1.537,12.32084 ± 1.155,15.33959 ± 3.634,32.74484 ± 7.883,28.78661 ± 8.759,16.70087 ± 0.575,13.23288 ± 1.002
0.8,11.37943 ± 0.479,10.80828 ± 0.624,21.44061 ± 1.102,12.51915 ± 0.895,12.96357 ± 0.259,12.53823 ± 0.694,16.79731 ± 3.339,24.04132 ± 1.076,15.02924 ± 3.558,16.18028 ± 4.761,20.24331 ± 3.023,21.63597 ± 3.586,16.70097 ± 0.575,14.61830 ± 0.867
