,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
0.1,12.01691 ± 0.579,10.59739 ± 0.450,13.16689 ± 0.560,13.03795 ± 0.575,11.00418 ± 0.500,11.88670 ± 0.553,12.95764 ± 0.591,13.39823 ± 0.570,12.99748 ± 0.558,14.17904 ± 0.780,14.49103 ± 0.771,14.27849 ± 0.576,16.92059 ± 0.622,13.02582 ± 0.651
0.2,11.33025 ± 0.499,10.59739 ± 0.450,11.12224 ± 0.498,10.86230 ± 0.489,10.78626 ± 0.496,10.78023 ± 0.493,10.84944 ± 0.488,11.03165 ± 0.472,10.90493 ± 0.575,12.72057 ± 0.472,11.84523 ± 0.328,11.58186 ± 0.601,16.90505 ± 0.624,11.09851 ± 0.477
0.3,14.06673 ± 0.468,10.60244 ± 0.452,14.47998 ± 0.626,14.24339 ± 0.512,12.84582 ± 0.499,13.42526 ± 0.773,14.27244 ± 0.570,14.72179 ± 0.630,14.23811 ± 0.602,13.71572 ± 0.512,15.38023 ± 0.678,14.96186 ± 0.673,17.10909 ± 0.655,14.27483 ± 0.576
0.4,14.97323 ± 0.532,10.89120 ± 0.454,16.80947 ± 0.896,15.17457 ± 0.609,14.20386 ± 0.192,14.81411 ± 0.568,16.05696 ± 0.609,16.48565 ± 0.783,16.02870 ± 0.567,14.26994 ± 0.992,16.16112 ± 0.828,15.95118 ± 0.861,17.42650 ± 0.671,16.10780 ± 0.803
0.5,12.69477 ± 0.562,10.76919 ± 0.489,13.18997 ± 0.687,12.60017 ± 0.605,11.11802 ± 0.612,11.94975 ± 0.619,12.90418 ± 0.643,13.28477 ± 0.735,12.99236 ± 0.929,13.59096 ± 0.443,15.01440 ± 0.694,15.57308 ± 1.281,16.80866 ± 0.643,12.91683 ± 0.661
0.6,13.30171 ± 0.481,11.20861 ± 0.512,14.77988 ± 0.674,14.09265 ± 0.561,13.50629 ± 0.548,13.37558 ± 0.520,14.22102 ± 0.594,14.93658 ± 0.634,14.45218 ± 0.604,14.92308 ± 0.586,15.30425 ± 0.613,15.31741 ± 0.741,17.15900 ± 0.613,14.51102 ± 0.614
0.7,13.85489 ± 0.518,11.72662 ± 0.485,15.53399 ± 0.614,15.01948 ± 0.607,14.94538 ± 0.597,14.72593 ± 0.660,15.46635 ± 0.621,15.65984 ± 0.598,15.37812 ± 0.615,15.84485 ± 0.619,16.34735 ± 0.597,16.64588 ± 0.973,17.06374 ± 0.613,15.28755 ± 0.625
0.8,13.40521 ± 0.657,11.52432 ± 0.542,15.55940 ± 0.718,14.95008 ± 0.760,14.65254 ± 0.649,14.58945 ± 0.607,15.13993 ± 0.736,15.35808 ± 0.680,15.29768 ± 0.754,15.62799 ± 0.547,16.50525 ± 0.651,16.17580 ± 0.999,16.81043 ± 0.613,15.16330 ± 0.764
