,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
0.1,11.59936 ± 0.506,11.38707 ± 0.471,10.94826 ± 0.447,10.84705 ± 0.442,10.79540 ± 0.425,10.83113 ± 0.445,10.85163 ± 0.482,10.96885 ± 0.447,10.75877 ± 0.430,12.60245 ± 0.394,12.04815 ± 0.346,12.10602 ± 0.268,16.80939 ± 0.575,11.07460 ± 0.442
0.2,12.36495 ± 0.498,12.34379 ± 0.532,11.31554 ± 0.392,11.25000 ± 0.468,11.11621 ± 0.465,11.18412 ± 0.477,11.04635 ± 0.448,11.37259 ± 0.438,10.96197 ± 0.469,12.87555 ± 0.446,12.50679 ± 0.461,12.65288 ± 0.538,16.67066 ± 0.593,11.48970 ± 0.444
0.3,13.18264 ± 0.497,12.88058 ± 0.452,11.71791 ± 0.436,11.66746 ± 0.475,11.68825 ± 0.477,11.71331 ± 0.465,11.67916 ± 0.494,11.88937 ± 0.439,11.56565 ± 0.463,12.89008 ± 0.404,12.94133 ± 0.384,13.09738 ± 0.434,16.72889 ± 0.573,11.87989 ± 0.461
0.4,13.67180 ± 0.476,13.65247 ± 0.576,12.00451 ± 0.391,12.06878 ± 0.524,11.84983 ± 0.508,12.23106 ± 0.537,12.06110 ± 0.424,12.16910 ± 0.379,11.86201 ± 0.470,13.25530 ± 0.365,13.70382 ± 0.659,13.68789 ± 0.589,16.80176 ± 0.616,12.39808 ± 0.440
0.5,14.67860 ± 0.653,14.29300 ± 0.539,12.86053 ± 0.476,12.68997 ± 0.638,12.49714 ± 0.506,12.46724 ± 0.603,12.81372 ± 0.580,13.11519 ± 0.517,12.30176 ± 0.550,13.83368 ± 0.561,14.21602 ± 0.782,14.24926 ± 0.427,16.71207 ± 0.652,13.12426 ± 0.489
0.6,14.87535 ± 0.554,15.26536 ± 0.474,13.47494 ± 0.442,13.20995 ± 0.487,13.33168 ± 0.410,14.01026 ± 0.670,13.72978 ± 0.401,13.86750 ± 0.394,13.45884 ± 0.509,14.38520 ± 0.538,14.85127 ± 0.630,14.82785 ± 0.514,16.70769 ± 0.575,13.89108 ± 0.574
0.7,15.49458 ± 0.775,16.33105 ± 0.584,13.76680 ± 0.526,13.88807 ± 0.554,13.62238 ± 0.573,13.89656 ± 0.693,14.21754 ± 0.866,14.18668 ± 0.560,14.00849 ± 0.647,15.44505 ± 0.597,15.71466 ± 0.557,14.70293 ± 0.718,16.84016 ± 0.616,14.29587 ± 0.593
0.8,16.22337 ± 0.551,16.50554 ± 0.542,14.93673 ± 0.502,14.81595 ± 0.439,14.83413 ± 0.519,15.16370 ± 0.593,15.32968 ± 0.628,15.16113 ± 0.501,15.30331 ± 0.490,15.95237 ± 0.464,15.42518 ± 0.669,15.55309 ± 0.649,16.70600 ± 0.569,15.25667 ± 0.619
0.9,16.91143 ± 0.501,16.71739 ± 0.556,15.66780 ± 0.641,15.22238 ± 0.548,15.92357 ± 0.704,15.79021 ± 0.483,16.04342 ± 0.456,15.98196 ± 0.601,16.00499 ± 0.711,16.30684 ± 0.429,16.96607 ± 0.645,15.85596 ± 0.762,16.76311 ± 0.591,15.94741 ± 0.475
