,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
0.1,0.62776 ± 0.149,0.83632 ± 0.041,0.41016 ± 0.015,0.58067 ± 0.076,0.64477 ± 0.096,0.56304 ± 0.078,0.60467 ± 0.107,0.77611 ± 0.022,0.54545 ± 0.060,0.63423 ± 0.102,0.39842 ± 0.008,0.53130 ± 0.115,0.39842 ± 0.008,0.46476 ± 0.054
0.2,0.65157 ± 0.069,0.83632 ± 0.041,0.41933 ± 0.019,0.48242 ± 0.064,0.62300 ± 0.108,0.68526 ± 0.054,0.52232 ± 0.095,0.77004 ± 0.040,0.57794 ± 0.042,0.69516 ± 0.096,0.39842 ± 0.008,0.66334 ± 0.148,0.39842 ± 0.008,0.59940 ± 0.101
0.3,0.61363 ± 0.127,0.83632 ± 0.041,0.55360 ± 0.059,0.82394 ± 0.040,0.39842 ± 0.008,0.81186 ± 0.028,0.77898 ± 0.060,0.83183 ± 0.029,0.77706 ± 0.054,0.62145 ± 0.142,0.39842 ± 0.008,0.54382 ± 0.084,0.39842 ± 0.008,0.68627 ± 0.159
0.4,0.72972 ± 0.030,0.83632 ± 0.041,0.52376 ± 0.044,0.61936 ± 0.100,0.61923 ± 0.160,0.53441 ± 0.095,0.58307 ± 0.083,0.82293 ± 0.022,0.59162 ± 0.072,0.45992 ± 0.089,0.39842 ± 0.008,0.57137 ± 0.101,0.39842 ± 0.008,0.62446 ± 0.120
0.5,0.61753 ± 0.106,0.83611 ± 0.044,0.40472 ± 0.014,0.39842 ± 0.008,0.43558 ± 0.033,0.39842 ± 0.008,0.44924 ± 0.071,0.79026 ± 0.043,0.40436 ± 0.010,0.44425 ± 0.058,0.39842 ± 0.008,0.44582 ± 0.055,0.39842 ± 0.008,0.51370 ± 0.109
0.6,0.46110 ± 0.117,0.82650 ± 0.043,0.40735 ± 0.023,0.48815 ± 0.051,0.65510 ± 0.156,0.55954 ± 0.141,0.62318 ± 0.115,0.79857 ± 0.025,0.69130 ± 0.063,0.48605 ± 0.084,0.39842 ± 0.008,0.48189 ± 0.115,0.25213 ± 0.011,0.59238 ± 0.161
0.7,0.45218 ± 0.041,0.83464 ± 0.026,0.39842 ± 0.008,0.39842 ± 0.008,0.41044 ± 0.021,0.40381 ± 0.005,0.39842 ± 0.008,0.78270 ± 0.020,0.39842 ± 0.008,0.40574 ± 0.010,0.39842 ± 0.008,0.39842 ± 0.008,0.39842 ± 0.008,0.40164 ± 0.012
0.8,0.46678 ± 0.079,0.79102 ± 0.045,0.39842 ± 0.008,0.58121 ± 0.091,0.39842 ± 0.008,0.41803 ± 0.016,0.41992 ± 0.022,0.75903 ± 0.063,0.44067 ± 0.036,0.70992 ± 0.055,0.39842 ± 0.008,0.52878 ± 0.118,0.25213 ± 0.011,0.47773 ± 0.110
