,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.25536 ± 0.033,0.31704 ± 0.050,0.38110 ± 0.012,0.38622 ± 0.011,0.38005 ± 0.011,0.37949 ± 0.012,0.38043 ± 0.012,0.38296 ± 0.016,0.38004 ± 0.011,0.32064 ± 0.078,0.20814 ± 0.041,0.24355 ± 0.040,0.01872 ± 0.031,0.38268 ± 0.008
Q1_Q3_0.25,0.22305 ± 0.023,0.35600 ± 0.025,0.36822 ± 0.031,0.36513 ± 0.024,0.38420 ± 0.020,0.38358 ± 0.021,0.37778 ± 0.017,0.36654 ± 0.033,0.38434 ± 0.021,0.32895 ± 0.071,0.22110 ± 0.044,0.24372 ± 0.020,0.01891 ± 0.020,0.37682 ± 0.024
Q1_Q4_0.25,0.23791 ± 0.034,0.24920 ± 0.046,0.37755 ± 0.022,0.37841 ± 0.018,0.38046 ± 0.015,0.37180 ± 0.022,0.35452 ± 0.031,0.37558 ± 0.021,0.37873 ± 0.013,0.31074 ± 0.100,0.19692 ± 0.037,0.20293 ± 0.041,0.01976 ± 0.023,0.35673 ± 0.031
Q2_Q3_0.25,0.33679 ± 0.015,0.30516 ± 0.059,0.38679 ± 0.018,0.38001 ± 0.011,0.38157 ± 0.014,0.38603 ± 0.019,0.38804 ± 0.018,0.38698 ± 0.017,0.38242 ± 0.014,0.32772 ± 0.074,0.24188 ± 0.033,0.21572 ± 0.043,0.02410 ± 0.026,0.38149 ± 0.012
Q2_Q4_0.25,0.33030 ± 0.045,0.23536 ± 0.044,0.36308 ± 0.031,0.36136 ± 0.036,0.38579 ± 0.011,0.38853 ± 0.010,0.38470 ± 0.010,0.38613 ± 0.016,0.38769 ± 0.013,0.29604 ± 0.078,0.17830 ± 0.019,0.18827 ± 0.035,0.03556 ± 0.033,0.35084 ± 0.038
Q3_Q4_0.25,0.32932 ± 0.038,0.20740 ± 0.009,0.33634 ± 0.027,0.32872 ± 0.029,0.35092 ± 0.039,0.35376 ± 0.035,0.35339 ± 0.031,0.35039 ± 0.039,0.35039 ± 0.039,0.26706 ± 0.078,0.21093 ± 0.040,0.19249 ± 0.036,0.01885 ± 0.019,0.34831 ± 0.050
Q1_0.25,0.29260 ± 0.043,0.37489 ± 0.023,0.39022 ± 0.020,0.39015 ± 0.014,0.39262 ± 0.017,0.39280 ± 0.016,0.39068 ± 0.012,0.38785 ± 0.022,0.38197 ± 0.011,0.33807 ± 0.059,0.25047 ± 0.023,0.24249 ± 0.044,0.02646 ± 0.029,0.38088 ± 0.012
Q2_0.25,0.35817 ± 0.025,0.31037 ± 0.033,0.38855 ± 0.015,0.38810 ± 0.016,0.39012 ± 0.014,0.38881 ± 0.017,0.39346 ± 0.012,0.39235 ± 0.014,0.39019 ± 0.014,0.32950 ± 0.071,0.22758 ± 0.046,0.25271 ± 0.066,0.02620 ± 0.023,0.38637 ± 0.019
Q3_0.25,0.36427 ± 0.030,0.35616 ± 0.035,0.39052 ± 0.013,0.38683 ± 0.016,0.38337 ± 0.013,0.38231 ± 0.014,0.38189 ± 0.015,0.38713 ± 0.016,0.38184 ± 0.015,0.33552 ± 0.058,0.24756 ± 0.015,0.21705 ± 0.037,0.02127 ± 0.024,0.38886 ± 0.016
Q4_0.25,0.33747 ± 0.031,0.23379 ± 0.036,0.33009 ± 0.032,0.35133 ± 0.030,0.34833 ± 0.032,0.34753 ± 0.032,0.35384 ± 0.031,0.33270 ± 0.033,0.34601 ± 0.031,0.32085 ± 0.087,0.18205 ± 0.026,0.21144 ± 0.037,0.02877 ± 0.028,0.33131 ± 0.031
