,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.25536,0.31704,0.38110,0.38622,0.38005,0.37949,0.38043,0.38296,0.38004,0.32064,0.20814,0.24355,0.01872,0.38268
Q1_Q3_0.25,0.22305,0.35600,0.36822,0.36513,0.38420,0.38358,0.37778,0.36654,0.38434,0.32895,0.22110,0.24372,0.01891,0.37682
Q1_Q4_0.25,0.23791,0.24920,0.37755,0.37841,0.38046,0.37180,0.35452,0.37558,0.37873,0.31074,0.19692,0.20293,0.01976,0.35673
Q2_Q3_0.25,0.33679,0.30516,0.38679,0.38001,0.38157,0.38603,0.38804,0.38698,0.38242,0.32772,0.24188,0.21572,0.02410,0.38149
Q2_Q4_0.25,0.33030,0.23536,0.36308,0.36136,0.38579,0.38853,0.38470,0.38613,0.38769,0.29604,0.17830,0.18827,0.03556,0.35084
Q3_Q4_0.25,0.32932,0.20740,0.33634,0.32872,0.35092,0.35376,0.35339,0.35039,0.35039,0.26706,0.21093,0.19249,0.01885,0.34831
Q1_0.25,0.29260,0.37489,0.39022,0.39015,0.39262,0.39280,0.39068,0.38785,0.38197,0.33807,0.25047,0.24249,0.02646,0.38088
Q2_0.25,0.35817,0.31037,0.38855,0.38810,0.39012,0.38881,0.39346,0.39235,0.39019,0.32950,0.22758,0.25271,0.02620,0.38637
Q3_0.25,0.36427,0.35616,0.39052,0.38683,0.38337,0.38231,0.38189,0.38713,0.38184,0.33552,0.24756,0.21705,0.02127,0.38886
Q4_0.25,0.33747,0.23379,0.33009,0.35133,0.34833,0.34753,0.35384,0.33270,0.34601,0.32085,0.18205,0.21144,0.02877,0.33131
Q1_Q2_0.5,0.14046,0.29317,0.37275,0.35791,0.37697,0.34773,0.34594,0.36065,0.36887,0.34028,0.20390,0.21276,0.01304,0.34791
Q1_Q3_0.5,0.14730,0.32419,0.36742,0.35097,0.35242,0.34274,0.33924,0.35132,0.36452,0.33671,0.20795,0.22604,0.00410,0.34609
Q1_Q4_0.5,0.11797,0.13520,0.29051,0.28015,0.28777,0.28715,0.30065,0.29456,0.28962,0.21594,0.17054,0.17177,0.00755,0.25756
Q2_Q3_0.5,0.27636,0.28190,0.39228,0.37401,0.37357,0.36267,0.37466,0.40990,0.37953,0.33627,0.23253,0.21137,0.00523,0.40584
Q2_Q4_0.5,0.26332,0.15198,0.31671,0.29794,0.32644,0.32804,0.32399,0.31764,0.32567,0.21333,0.15451,0.15218,0.00303,0.31129
Q3_Q4_0.5,0.26640,0.09072,0.31970,0.31006,0.33706,0.33767,0.33636,0.32063,0.33725,0.21924,0.16356,0.15181,0.00241,0.29327
Q1_0.5,0.18543,0.31244,0.38739,0.37354,0.38371,0.38178,0.34193,0.35891,0.37437,0.32767,0.23189,0.22140,0.00178,0.35963
Q2_0.5,0.34068,0.29794,0.39189,0.38905,0.38502,0.38501,0.39023,0.41083,0.38546,0.32733,0.23377,0.23379,0.00492,0.38527
Q3_0.5,0.33694,0.33878,0.39261,0.37691,0.37907,0.37895,0.38092,0.38610,0.37942,0.32210,0.24528,0.21152,0.00436,0.38394
Q4_0.5,0.31014,0.11996,0.32417,0.31814,0.32868,0.33013,0.33098,0.32150,0.35035,0.27832,0.16330,0.15105,0.01256,0.30757
Q1_Q2_0.75,0.08067,0.29441,0.31375,0.26507,0.28551,0.22866,0.30409,0.29506,0.31459,0.28019,0.15790,0.18117,0.00998,0.28067
Q1_Q3_0.75,0.07155,0.30283,0.32765,0.27194,0.25655,0.21573,0.27609,0.29414,0.31634,0.28604,0.19389,0.19965,0.00293,0.28252
Q1_Q4_0.75,0.08311,0.10115,0.22385,0.22115,0.22923,0.24866,0.22529,0.22919,0.22078,0.20209,0.14394,0.12067,0.01064,0.18355
Q2_Q3_0.75,0.25069,0.27534,0.39108,0.36605,0.33357,0.33987,0.34671,0.38216,0.34112,0.32242,0.19199,0.21282,0.00331,0.38021
