,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.40828 ± 0.032,0.46637 ± 0.051,0.49709 ± 0.051,0.49218 ± 0.050,0.49938 ± 0.056,0.50426 ± 0.051,0.49963 ± 0.057,0.49545 ± 0.052,0.50485 ± 0.056,0.41923 ± 0.112,0.22250 ± 0.027,0.26803 ± 0.041,0.02669 ± 0.021,0.50281 ± 0.050
Q1_Q3_0.25,0.37811 ± 0.024,0.47479 ± 0.065,0.49618 ± 0.061,0.48374 ± 0.068,0.50214 ± 0.046,0.50440 ± 0.049,0.50146 ± 0.059,0.47904 ± 0.064,0.50238 ± 0.047,0.41807 ± 0.107,0.21763 ± 0.048,0.24519 ± 0.011,0.01534 ± 0.020,0.50275 ± 0.053
Q1_Q4_0.25,0.34813 ± 0.031,0.38659 ± 0.060,0.49039 ± 0.062,0.48582 ± 0.066,0.50738 ± 0.041,0.49763 ± 0.046,0.49259 ± 0.060,0.49478 ± 0.064,0.51378 ± 0.032,0.38125 ± 0.080,0.25630 ± 0.040,0.25040 ± 0.082,0.00695 ± 0.003,0.49561 ± 0.056
Q2_Q3_0.25,0.48378 ± 0.060,0.44964 ± 0.064,0.50949 ± 0.061,0.50500 ± 0.054,0.50073 ± 0.057,0.50026 ± 0.057,0.50364 ± 0.054,0.51325 ± 0.055,0.49896 ± 0.057,0.41345 ± 0.102,0.28564 ± 0.073,0.27554 ± 0.045,0.01346 ± 0.011,0.50669 ± 0.061
Q2_Q4_0.25,0.48484 ± 0.022,0.38094 ± 0.045,0.48385 ± 0.062,0.48242 ± 0.053,0.49283 ± 0.048,0.49623 ± 0.055,0.48927 ± 0.061,0.48839 ± 0.059,0.48819 ± 0.051,0.38902 ± 0.108,0.24535 ± 0.029,0.23675 ± 0.047,0.00910 ± 0.005,0.48626 ± 0.058
Q3_Q4_0.25,0.44358 ± 0.072,0.44971 ± 0.063,0.48527 ± 0.058,0.49759 ± 0.065,0.49312 ± 0.058,0.49256 ± 0.057,0.50193 ± 0.057,0.48600 ± 0.063,0.49628 ± 0.056,0.38370 ± 0.088,0.21781 ± 0.027,0.21492 ± 0.053,0.02335 ± 0.010,0.48937 ± 0.060
Q1_0.25,0.39980 ± 0.023,0.49828 ± 0.055,0.49200 ± 0.066,0.50581 ± 0.055,0.49999 ± 0.058,0.49877 ± 0.056,0.50416 ± 0.061,0.49767 ± 0.066,0.50291 ± 0.055,0.42597 ± 0.101,0.30272 ± 0.029,0.25933 ± 0.038,0.01972 ± 0.018,0.49595 ± 0.056
Q2_0.25,0.49303 ± 0.070,0.48896 ± 0.064,0.51110 ± 0.059,0.50195 ± 0.056,0.50635 ± 0.060,0.50881 ± 0.060,0.50624 ± 0.060,0.50194 ± 0.061,0.50874 ± 0.061,0.42474 ± 0.121,0.26667 ± 0.047,0.25785 ± 0.039,0.03157 ± 0.032,0.50595 ± 0.055
Q3_0.25,0.50090 ± 0.068,0.49115 ± 0.056,0.50840 ± 0.062,0.50722 ± 0.061,0.50642 ± 0.057,0.50640 ± 0.057,0.50616 ± 0.053,0.51407 ± 0.059,0.50994 ± 0.054,0.42898 ± 0.099,0.27341 ± 0.094,0.25169 ± 0.036,0.02582 ± 0.019,0.50608 ± 0.058
Q4_0.25,0.47464 ± 0.031,0.37636 ± 0.046,0.47046 ± 0.063,0.48627 ± 0.048,0.48234 ± 0.050,0.47908 ± 0.046,0.48686 ± 0.046,0.48523 ± 0.049,0.48013 ± 0.047,0.39090 ± 0.097,0.20549 ± 0.049,0.23613 ± 0.044,0.00939 ± 0.008,0.46813 ± 0.053
